"Taxa"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"Acetate -- Production"	0.0550862168730471	0.0602494538792192	0.063021646953805	0.0594127298998359	0.0535310829250833
"D-Glucose (Glucose) -- Consumption"	0.0545075801411874	0.052850398139666	0.0601874581566615	0.0577474101829403	0.053307384291882
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0542298345098947	0.0526742301458671	0.0596964963177862	0.0572331202703696	0.0512269870031094
"D-Xylose (Xylose) -- Consumption"	0.0542066890406203	0.0526742301458671	0.0596964963177862	0.0572331202703696	0.0512046171397893
"Cellobiose -- Consumption"	0.0542761254484435	0.0501374110351631	0.0586922561928141	0.0568902603286557	0.0515625349529114
"Maltose -- Consumption"	0.0542761254484435	0.0501902614333028	0.0587145726400357	0.0569882203120025	0.0507795897367067
"Lactose -- Consumption"	0.0542298345098947	0.0501374110351631	0.0586922561928141	0.0569637303161659	0.050824329463347
"Raffinose -- Consumption"	0.0542298345098947	0.0501374110351631	0.0585806739567061	0.0569147503244924	0.0503993020602644
"Sucrose -- Consumption"	0.0542298345098947	0.0501374110351631	0.0584914081678197	0.0568412803369823	0.0502650828803436
"Succinate -- Production"	0.0481425760907302	0.0544182932844761	0.0496317786208436	0.0439595425268778	0.0319889045477932
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0418932993866451	0.0415580297371574	0.0345012274045972	0.0385472534469669	0.0495716171174194
"D-Mannose (Mannose) -- Consumption"	0.0441152644369865	0.0367662603058276	0.035014505690694	0.0404084931305562	0.0489900006710959
"Trehalose -- Consumption"	0.0440458280291633	0.0367662603058276	0.034902923454586	0.0403595131388828	0.0480952061382905
"D-Fructose (Fructose) -- Consumption"	0.0428885545654438	0.0331900500317102	0.0328498103101986	0.038865623392844	0.0478043979151287
"Indole -- Production"	0.0438606642749682	0.0338066380100063	0.032827493862977	0.0386697034261504	0.0455674115831152
"Propanoate (Propionate) -- Production"	0.0418701539173707	0.0318687900782186	0.0312653425574648	0.0375921436093356	0.0466635348858018
"Nitrate (NO3-) -- Consumption"	0.0417312811017243	0.0317807060813191	0.0309305958491408	0.0372492836676218	0.0459924389861978
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0374725147552367	0.0467373687548446	0.027047534032582	0.0280165552371856	0.0314296579647898
"D-Mannitol (Mannitol) -- Consumption"	0.037495660224511	0.0313402860968219	0.0226511939299264	0.0262287855411065	0.0283873565532515
"Glycerol -- Consumption"	0.0374725147552367	0.0313402860968219	0.0226511939299264	0.0261798055494331	0.0283426168266112
"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"	0.0126605716930911	0.0186033401451624	0.0283195715242133	0.0205471065069919	0.00530165760687202
"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"	0.00886471473209119	0.00773377492777112	0.0149966525329168	0.0164082972105895	0.0202447263047223
"Melibiose -- Consumption"	0.00777687767619488	0.00628919737862025	0.0130104887301942	0.0149878774520608	0.019528890678478
"Formate -- Production"	0.000208309223469506	0.0277288422239448	0.00914974336085695	0.00328165944211789	0.00744916448560499
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"	0.00108783705589631	0.0167359594108942	0.00586922561928141	0.00308573947542429	0.00335547949802027
"Ethanol -- Production"	0.000208309223469506	0.0096363892607991	0.00321356839991073	0.00100408982930473	0.00317652059145919
"CO2 -- Production"	0.000162018284920727	0.00981255725459798	0.00348136576656996	0.00132245977518184	0.00232646578529405
"Fructan (Inulin, Levan) -- Macromolecule"	0.00233769239671334	0.00246635191318441	0.00305735326935952	0.00266940954620038	0.0012079726192873
"Mucin (Mucus Glycoprotein) -- Macromolecule"	0.00231454692743895	0.00239588471566486	0.00270029011381388	0.00244899958367007	0.000894794532805405
"Mannan -- Macromolecule"	0.00229140145816456	0.00230780071876541	0.00258870787770587	0.00244899958367007	0.000738205489564459
"Urea -- Production"	0.00229140145816456	0.00230780071876541	0.00254407498326266	0.00244899958367007	0.000693465762924189
"D-Galactose -- Consumption"	0.00118041893299387	0.00146219434853076	0.0019192144610578	0.00168980971273235	0.00187906851889135
"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"	0.00113412799444509	0.00135649355225143	0.00185226511939299	0.00149388974603874	0.000805315079524864
"Hemicellulose, not specified -- Macromolecule"	0.00106469158662192	0.00128602635473187	0.00156215130551216	0.00129796977934514	0.000380287676442297
"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"	0.00106469158662192	0.00128602635473187	0.00153983485829056	0.00129796977934514	0.000380287676442297
"L-Methionine (D-Methionine) -- Consumption"	0.00106469158662192	0.00128602635473187	0.00153983485829056	0.00129796977934514	0.000380287676442297
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"	2.31454692743895e-05	0.0026425199069833	0.00133898683329614	0.000465309920897313	0.00096190412276581
"Arabinogalactan -- Macromolecule"	0.00122670987154265	0.00103939116341343	0.00104887301941531	0.00115102980432493	0.000357917813122162
"Butyrate -- Production"	0.000324036569841454	0.000458036783877105	0.00142825262218255	0.00071020987926432	0.00134219179920811
"H2 (Hydrogen) -- Production"	0.000162018284920727	0.000193784793178775	0.000758759205534479	0.00034285994171381	0.00192380824553162
"Nitrite (NO2-) -- Consumption"	0.000162018284920727	0.000299485589458107	0.000736442758312877	0.00100408982930473	0.00111849316600676
"Polypeptide -- Macromolecule"	0.000162018284920727	0.000158551194418998	0.000513278286096853	0.000636739891754218	0.000469767129722837
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"	0.000162018284920727	0.000123317595659221	0.000312430261102433	0.000465309920897313	0.000805315079524864
"Menaquinone (Vitamin K2) -- Production"	0.000162018284920727	0.000123317595659221	0.000357063155545637	0.000489799916734014	0.000201328769881216
"D-Ribose (Ribose) -- Consumption"	6.94364078231686e-05	0	8.92657888864093e-05	0	0.00102901371272622
"Xylan -- Macromolecule"	2.31454692743895e-05	7.04671975195547e-05	0.000424012497210444	0.000220409962530306	0.000380287676442297
"Pectin -- Macromolecule"	2.31454692743895e-05	7.04671975195547e-05	0.000312430261102433	0.000220409962530306	0.000425027403082567
"Acetate -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.000357063155545637	0.000220409962530306	0.000380287676442297
"Isobutyrate (2-Methylpropanoic acid) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.00029011381388083	0.000220409962530306	0.000380287676442297
"Isovalerate (3-Methylbutanoic acid) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.00029011381388083	0.000220409962530306	0.000380287676442297
"Propanoate (Propionate) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.00029011381388083	0.000220409962530306	0.000380287676442297
"Valerate (Pentanoic acid, Pentanoate) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.00029011381388083	0.000220409962530306	0.000380287676442297
"Cellulose (Beta-D-glucan) -- Macromolecule"	2.31454692743895e-05	0.000176167993798887	0.000223164472216023	0.000269389954203708	0.000223698633201351
"FOS (Fructooligosaccharide) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.00029011381388083	0.000171429970856905	0.000246068496521486
"Linoleic acid (Omega-6 fatty acid) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	0.000223164472216023	0.000171429970856905	0.000246068496521486
"NH3 (Ammonia, NH4+, Ammonium) -- Production"	0.000138872815646337	0.000123317595659221	0.000156215130551216	0.000146939975020204	0.000156589043240946
"CO2 -- Consumption"	0	0.000105700796279332	0.000156215130551216	0.000220409962530306	0.000223698633201351
"D-Glucuronic acid (D-Glucuronate) -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	0.000200848024994421	9.79599833468028e-05	0.000313178086481892
"Formate -- Consumption"	0	0.000105700796279332	8.92657888864093e-05	0.000220409962530306	0.000201328769881216
"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"	0	0.000105700796279332	0.000133898683329614	0.000171429970856905	0.000201328769881216
"D-Galacturonate -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	0.000156215130551216	9.79599833468028e-05	0.000246068496521486
"Stachyose -- Consumption"	0	0.000105700796279332	8.92657888864093e-05	0.000171429970856905	0.000201328769881216
"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"	6.94364078231686e-05	0.000123317595659221	0.000133898683329614	0.000146939975020204	6.71095899604053e-05
"Stearic acid (Stearate, Octadecanoate) -- Production"	0	0	8.92657888864093e-05	7.34699875101021e-05	0.000223698633201351
"D-Psicose -- Consumption"	0	7.04671975195547e-05	0.000133898683329614	2.44899958367007e-05	8.94794532805405e-05
"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"	2.31454692743895e-05	7.04671975195547e-05	8.92657888864093e-05	9.79599833468028e-05	2.23698633201351e-05
"L-Fucose -- Consumption"	0	7.04671975195547e-05	0.000156215130551216	0	6.71095899604053e-05
"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"	2.31454692743895e-05	5.2850398139666e-05	8.92657888864093e-05	2.44899958367007e-05	6.71095899604053e-05
