"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"Acetate -- Production"	0.0532600336707335	0.0504488691036364	0.0457820474332032	0.050672529746508	0.0507365601683566	0.0500635324015248	0.044606913146083	0.0521040480925278
"D-Fructose (Fructose) -- Consumption"	0.0466402011930248	0.049000222055387	0.0358000600420294	0.0470770822555613	0.0493208341304764	0.0509671043343216	0.0339179121743556	0.0514868911289401
"D-Glucose (Glucose) -- Consumption"	0.0467960842184025	0.0488521851307483	0.0411287901531072	0.0479565442317641	0.0394107518653147	0.0464774812932373	0.0371107306464301	0.0520583327618917
"D-Mannose (Mannose) -- Consumption"	0.0467856920167107	0.0488204629326115	0.0404533173221255	0.0478789446456286	0.0395255404629807	0.045997458703939	0.0367868215260747	0.0517611831127569
"Cellobiose -- Consumption"	0.0463700039490366	0.0487993148005202	0.0408285800060042	0.0478789446456286	0.0393342261335374	0.0461951150642383	0.0362315487483226	0.051818327276052
"Sucrose -- Consumption"	0.0517427722237233	0.0512207759249664	0.0378264785349745	0.0472322814278324	0.0387985460110962	0.0414795990399548	0.0352598213872565	0.0505040115202633
"Raffinose -- Consumption"	0.0462660819321181	0.0488944813949308	0.0416541579105374	0.0472322814278324	0.0390281232064282	0.0399830580262601	0.0358613668964879	0.0504697250222862
"Lactose -- Consumption"	0.0462452975287344	0.0488310369986571	0.0414290003002101	0.0470770822555613	0.037497608570882	0.0396159819285613	0.0352598213872565	0.0505497268508994
"Maltose -- Consumption"	0.0462349053270426	0.0488204629326115	0.0381266886820774	0.0470770822555613	0.0358523053376698	0.0395877453056614	0.0347508213409838	0.0505382980182404
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0465466713777981	0.0487464444702922	0.0379015310717502	0.0469994826694258	0.0358523053376698	0.0391641959621629	0.0352598213872565	0.0504697250222862
"D-Xylose (Xylose) -- Consumption"	0.0465466713777981	0.0487464444702922	0.0379015310717502	0.0469736161407139	0.0358523053376698	0.0391641959621629	0.0352598213872565	0.0504697250222862
"Indole -- Production"	0.043221166836406	0.0462509648835267	0.0355749024317022	0.0464045525090533	0.0347044193610101	0.0383735705209657	0.0337328212484383	0.0487782577887495
