"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"Acetate -- Production"	0.0467576483800776	0.0477139246152702	0.0490866059444894	0.0405629308405097	0.0453186052640625	0.0437009350629195	0.0474794364361919	0.0387402933563417
"D-Glucose (Glucose) -- Consumption"	0.0380538871118153	0.0423909003048101	0.0481747487269859	0.0484177797778551	0.0436685726071662	0.0410108508684575	0.0431359774140131	0.0332614322691976
"D-Mannose (Mannose) -- Consumption"	0.0377931753687567	0.0421678685599584	0.047805907605299	0.0468222635874568	0.0432331473227074	0.040661657247061	0.0423487254662432	0.0328156456715559
"Raffinose -- Consumption"	0.0433383135961174	0.0456471637796446	0.0477239429115908	0.0349581688383415	0.0434279428447021	0.0411272487422563	0.0430545375573472	0.0343111878055795
"Cellobiose -- Consumption"	0.036970930640649	0.0418853616831462	0.0477649252584449	0.04811094974124	0.0427289706775447	0.0399632700042679	0.0418329397073594	0.0320103537532355
"Succinate -- Production"	0.0433884504697825	0.0461973087502788	0.0452137741667777	0.0382923885695584	0.0387872259971812	0.0369627914796756	0.0449819474984391	0.0367989646246764
"Indole -- Production"	0.0422553571249511	0.0450524124600402	0.0472731370961958	0.0335876613414609	0.0420185399502698	0.0397563404508478	0.0420501126584684	0.0331032499280989
"D-Fructose (Fructose) -- Consumption"	0.0431979303498551	0.0455133447327336	0.0470477341884983	0.039908360095731	0.0409872695397096	0.0369239921884094	0.0393625973884953	0.0320103537532355
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0375625457498972	0.0421381309939781	0.0477239429115908	0.0343445087651114	0.0429352247596567	0.0405711255674396	0.0423487254662432	0.0326862237561116
"D-Xylose (Xylose) -- Consumption"	0.0375625457498972	0.0421381309939781	0.0477239429115908	0.0343445087651114	0.0429352247596567	0.0405711255674396	0.0423487254662432	0.0326862237561116
"Lactose -- Consumption"	0.0363291786577356	0.0414095606274626	0.0473858385500446	0.035899114283961	0.0420643741907392	0.0395106116061613	0.0419686728018025	0.0306873741731378
"Maltose -- Consumption"	0.0363291786577356	0.0414095606274626	0.0473858385500446	0.0355513735757972	0.0420643741907392	0.0395106116061613	0.0419686728018025	0.0306729939603106
"Sucrose -- Consumption"	0.0362589870346045	0.0414095606274626	0.047375592963331	0.0341808660789167	0.0418924957889792	0.0395494108974276	0.0418872329451367	0.030514811619212
"Trehalose -- Consumption"	0.034624524953122	0.0398483384135009	0.0475805046976015	0.0340581340642707	0.0419154129092138	0.0391226186934985	0.0412900073295871	0.0277969513948806
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0295306185887473	0.0376923648799346	0.043810128787025	0.0307443696688281	0.0348683984370524	0.0354108198290245	0.0386296386785026	0.0233103249928099
"D-Mannitol (Mannitol) -- Consumption"	0.0295105638392812	0.0376626273139544	0.043810128787025	0.0307239143330538	0.0348454813168177	0.0316343554791066	0.0385753454407254	0.0232671843543284
"Glycerol -- Consumption"	0.0295105638392812	0.0376626273139544	0.043810128787025	0.0307239143330538	0.0348225641965831	0.0316343554791066	0.0385753454407254	0.0232528041415013
"Propanoate (Propionate) -- Production"	0.0390064877114523	0.0421678685599584	0.0451113182996424	0.0168142860065048	0.0354986192435059	0.0286985424399581	0.0313000515785759	0.0187374173137762
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0315962577837496	0.0376626273139544	0.0447527227646691	0.0305398163110847	0.0342954704311856	0.0270172398184193	0.0293183483997068	0.0140494679321254
"Nitrate (NO3-) -- Consumption"	0.0266627894151032	0.0343617574901494	0.0439330758275873	0.014216458363164	0.0315683331232597	0.0238874303229394	0.0274180850775036	0.00641357492090883
