"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"Acetate -- Production"	0.0586559099992599	0.0559545063810091	0.0729619436272184	0.0581739432312245	0.0718193097225355
"Succinate -- Production"	0.048978610021464	0.0471070554784104	0.0694694884692038	0.0500570332776777	0.0685906835100383
"D-Glucose (Glucose) -- Consumption"	0.0484050033306195	0.0398862659525226	0.0721837335104869	0.0523218329999504	0.0578332957365216
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0473503071571312	0.0397936917278318	0.0718041188193983	0.0516771089914202	0.0576923076923077
"D-Xylose (Xylose) -- Consumption"	0.0473133002738509	0.0397936917278318	0.0718041188193983	0.0516771089914202	0.0576923076923077
"Cellobiose -- Consumption"	0.0479239138479757	0.039846591284798	0.0719369839612793	0.0498586566596684	0.0526308369050305
"Maltose -- Consumption"	0.0474243209236918	0.0398069166170733	0.0717661573502895	0.0496933428113273	0.0526731333182946
"Lactose -- Consumption"	0.0473873140404115	0.0398069166170733	0.0717661573502895	0.049643748656825	0.0526026392961877
"Raffinose -- Consumption"	0.0473688105987714	0.0398069166170733	0.0717661573502895	0.0495941545023227	0.0526167381006091
"Sucrose -- Consumption"	0.0473688105987714	0.0398069166170733	0.0716712536775173	0.0495280289629862	0.0525180464696594
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0505884094441566	0.068253653375653	0.014482300465028	0.0429650691838455	0.0519117978795398
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0419843090814892	0.0538649738808437	0.00964221315364905	0.0359226992445157	0.0355712835551545
"Formate -- Production"	0.0364702834727259	0.0542088210011241	0.00151845876435418	0.0242019473971335	0.056127340401534
"D-Mannose (Mannose) -- Consumption"	0.035082525349715	0.0387886001454738	0.0174432950555186	0.0368649881800598	0.022078727723889
"Trehalose -- Consumption"	0.0344904152172304	0.0387357005885076	0.0171585840372022	0.0366831429468847	0.0219800360929393
"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"	0.0170231663089335	0.00224823117106394	0.0630540001898073	0.0223504322957134	0.0374041281299346
"Indole -- Production"	0.0339168085263859	0.0385241023606427	0.0166081427351239	0.0341538410672662	0.0156919693210016
"D-Fructose (Fructose) -- Consumption"	0.033676263785064	0.0382992792435363	0.0128879187624561	0.0304012167099238	0.0169185653056621
"Propanoate (Propionate) -- Production"	0.0308822440974021	0.0377967334523573	0.00895890670968966	0.0279380403696418	0.0166365892172344
"Nitrate (NO3-) -- Consumption"	0.0305121752645992	0.0377570587846327	0.00876909936414539	0.0276570068274619	0.0164956011730205
"D-Mannitol (Mannitol) -- Consumption"	0.0254607356968396	0.0301527474707399	0.0138369554901775	0.0291778942321998	0.0200766974960523
"Glycerol -- Consumption"	0.0254237288135593	0.0301395225814984	0.0137800132865142	0.0291778942321998	0.0200766974960523
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"	0.0274591073939753	0.0370561396548304	0.00421372307108285	0.0163164768312642	0.0320465824498083
"Ethanol -- Production"	0.0113056028421286	0.0161211399854526	0.000626364240296099	0.00829875518672199	0.019075682382134
"CO2 -- Production"	0.0109170305676856	0.0160550155392449	0.00075922938217709	0.00808384718387859	0.0192307692307692
"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"	0.0126563540818592	0.00957481981088408	0.0111796526525577	0.0143161792663371	0.00235450033837131
"Melibiose -- Consumption"	0.0102509066686404	0.00908549890894664	0.0075922938217709	0.0117868773867187	0.00193153620572975
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"	0.00925172082007253	0.0142828803808768	0.000170826610989845	0.00236398803127738	0.00565362057297541
"Mucin (Mucus Glycoprotein) -- Macromolecule"	0.00381170897786988	0.000978641803874893	0.00819967732751258	0.00694318163032517	0.000648545003383713
"Fructan (Inulin, Levan) -- Macromolecule"	0.00383021241951003	0.001005091582358	0.00819967732751258	0.00692665024549107	0.000563952176855403
"Mannan -- Macromolecule"	0.00377470209458959	0.000978641803874893	0.00802885071652273	0.00687705609098874	0.000437062937062937
"Urea -- Production"	0.00377470209458959	0.000978641803874893	0.0080098699819683	0.00687705609098874	0.000408865328220167
"D-Galactose -- Consumption"	0.0032010954037451	0.000542220458903657	0.00404289646009301	0.00276074126729596	0.000422964132641552
"Arabinogalactan -- Macromolecule"	0.00136925468137073	0.000489320901937446	0.00449843408939926	0.00436428559620439	0.000140988044213851
"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"	0.002423950854859	0.000489320901937446	0.00360633956534118	0.00252930187961846	0.000366568914956012
"Hemicellulose, not specified -- Macromolecule"	0.00240544741321886	0.000489320901937446	0.00353041662712347	0.00249623910995024	0.000338371306113242
"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"	0.00240544741321886	0.000489320901937446	0.00349245515801462	0.00249623910995024	0.000324272501691857
"L-Methionine (D-Methionine) -- Consumption"	0.00240544741321886	0.000489320901937446	0.00349245515801462	0.00249623910995024	0.000324272501691857
"Nitrite (NO2-) -- Consumption"	0.000370068832802901	0.000211598227864842	0.000246749549207554	0.000396753236018581	0.0012265959846605
"H2 (Hydrogen) -- Production"	0.000684627340685367	3.96746677246578e-05	0.000569422036632818	0.000429816005686796	0.000408865328220167
"D-Ribose (Ribose) -- Consumption"	0.000555103249204352	5.28995569662104e-05	0.000265730283761982	0.000214908002843398	9.86916309496955e-05
"Butyrate -- Production"	0.000536599807564207	3.96746677246578e-05	0.000189807345544273	0.000330627696682151	8.45928265283104e-05
"Menaquinone (Vitamin K2) -- Production"	0.000203537858041596	3.96746677246578e-05	0.000379614691088545	0.000231439387677506	0.000140988044213851
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"	0.000425579157723336	5.28995569662104e-05	0.000113884407326564	0.000314096311848044	4.22964132641552e-05
"Polypeptide -- Macromolecule"	0.000203537858041596	3.96746677246578e-05	0.000398595425642972	0.000181845233175183	8.45928265283104e-05
"CO2 -- Consumption"	0.000185034416401451	0	0.000379614691088545	9.91883090046453e-05	0.000183284457478006
"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"	0.000185034416401451	0	0.000265730283761982	4.95941545023227e-05	9.86916309496955e-05
"Cellulose (Beta-D-glucan) -- Macromolecule"	0.000203537858041596	0	0.000265730283761982	4.95941545023227e-05	1.40988044213851e-05
"Formate -- Consumption"	0.000185034416401451	0	0.000246749549207554	4.95941545023227e-05	1.40988044213851e-05
"Stachyose -- Consumption"	0.000185034416401451	0	0.000246749549207554	4.95941545023227e-05	1.40988044213851e-05
"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"	1.85034416401451e-05	0	0.000132865141880991	9.91883090046453e-05	0.000239679675163546
"NH3 (Ammonia, NH4+, Ammonium) -- Production"	7.40137665605803e-05	1.32248892415526e-05	0.000132865141880991	6.61255393364302e-05	0.000126889239792466
"Xylan -- Macromolecule"	1.85034416401451e-05	0	0.000132865141880991	1.65313848341076e-05	0.000126889239792466
"D-Psicose -- Consumption"	0	0	7.5922938217709e-05	1.65313848341076e-05	0.000140988044213851
"L-Fucose -- Consumption"	0	0	7.5922938217709e-05	1.65313848341076e-05	0.000140988044213851
"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"	0	0	7.5922938217709e-05	1.65313848341076e-05	0.000140988044213851
"D-Galacturonate -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000140988044213851
"D-Glucuronic acid (D-Glucuronate) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000140988044213851
"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"	5.55103249204352e-05	0	1.89807345544273e-05	4.95941545023227e-05	8.45928265283104e-05
"FOS (Fructooligosaccharide) -- Consumption"	5.55103249204352e-05	0	5.69422036632818e-05	0	8.45928265283104e-05
"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000126889239792466
"Cholic acid (Cholate) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000126889239792466
"Dimethylamine -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000126889239792466
"Methanol -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000126889239792466
"Putrescine -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000126889239792466
"Trimethylamine -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	0.000126889239792466
"Urea -- Consumption"	0	0	0.000170826610989845	1.65313848341076e-05	0
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	9.86916309496955e-05
"Thiamine (Vitamin B1, Thiamin) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	9.86916309496955e-05
"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"	1.85034416401451e-05	1.32248892415526e-05	0	4.95941545023227e-05	8.45928265283104e-05
"Pectin -- Macromolecule"	1.85034416401451e-05	0	5.69422036632818e-05	0	8.45928265283104e-05
"Acetate -- Consumption"	5.55103249204352e-05	0	5.69422036632818e-05	0	4.22964132641552e-05
"4-Aminobutyrate (GABA) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"7-Oxodeoxycholic acid -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"7-Oxolithocholic acid -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Biotin (Vitamin B7) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Cadaverine -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"D-Fructuronate -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"D-Tagaturonate -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Folic acid (Folate, Vitamin B9) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Formaldehyde -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Fumarate -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Indole-3-acetate (Indoleacetate) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"L-Idonate -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"L-Threonine (Threonine) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Pentanol -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Riboflavin (Vitamin B2) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Sulfate (Sulfuric acid, Sulfite) -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Thiamine (Vitamin B1, Thiamin) -- Production"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Thiosulfate -- Consumption"	1.85034416401451e-05	0	0	4.95941545023227e-05	8.45928265283104e-05
"Isovalerate (3-Methylbutanoic acid) -- Production"	0	0	7.5922938217709e-05	0	4.22964132641552e-05
"Isobutyrate (2-Methylpropanoic acid) -- Consumption"	1.85034416401451e-05	0	5.69422036632818e-05	0	4.22964132641552e-05
"Isovalerate (3-Methylbutanoic acid) -- Consumption"	1.85034416401451e-05	0	5.69422036632818e-05	0	4.22964132641552e-05
"Propanoate (Propionate) -- Consumption"	1.85034416401451e-05	0	5.69422036632818e-05	0	4.22964132641552e-05
