"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"Acetate -- Production"	0.0602604793695961	0.0516780341850137	0.0506756186845257	0.0498501097135087	0.0578276094708774	0.0603278140157217
"Sucrose -- Consumption"	0.0341030972967057	0.050617851126739	0.0472005263246681	0.0458633371449764	0.0569441321039612	0.0584378658638568
"D-Glucose (Glucose) -- Consumption"	0.0260260479369596	0.0467540728699155	0.0486006848968437	0.0514571808264054	0.0558678960388088	0.0598929586887439
"Cellobiose -- Consumption"	0.0259166028236839	0.0467187334346397	0.0484319910929672	0.0505918348425379	0.0555305683168953	0.0596755310252551
"Raffinose -- Consumption"	0.0265732735033381	0.0470014489168463	0.0472511344658311	0.0457706215038477	0.0558036431393967	0.0589897976250209
"Lactose -- Consumption"	0.0259166028236839	0.0466362747523295	0.0477403464970732	0.0472540717619062	0.0552574934943939	0.0585382170931594
"Maltose -- Consumption"	0.0258728247783736	0.0466127151288122	0.0477572158774608	0.0470995456933585	0.0552574934943939	0.0584545910687406
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0258509357557185	0.0465773756935364	0.0472511344658311	0.0461723892820719	0.0556430108908665	0.0585047666833919
"D-Xylose (Xylose) -- Consumption"	0.0258509357557185	0.0465773756935364	0.0472511344658311	0.0461723892820719	0.0556430108908665	0.0585047666833919
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0906205537922732	0.0444923490122628	0.0395924357698342	0.0328831473869642	0.0257011597648344	0.0307576517812343
"Succinate -- Production"	0.0490532997701653	0.0408406073670943	0.0383103628603721	0.0305961615724573	0.0470009959199409	0.0536042816524502
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0564955674729123	0.0488390995511892	0.0426964017611633	0.0494483419352845	0.0316284897355993	0.0204549255728383
"D-Mannose (Mannose) -- Consumption"	0.0257196016197877	0.0464831371994676	0.0452942863408627	0.0487993324473839	0.0352105888778231	0.0265094497407593
"D-Fructose (Fructose) -- Consumption"	0.0260260479369596	0.0465773756935364	0.0429325730865905	0.0473467874030349	0.0358049281973849	0.0256731894965713
"Trehalose -- Consumption"	0.0248440407135821	0.0457881283057097	0.0449400293527219	0.0457706215038477	0.0344877437594371	0.0245024251547081
"Indole -- Production"	0.0251942650760644	0.0462239813407782	0.04394473590985	0.0425255740643447	0.0325922832267806	0.025137982940291
"Propanoate (Propionate) -- Production"	0.0251942650760644	0.0457881283057097	0.0391538318797551	0.0417529437216058	0.0332508754457545	0.0201371466800468
"Nitrate (NO3-) -- Consumption"	0.023246142059757	0.0447279452474349	0.0388839217935525	0.0411966498748339	0.0302631156230925	0.0174611138986453
"Formate -- Production"	0.10913866695852	0.0128282150051242	0.0100035425698814	0.013752820100751	0.00155813281074308	0.0150526843953838
"D-Mannitol (Mannitol) -- Consumption"	0.0151034256320455	0.0362111413459613	0.0334688506891142	0.0281855549031122	0.0255084010665981	0.0179963204549256
"Glycerol -- Consumption"	0.0150596475867353	0.0362111413459613	0.0334688506891142	0.0279692184071453	0.0255084010665981	0.0179963204549256
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"	0.0756265732735033	0.00876417994840442	0.00926128983282444	0.00655190530642519	0.00300382304751502	0.00643920388024753
"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"	0.00424647039509686	0.00274469613975569	0.00894077160545893	0.00596470624594369	0.0273556719246956	0.041645760160562
