"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"Acetate -- Production"	0.0491975176546116	0.0541800451896777	0.0518817523447703	0.0520428638517696	0.0484112336010376	0.0490718718390333	0.0503579999603324	0.0469850697022189	0.0500451943356433
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0419644767815108	0.11140444761565	0.0435711741659741	0.0346240874354267	0.0228213697810146	0.0277481615134367	0.0487911303278526	0.037696939701394	0.0523350406749021
"D-Glucose (Glucose) -- Consumption"	0.049283115771453	0.0278273278630039	0.0464544359831075	0.0483001038864933	0.0418765900134683	0.0382459881352689	0.0445665324580019	0.0438340344799142	0.0376318168122929
"D-Mannose (Mannose) -- Consumption"	0.0490691204793494	0.0276608395766441	0.0464374756194773	0.0482147177275897	0.0417269416870355	0.0381092976844638	0.0444475297011047	0.0437515466468696	0.0373907803555288
"Succinate -- Production"	0.0427134603038733	0.0480675466761803	0.0437577381659063	0.034567163329491	0.0395320995660199	0.0429754777331256	0.0376842063507805	0.0424317413181556	0.0428442301898162
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0475925529638348	0.0270424545130218	0.0462848323468055	0.0479158661714269	0.0389085648725495	0.037070450258345	0.0426029869691981	0.042118287552586	0.0352515818017475
"D-Xylose (Xylose) -- Consumption"	0.0475925529638348	0.0270424545130218	0.0462848323468055	0.0479158661714269	0.0389085648725495	0.037070450258345	0.0426029869691981	0.042118287552586	0.0352515818017475
"Cellobiose -- Consumption"	0.0491547185961909	0.0192888571768343	0.0461661098013941	0.0482147177275897	0.041652117523819	0.0378905929631756	0.0427616573117277	0.043652561247216	0.0351913226875565
"Raffinose -- Consumption"	0.0478065482559384	0.0191223688904745	0.0464544359831075	0.0481720246481379	0.0409038758916546	0.0386560594876842	0.0411551200936155	0.0425967169842448	0.0335341970473034
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0437834367643912	0.0485432274943513	0.0453859330744051	0.0460942947814826	0.0350675911607722	0.0312474370540474	0.0460143993335846	0.0310484203579972	0.0301898162097017
"Lactose -- Consumption"	0.0477637491975177	0.0187656082768462	0.0460134665287224	0.0480724074627503	0.0391330373621988	0.037070450258345	0.0433765048890299	0.0420028045863235	0.033684844832781
"D-Fructose (Fructose) -- Consumption"	0.0442970254654398	0.0192175050541087	0.0462678719831753	0.0477024007741678	0.0447947323789096	0.0411164876021761	0.0421269759416093	0.0386702961313206	0.0304609822235613
"Maltose -- Consumption"	0.0477209501390969	0.0189558806041146	0.0460134665287224	0.0480297143832985	0.03910809597446	0.037097788348506	0.0412542890576965	0.0420028045863235	0.0332931605905393
"Sucrose -- Consumption"	0.0476353520222555	0.018884528481389	0.0464374756194773	0.0479870213038466	0.0391330373621988	0.0366603789059296	0.0410757849223507	0.0421347851191949	0.0329014763482977
"Indole -- Production"	0.0470147656751551	0.0184801997859436	0.0457081799833788	0.0459804465696111	0.0394572754028034	0.037097788348506	0.0394295801186061	0.0414748824548379	0.0321783669780054
"Trehalose -- Consumption"	0.0471431628504173	0.0245926982994411	0.0449958447109106	0.046948156370519	0.0287075372873747	0.0247409715957243	0.0411551200936155	0.0394951744617669	0.0333835492618259
"Propanoate (Propionate) -- Production"	0.0426492617162422	0.0170055892496135	0.0453689727107749	0.0463077601787417	0.0388087993215943	0.0359769266519041	0.0392312421904441	0.0315928400560917	0.0199457667972281
"D-Mannitol (Mannitol) -- Consumption"	0.0419216777230901	0.0205018432631704	0.0407387934397313	0.0335709914756151	0.0219983039856338	0.0196560868257744	0.0312183898926992	0.0364101295058979	0.0285025610123531
