"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.222460351478783	0.234990686344749	0.338476925275039	0.314616373767681	0.626946706672382	0.486922966985851	0.59739888523653	0.366857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.497213887698243	0.0467115632612122	0.387341048721246	0.264894984997857	0.237176739534219	0.334143204230384	0.269972845505216	0.415571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.177739677096728	0.329703395901992	0.171738819831404	0.34076296613802	0.0690098585512216	0.0693154208946691	0.0550235815349435	0.123
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0711530218602658	0.0378277690213498	0.0702957565366481	0.0478639805686527	0.0408629804257751	0.0598828069172503	0.0610261540660283	0.0607142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00771538791255894	0.308783493337154	0.0138591227318188	0.00342906129447064	0.00728675525075011	0.00914677719022438	0.00214377590395884	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.018574082011716	0.0322395758704686	0.00757251035862266	0.0188598371195885	0.0180025717959709	0.0108617979133915	0.011147634700586	0.0175714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00400057151021575	0.000573148015474996	0.0105729389912845	0.00957279611373053	0.000285755107872553	0.0244390453051308	0.0022866942975561	0.00685714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00100014287755394	0.00157615704255624	0.000142877553936277	0	0.00042863266180883	0.00528798056309847	0.000857510361583536	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.0075942112050437	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000142877553936277	0	0	0	0	0	0.000142918393597256	0
