"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0197171024432062	0.00171944404642499	0.33804829261323	0.314473496213745	0.626946706672382	0.199228240674575	0.216092611119051	0.366285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.148735533647664	0.0267946697234561	0.215459351335905	0.1343049007001	0.10130018574082	0.211947977704731	0.0650278690867515	0.208428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.20260037148164	0.232698094282849	0.00042863266180883	0	0	0.287694726311276	0.380877518936687	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.224317759679954	0.00859722023212495	0.103157593941992	0.0862980425775111	0.09401343049007	0.0724596255538088	0.145205087894812	0.136428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.154450635805115	0.0709270669150308	0.0858694099157022	0.229747106729533	0.0534362051721675	0.0414463341432042	0.0300128626554238	0.0842857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.124160594370624	0.0113196733056312	0.068724103443349	0.0442920417202457	0.041863123303329	0.0497356009718451	0.059739888523653	0.0707142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0205743677668238	0.233844390313799	0.0682954707815402	0.0705815116445206	0.00985855122160309	0.0160068600828927	0.017864799199657	0.0241428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0572938991284469	0.0197736065338874	0.0580082868981283	0.0425775110730104	0.0301471638805544	0.0501643561526368	0.0578819494068887	0.0495714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.00771538791255894	0.308783493337154	0.0138591227318188	0.00342906129447064	0.00728675525075011	0.00914677719022438	0.00214377590395884	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0181454493499071	0.0322395758704686	0.00757251035862266	0.0188598371195885	0.0180025717959709	0.0108617979133915	0.011147634700586	0.0175714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00228604086298043	0.0239289296460811	0.0151450207172453	0.0342906129447064	0.00471495927989713	0.0110047163069887	0.00671716449907103	0.0135714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0121445920845835	0.0177675884797249	0.00885840834404915	0.00400057151021575	0.00985855122160309	0.00528798056309847	0.00271544947834786	0.00971428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00371481640234319	0.000286574007737498	0.0101443063294756	0.0091441634519217	0.000285755107872553	0.0238673717307417	0.00214377590395884	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00142877553936277	0.000286574007737498	0.00285755107872553	0.00100014287755394	0.000714387769681383	0.00385879662712591	0.000428755180791768	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.000285755107872553	0.000573148015474996	0.00142877553936277	0.00542934704957851	0.00100014287755394	0.000571673574389024	0.000285836787194512	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.0075942112050437	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000571510215745106	0.00157615704255624	0.000142877553936277	0	0.000285755107872553	0.00271544947834786	0.000428755180791768	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000142877553936277	0.000429861011606247	0.000714387769681383	0.000714387769681383	0	0.000285836787194512	0.000142918393597256	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000285755107872553	0.000286574007737498	0.00042863266180883	0.00042863266180883	0	0.000571673574389024	0.000142918393597256	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.000285755107872553	0	0.000571510215745106	0.000285755107872553	0.000142877553936277	0.000142918393597256	0	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000142877553936277	0	0	0	0	0.00100042875518079	0.000142918393597256	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0.000142877553936277	0	0	0	0.000142877553936277	0.000857510361583536	0.000142918393597256	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0.000142877553936277	0	0	0	0	0.000571673574389024	0.000142918393597256	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.000142877553936277	0	0	0.000142877553936277	0	0	0.000428755180791768	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0.000573148015474996	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0	0	0	0	0.000285836787194512	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000142877553936277	0	0	0	0	0	0.000142918393597256	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0.000285755107872553	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0.000285755107872553	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0	0	0	0	0	0.000142918393597256	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0	0.000142918393597256	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae"	0.000142877553936277	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0	0	0	0	0	0	0	0.000142857142857143
