"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0322303394929093	0.235243675861083	0.0419830921335435	0.098927805575411	0.18412017167382	0.153450492927561	0.0693848354792561
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.000143245953301819	0.247820494497642	0.00186273105029374	0.0341672623302359	0.0959942775393419	0.10244320617231	0.211301859799714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sedlakii"	0.0081650193382037	0.000571673574389024	0.510818168792091	0.0983559685489635	0.0433476394849785	0.00114302043149021	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.0179057441627274	0.0896098327854795	0.135406218655968	0.188420300214439	0.127896995708154	0.0360051435919417	0.00300429184549356
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.000286491906603638	0.0157210232956982	0.00315231408511248	0.19771265189421	0.112875536480687	0.227603943420489	0.00643776824034335
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0860908179343934	0.00914677719022438	0.0110330992978937	0.0344531808434596	0.0597997138769671	0.0408629804257751	0.216881258941345
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.109010170462684	0.00100042875518079	0.00128958303481874	0.00314510364546104	0.00915593705293276	0.0395770824403486	0.0610872675250358
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.130210571551354	0.00500214377590396	0.00659120217796246	0.0041458184417441	0.00629470672389127	0.00814402057436777	0.0306151645207439
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0	0.00314420465913963	0.00171944404642499	0.0619013581129378	0.0344778254649499	0.0808686955279326	0.000572246065808298
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.000143245953301819	0.171930827497499	0	0	0	0.000285755107872553	0.000858369098712446
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pasteurianus"	0	0	0.16033815732913	0	0.000286123032904149	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.13149978513107	0.00100042875518079	0.00272245307350623	0.00100071479628306	0.00329041487839771	0.00357193884840692	0.0011444921316166
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.0668958601919496	0.00100042875518079	0.0081673592205187	0.0114367405289492	0.0175965665236051	0.0117159594227747	0.00743919885550787
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.000143245953301819	0.0115763898813777	0.000716435019343746	0.0568977841315225	0.0260371959942775	0.0114302043149021	0.000715307582260372
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0260707635009311	0.00628840931827926	0.00171944404642499	0.0118656182987848	0.0234620886981402	0.00700100014287755	0.0170243204577969
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus gnavus"	0.0395358831113021	0.000571673574389024	0.0432726751683622	0.00528949249463903	0.000715307582260372	0.00271467352478926	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000572983813207277	0.00100042875518079	0	0.000142959256611866	0.00271816881258941	0.0744392056008001	0.00143061516452074
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.00472711645896003	0.0071459196798628	0.0194870325261499	0.0305932809149392	0.0158798283261803	0.000714387769681383	0.000286123032904149
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.0607362841999714	0.000285836787194512	0.00300902708124373	0.00385989992852037	0.00543633762517883	0.0024289184169167	0.00171673819742489
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella clara"	0.030941125913193	0.000142918393597256	0.00343888809284998	0.00657612580414582	0.019170243204578	0.010858694099157	0.0055793991416309
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0	0.0677433185650993	0	0.000285918513223731	0	0.00257179597085298	0.00243204577968526
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.0312276178197966	0.0012862655423753	0.000573148015474996	0.00271622587562545	0.00572246065808298	0.00128589798542649	0.028755364806867
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.00200544334622547	0.00971845076461341	0.00186273105029374	0.00857755539671194	0.0220314735336195	0.0192884697813973	0.00486409155937053
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0	0.00171502072316707	0	0	0	0.00142877553936277	0.0628040057224607
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.00186219739292365	0.0108617979133915	0.00171944404642499	0.00814867762687634	0.0188841201716738	0.0125732247463923	0.00658082975679542
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.000716229766509096	0.00242961269115335	0	0.000428877769835597	0.00243204577968526	0.00128589798542649	0.0505007153075823
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0	0.0104330427325997	0.000286574007737498	0.0230164403145104	0.0124463519313305	0.0101443063294756	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.000143245953301819	0.00428755180791768	0	0	0	0.00800114302043149	0.0427753934191702
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0	0.00400171502072317	0	0.01915654038599	0.0127324749642346	0.0130018574082012	0.00214592274678112
