"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.582332761578045	0.366857142857143	0.0423401516235159	0.217124070897656	0.402257787939411	0.375142857142857	0.281468781254465	0.346819156540386	0.0343102215868477
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0793310463121784	0.111428571428571	0.0533543126877414	0.289879931389365	0.365390111460417	0.275571428571429	0.227461065866552	0.205146533238027	0.0260185847033595
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0710405946255003	0.266714285714286	0.0308968674009441	0.116781017724414	0.0885967419262646	0.162285714285714	0.192741820260037	0.158541815582559	0.0408863473909936
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0354488279016581	0.0634285714285714	0.216993277070519	0.063893653516295	0.0412975135753072	0.0511428571428571	0.0915845120731533	0.0631879914224446	0.486347390993567
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.109205260148656	0.0958571428571429	0.028894292661994	0.107347055460263	0.0654472706487568	0.078	0.117016716673811	0.114224446032881	0.0301644031451036
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0344482561463694	0.0344285714285714	0.0373337147761408	0.0833333333333333	0.0121463275221492	0.0175714285714286	0.0295756536648093	0.039313795568263	0.10807719799857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0283018867924528	0.0228571428571429	0.0964096695751681	0.0553173241852487	0.00557302086310374	0.0131428571428571	0.02686098014002	0.0161543959971408	0.114796283059328
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0.293091117150622	0	0	0	0	0	0.0613295210864903
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0120068610634648	0.022	0.124016592762123	0.0563178959405375	0.00971706201771935	0.0171428571428571	0.0230032861837405	0.0301644031451036	0.052180128663331
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00185820468839337	0.00128571428571429	0.0430553568874267	0.00257289879931389	0.00457273506716205	0.00314285714285714	0.0024289184169167	0.0118656182987848	0.00814867762687634
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0305889079473985	0.003	0	0.000142938822184105	0	0	0	0	0.0184417441029307
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0.000857142857142857	0.0224574452867973	0.002715837621498	0.00171477565018577	0.00185714285714286	0.00328618374053436	0.00228734810578985	0.00900643316654753
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00886220697541452	0.00957142857142857	0.000715205263910742	0.00200114351057747	0.000571591883395256	0.00128571428571429	0.00257179597085298	0.00600428877769836	0.00185847033595425
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000142938822184105	0.000285714285714286	0.00743813474467172	0.000714694110920526	0.0010002857959417	0.000571428571428571	0.00042863266180883	0.000857755539671194	0.00243030736240172
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00500285877644368	0.001	0.000429123158346445	0.000714694110920526	0.000428693912546442	0.00128571428571429	0.00042863266180883	0.00200142959256612	0.00114367405289492
