"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.444952816700029	0.596970130055738	0.719817116730962	0.109569446431126	0.500572082379863	0.455104375178725	0.489285714285714	0.305865522174535
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.340577637975407	0.232242389595541	0.183740534362052	0.294521527678444	0.298054919908467	0.355447526451244	0.278714285714286	0.496709585121602
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.149699742636546	0.149921394883522	0.0714387769681383	0.018309254756115	0.132866132723112	0.11138118387189	0.184857142857143	0.159942775393419
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0175865027166142	0.00771759325425182	0.00542934704957851	0.329852667715634	0.0231693363844394	0.0204460966542751	0.0302857142857143	0.0227467811158798
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.0214469545324564	0	0	0.133457302245745	0	0	0	0.000143061516452074
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00629110666285387	0.000428755180791768	0.0024289184169167	0.0896867400944071	0.00657894736842105	0.00128681727194738	0.00385714285714286	0.00271816881258941
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0130111524163569	0.00271544947834786	0.0122874696385198	0.0184522958088972	0.0284610983981693	0.0178724621103803	0.00471428571428571	0.00243204577968526
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00600514726908779	0.00943261397741889	0.00485783683383341	0.00171649263338578	0.00672196796338673	0.0374606805833572	0.00742857142857143	0.00829756795422031
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000142979696883043	0.000142918393597256	0	0.00328994421398942	0.00314645308924485	0.00057191878753217	0.000571428571428571	0.000858369098712446
"k__Bacteria|p__Firmicutes|c__Bacilli"	0	0	0	0.00114432842225719	0.000143020594965675	0.000428939090649128	0.000285714285714286	0.000286123032904149
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000285959393766085	0.000428755180791768	0	0	0.00028604118993135	0	0	0
