"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.340577637975407	0.232242389595541	0.183740534362052	0.294521527678444	0.298054919908467	0.355447526451244	0.278714285714286	0.496709585121602
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.265799256505576	0.231099042446763	0.428775539362766	0.0695179516521242	0.275171624713959	0.184443808979125	0.100857142857143	0.0443490701001431
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0799256505576208	0.219236815778191	0.114159165595085	0.0161636389643828	0.115846681922197	0.163711752931084	0.238571428571429	0.178826895565093
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.149699742636546	0.149921394883522	0.0714387769681383	0.018309254756115	0.132866132723112	0.11138118387189	0.184857142857143	0.159942775393419
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0992279096368316	0.146634271830785	0.17688241177311	0.0238878558146188	0.109553775743707	0.106948813268516	0.149857142857143	0.082689556509299
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0175865027166142	0.00771759325425182	0.00514359194170596	0.329852667715634	0.0231693363844394	0.0204460966542751	0.0302857142857143	0.0227467811158798
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0.0213039748355733	0	0	0.133457302245745	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00629110666285387	0.000428755180791768	0.0024289184169167	0.0895436990416249	0.00657894736842105	0.00128681727194738	0.00385714285714286	0.00271816881258941
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0130111524163569	0.00271544947834786	0.0122874696385198	0.0184522958088972	0.0284610983981693	0.0178724621103803	0.00471428571428571	0.00243204577968526
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00557620817843866	0.00914677719022438	0.00485783683383341	0.00157345158060363	0.00643592677345538	0.00714898484415213	0.00742857142857143	0.00643776824034335
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0.000142918393597256	0	0.000143041052782148	0.00028604118993135	0.030311695739205	0	0.00171673819742489
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000142979696883043	0.000142918393597256	0	0.00328994421398942	0.00314645308924485	0.00057191878753217	0.000571428571428571	0.000858369098712446
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0	0	0.00114432842225719	0.000143020594965675	0.000428939090649128	0.000285714285714286	0.000286123032904149
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000285959393766085	0.000428755180791768	0	0	0.00028604118993135	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0.000428939090649128	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0.000142979696883043	0	0	0	0	0	0	0.000143061516452074
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000142918393597256	0	0	0	0	0	0.000143061516452074
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000285755107872553	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0.000143041052782148	0	0	0	0
