"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0	0.121428571428571	0.236917357735202	0.236766809728183	0.223603371910273	0.249607086726675	0.179296539891335	0.207118353344768	0.0518571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.0281892708183518	0.234142857142857	0.275521875893623	0.0560801144492132	0.203171881697385	0.0581511644520646	0.0474692593651701	0.01357918810749	0.344142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.0442974255716957	0.343285714285714	0.195739205032885	0.0620886981402003	0.0852978996999571	0.0961565937991142	0.0467543608807549	0.268296169239565	0.097
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0	0.068	0.0481841578495854	0.0529327610872675	0.137733961994571	0.17459637091013	0.260509007720904	0.110491709548313	0.0165714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.471738817776499	0.000285714285714286	0	0.0286123032904149	0	0	0	0	0.0211428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.000287645620595426	0.0217142857142857	0.0448956248212754	0.0427753934191702	0.0580082868981283	0.0355765109301329	0.0348870460394624	0.0646083476272156	0.0245714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.26794189558464	0.000142857142857143	0	0.0247496423462089	0	0	0	0	0.00628571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.00115058248238171	0	0	0.000143061516452074	0	0.000142877553936277	0	0	0.225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0	0.0248571428571429	0.00514726908778953	0.00214592274678112	0.0264323474782112	0.0527218174024861	0.0448956248212754	0.0224413950829045	0.00742857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0	0	0.0191592793823277	0.0427753934191702	0.0168595513644806	0.0340048578368338	0.016871604232199	0.028587764436821	0.0244285714285714
