"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.000286409852498926	0	0.224349814232638	0.159971408148678	0.286715286715287	0.378482640377197	0.116714285714286	0.259111047591825	0.567857142857143	0.740851915380217
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.212516110554203	0.264399028154924	0.338239496999143	0.091493924231594	0.20978120978121	0.294042006000857	0.217142857142857	0.302701157638988	0.166142857142857	0.0287307032590051
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0	0	0.267076307516433	0.191708363116512	0.303732303732304	0.143591941705958	0.169571428571429	0.204659139631271	0.103857142857143	0.0250142938822184
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0849205212659316	0.397027297413177	0.110745927407831	0.158398856325947	0.0609180609180609	0.0531504500642949	0.319142857142857	0.112333857367443	0.0725714285714286	0.0151515151515152
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.68809967062867	0.289123910247249	0.0372963703915404	0.0651894210150107	0.00128700128700129	0.00257179597085298	0.00214285714285714	0.00400171502072317	0.0124285714285714	0.0391652372784448
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.00945152513246456	0.0204373302844076	0.000857387825092884	0.150250178699071	0.0569140569140569	0.0202886126589513	0.0594285714285714	0.0340145776761469	0.0214285714285714	0.0155803316180675
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.000143204926249463	0	0.000428693912546442	0.150250178699071	0.0393250393250393	0.0271467352478926	0.0955714285714286	0.0370158639416893	0.0141428571428571	0.00228702115494568
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00329371330373765	0.0255823924539088	0.0131466133180909	0.0284488920657613	0.0115830115830116	0.0460065723674811	0.0185714285714286	0.0241532085179363	0.0261428571428571	0.0593196112064037
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0	0	0.000285795941697628	0.000714796283059328	0.0235950235950236	0.0287183883411916	0.000285714285714286	0.00528798056309847	0.00557142857142857	0.010863350485992
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0	0	0.000142918393597256	0.000142857142857143	0.0540308747855918
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.000286409852498926	0.000571673574389024	0.00571591883395256	0.00343102215868477	0.00457600457600458	0.00128589798542649	0.00142857142857143	0.00171502072316707	0.00828571428571429	0.00786163522012579
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000572819704997852	0.00114334714877805	0	0	0.00128700128700129	0.00285755107872553	0	0.00957553237101615	0.00114285714285714	0.000571755288736421
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.00071459196798628	0.00142897970848814	0	0.000143000143000143	0.000571510215745106	0	0.00142918393597256	0.000142857142857143	0.000142938822184105
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000143204926249463	0.000428755180791768	0.000285795941697628	0	0.000143000143000143	0.00085726532361766	0	0.00142918393597256	0	0.00028587764436821
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000143204926249463	0	0	0	0	0.000285755107872553	0	0.0022866942975561	0.000142857142857143	0.000142938822184105
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000143204926249463	0	0.000142897970848814	0	0	0.000142877553936277	0	0.000142918393597256	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0.000571673574389024	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0.000142959256611866	0	0	0	0	0	0
