"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.604744212632181	0.544115544115544	0.436410402972278	0.412142857142857	0.380482926132305	0.872285714285714	0.146798170383076	0.582392453908818
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0540154329808517	0.131989131989132	0.252500714489854	0.100285714285714	0.0592941848835548	0.021	0.110777587192682	0.320994712019437
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.20120034295513	0.049049049049049	0.0585881680480137	0.124857142857143	0.0922988998428347	0.0524285714285714	0.121497998856489	0.0463055595255109
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0262932266361818	0.0584870584870585	0.0432980851671906	0.142285714285714	0.137162451778826	0.0165714285714286	0.0843339050886221	0.00242961269115335
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.028436696198914	0.0388960388960389	0.0347242069162618	0.136571428571429	0.164594942134591	0.0161428571428571	0.0704688393367639	0.00242961269115335
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0.00800800800800801	0.0272935124321235	0.00614285714285714	0.0425775110730104	0.000142857142857143	0.381503716409377	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0827379251214633	0.0457600457600458	0.0418691054587025	0.0637142857142857	0.104872124589227	0.0201428571428571	0.0756146369353917	0.00814634843504359
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00071448985424407	0.0291720291720292	0.0615890254358388	0.011	0.00957279611373053	0.000857142857142857	0.00843339050886221	0.0274403315706731
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.0905190905190905	0.0405830237210632	0	0	0	0	0.00743175646705731
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0010002857959417	0.00371800371800372	0.00271506144612746	0.00271428571428571	0.00828689812830404	0.000428571428571429	0.00028587764436821	0.00214377590395884
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000571591883395256	0.000286000286000286	0	0.000142857142857143	0.000285755107872553	0	0.000142938822184105	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0	0.00042863266180883	0	0.000142938822184105	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000285795941697628	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0.000142857142857143	0	0	0	0.000142918393597256
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0.000142918393597256
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142897970848814	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142897970848814	0	0	0	0	0	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.000142897970848814	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0.000142877553936277	0	0	0
