"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.593598170905973	0.537823537823538	0.430551586167476	0.402285714285714	0.377053864837834	0.870571428571429	0.140937678673528	0.564241817921967
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.20120034295513	0.049049049049049	0.0585881680480137	0.124857142857143	0.0922988998428347	0.0524285714285714	0.121497998856489	0.0463055595255109
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.00271506144612746	0.0586300586300586	0.126036010288654	0.0384285714285714	0.01343049007001	0.002	0.0824757004002287	0.00857510361583536
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.0151471849099743	0.0248820248820249	0.0220062875107173	0.0688571428571429	0.117731104443492	0.0132857142857143	0.038021726700972	0.00100042875518079
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0	0.00257400257400257	0.00914547013432409	0.00185714285714286	0.0132876125160737	0.000142857142857143	0.188536306460835	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0	0.0431860431860432	0.0600171477565019	0.0108571428571429	0.01343049007001	0.00242857142857143	0.00643224699828473	0.0654566242675432
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.026864818519577	0.000429000429000429	0.000142897970848814	0.000285714285714286	0	0.00542857142857143	0	0.151350578819494
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.012289225492998	0.0132990132990133	0.0121463275221492	0.0642857142857143	0.0447206743820546	0.00242857142857143	0.0311606632361349	0.00100042875518079
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0071448985424407	0.0191620191620192	0.0160045727350672	0.0467142857142857	0.0522931847406772	0.00642857142857143	0.023156089193825	0.0012862655423753
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0225778793941126	0.0137280137280137	0.0114318376679051	0.018	0.0281468781254465	0.00657142857142857	0.0238707833047456	0.00142918393597256
