"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.182	0.152559336574206	0.114392738798444	0.137630413034157	0.120588655522217	0.166166166166166	0.1488784112016	0.178203661327231	0.114257114257114
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.170857142857143	0.112810980840721	0.0695865149113961	0.0977561812205231	0.13659094156308	0.0662090662090662	0.0518645520788684	0.105978260869565	0.144573144573145
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.137857142857143	0.176293966256792	0	0.119765613834501	0.0640091441634519	0.110682110682111	0.0830118588369767	0	0.0706420706420706
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0737142857142857	0.0566199599656849	0.0141190030255006	0.0655995426611405	0.148449778539791	0.0634920634920635	0.0717245320760109	0.0409038901601831	0.0654940654940655
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0277142857142857	0.0674864169287961	0.0145512174038323	0.0395883950264399	0.0434347763966281	0.0398970398970399	0.0440062866123732	0.0657894736842105	0.0998140998140998
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0318571428571429	0.0446096654275093	0.0141190030255006	0.0417321709303987	0.0282897556793828	0.032032032032032	0.0587226746678097	0.0298913043478261	0.0347490347490347
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0225714285714286	0.0264512439233629	0.00561878691831148	0.0378733743032728	0.0642948992713245	0.0418990418990419	0.0461494499214173	0.0168764302059497	0.0358930358930359
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0295714285714286	0.0393194166428367	0.0146952888632762	0.0324424753465771	0.0281468781254465	0.0357500357500357	0.0538648378339763	0.0341819221967963	0.028028028028028
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00914285714285714	0.0338861881612811	0.00576285837775537	0.0427325996855795	0.0368624089155594	0.0476190476190476	0.0531504500642949	0.022454233409611	0.0406120406120406
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0107142857142857	0.0195882184729768	0.0566200835614465	0.0397313134200372	0.0192884697813973	0.0351780351780352	0.0291470210030004	0.0703661327231121	0.00743600743600744
