"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.803285714285714	0.752428571428571	0.894714285714286	0.738316421323424	0.202372445333714	0.667285714285714	0.786285714285714	0.731961708815545
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.101428571428571	0.052	0.0391428571428571	0.0507360297270259	0.0786051164784908	0.130428571428571	0.0761428571428571	0.109015573653379
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0435714285714286	0.141857142857143	0.0237142857142857	0.124767757610404	0.0778905245105045	0.0237142857142857	0.0567142857142857	0.0757251035862266
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0145714285714286	0.00685714285714286	0.00257142857142857	0.00914677719022438	0.308274974989281	0.058	0.0257142857142857	0.011858836976711
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0122857142857143	0.00871428571428571	0.00957142857142857	0.0124339002429613	0.218950978990996	0.0657142857142857	0.0142857142857143	0.0111444492070296
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0234285714285714	0.0178571428571429	0.0277142857142857	0.0218665142203802	0.0645991139059597	0.0528571428571429	0.036	0.0245749392770396
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00114285714285714	0.0102857142857143	0.00228571428571429	0.0224381877947692	0.00800343004144633	0.00157142857142857	0.00157142857142857	0.017573939134162
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.000142857142857143	0.002	0.000285714285714286	0.00242961269115335	0.0354437616121195	0.000285714285714286	0.00328571428571429	0.000714387769681383
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.008	0	0.017864799199657	0.000142918393597256	0.000142857142857143	0	0.00228604086298043
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.000142857142857143	0	0	0	0.0035729598399314	0	0	0.0148592656093728
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0	0	0	0.00171502072316707	0	0	0.000285755107872553
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0.000285836787194512	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0.000142918393597256	0	0	0
