"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.10548885077187	0.378285714285714	0.229955695297985	0.132990132990133	0.18770550393138	0.104262013729977
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.115780445969125	0.124285714285714	0.254394740603116	0.148863148863149	0.258041458184417	0.10483409610984
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.533018867924528	0.111	0.0570244390453051	0.0281710281710282	0.000142959256611866	0.0785183066361556
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0348770726129217	0.0157142857142857	0.0545948263541518	0.481052481052481	0.0210150107219442	0.0115846681922197
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0541738136077759	0.0534285714285714	0.0733171359153923	0.016016016016016	0.158970693352395	0.145881006864989
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.044882790165809	0.142142857142857	0.11404887809061	0.0541970541970542	0.0810578984989278	0.0607837528604119
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0208690680388794	0.0592857142857143	0.100328712305274	0.0689260689260689	0.0736240171551108	0.0996853546910755
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0165809033733562	0.0192857142857143	0.035729598399314	0.0167310167310167	0.128091493924232	0.199513729977117
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0458833619210978	0.0461428571428571	0.00100042875518079	0.00314600314600315	0.0281629735525375	0.00586384439359268
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00686106346483705	0.00957142857142857	0.0325853937401744	0.00815100815100815	0.0200142959256612	0.0389016018306636
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00743281875357347	0.00757142857142857	0.00443047020151493	0.00386100386100386	0.0151536812008578	0.0750858123569794
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00586049170954831	0.017	0.0147205945405174	0.00886600886600887	0.011722659042173	0.0111556064073227
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.000571755288736421	0.002	0.00728883807346005	0.0197340197340197	0.00128663330950679	0.0104405034324943
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0	0	0.0389016018306636
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00257289879931389	0.006	0.00814634843504359	0.004004004004004	0.00543245175125089	0.0017162471395881
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000857632933104631	0.00128571428571429	0.00400171502072317	0.00143000143000143	0.00514653323802716	0.00300343249427918
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00114351057747284	0.000714285714285714	0.00285836787194512	0.000286000286000286	0.00228734810578985	0.0051487414187643
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00185820468839337	0.00442857142857143	0.00400171502072317	0.000143000143000143	0.000714796283059328	0.0011441647597254
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.000428816466552316	0.000571428571428571	0	0	0.000714796283059328	0.0017162471395881
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000142938822184105	0.000714285714285714	0.000428755180791768	0.000572000572000572	0.000428877769835597	0.0011441647597254
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000571755288736421	0.000142857142857143	0.000142918393597256	0.000858000858000858	0	0.000143020594965675
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0.000142938822184105	0	0.000285836787194512	0.000572000572000572	0	0.000143020594965675
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0.000428571428571429	0.000285836787194512	0.000143000143000143	0.000142959256611866	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0	0	0	0.000572000572000572	0	0.000143020594965675
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0.000142918393597256	0.000429000429000429	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0	0.00028604118993135
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0	0	0.000142918393597256	0.000143000143000143	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0	0.000142918393597256	0	0.000142959256611866	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae"	0	0	0	0.000143000143000143	0	0
