"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.115780445969125	0.124285714285714	0.254394740603116	0.148863148863149	0.258041458184417	0.10483409610984
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.0568896512292739	0.293428571428571	0.162212376732886	0.0750750750750751	0.125375268048606	0.0666475972540046
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.0165809033733562	0.00828571428571429	0.0441617836215521	0.471614471614472	0	0.000143020594965675
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.00114351057747284	0.00171428571428571	0.0155781049021009	0.00443300443300443	0.127805575411008	0.197940503432494
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0443110348770726	0.0805714285714286	0.0643132771187652	0.0529100529100529	0.0496068620443174	0.0354691075514874
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.23399085191538	0.0444285714285714	0.0218665142203802	0.013013013013013	0	0.00486270022883295
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.147941680960549	0.0294285714285714	0.0142918393597256	0.00729300729300729	0	0.00143020594965675
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0192967409948542	0.0191428571428571	0.0162926968700872	0.00429000429000429	0.0611865618298785	0.0549199084668192
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.00871926815323042	0.0318571428571429	0.048592253823067	0.0253110253110253	0.0238741958541816	0.0321796338672769
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0.107918810748999	0.0241428571428571	0.0137201657853366	0.00257400257400257	0	0.00500572082379863
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.010863350485992	0.0125714285714286	0.0385879662712591	0.00429000429000429	0.0274481772694782	0.0324656750572082
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.00871926815323042	0.0452857142857143	0.0312991281977991	0.00271700271700272	0.00600428877769836	0.00414759725400458
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.0384505431675243	0.0357142857142857	0.00071459196798628	0.00128700128700129	0.0120085775553967	0.00128718535469108
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.00843339050886221	0.0141428571428571	0.0185793911676433	0.0117260117260117	0.0140100071479628	0.0122997711670481
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.00614636935391652	0.0152857142857143	0.0177218808060597	0.012012012012012	0.0151536812008578	0.0115846681922197
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00328759291023442	0.00571428571428571	0.0188652279548378	0.00514800514800515	0.0142959256611866	0.0266018306636156
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00400228702115495	0.00385714285714286	0.00257253108475061	0.00228800228800229	0.00629020729092209	0.0524885583524027
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.0180102915951973	0.00742857142857143	0.0100042875518079	0.00328900328900329	0.0210150107219442	0.011441647597254
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.002715837621498	0.000285714285714286	0.000285836787194512	0	0.000142959256611866	0.0663615560640732
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0028587764436821	0.00528571428571429	0.0114334714877805	0.00915200915200915	0.0120085775553967	0.0271739130434783
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.00200114351057747	0.00985714285714286	0.0170072888380735	0.00757900757900758	0.00900643316654753	0.0138729977116705
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.0393081761006289	0.0115714285714286	0.00571673574389024	0.001001001001001	0	0.000143020594965675
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00357347055460263	0.00514285714285714	0.011147634700586	0.0132990132990133	0.0137240886347391	0.00872425629290618
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0105774728416238	0.0144285714285714	0.0160068600828927	0.00886600886600887	0	0.000143020594965675
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00228702115494568	0.00228571428571429	0.000428755180791768	0	0.0250178699070765	0.0164473684210526
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00514579759862779	0.0115714285714286	0.0121480634557668	0.00429000429000429	0.00586132952108649	0.0051487414187643
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00357347055460263	0.00342857142857143	0.0084321852222381	0.00228800228800229	0.00900643316654753	0.0165903890160183
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00357347055460263	0.00385714285714286	0.0137201657853366	0.003003003003003	0.00557541100786276	0.0115846681922197
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00185820468839337	0.00628571428571429	0.00786051164784908	0.005005005005005	0.00643316654753395	0.0108695652173913
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00157232704402516	0.00785714285714286	0.00871802200943261	0.00443300443300443	0.00686204431736955	0.00843821510297483
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.00643224699828473	0.0101428571428571	0.000285836787194512	0.00114400114400114	0.0151536812008578	0.00429061784897025
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.00428816466552316	0.00428571428571429	0.00343004144633414	0.005005005005005	0.012723373838456	0.00214530892448513
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00142938822184105	0.00328571428571429	0.00686008289266829	0.00457600457600458	0.00543245175125089	0.00943935926773455
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0028587764436821	0.00314285714285714	0.00157210232956982	0.00143000143000143	0.00743388134381701	0.0128718535469108
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00485991995425958	0.00414285714285714	0.00400171502072317	0.00243100243100243	0.00857755539671194	0.00257437070938215
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000428816466552316	0.000857142857142857	0.00400171502072317	0.0124410124410124	0.000571837026447462	0.0062929061784897
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia hominis"	0.00214408233276158	0.0174285714285714	0.00257253108475061	0.000715000715000715	0.000857755539671194	0.00028604118993135
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00114351057747284	0.00328571428571429	0.00257253108475061	0.00600600600600601	0.00371694067190851	0.00414759725400458
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00157232704402516	0.006	0.00385879662712591	0.001001001001001	0.00328806290207291	0.0011441647597254
