"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.331712201401802	0.511787398199743	0.374624946420917	0.29931291153736	0.268515870746354	0.252285714285714	0.452857142857143	0.382777857245029	0.24967695620962
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.145758832785009	0.0781540220031433	0.206886698099729	0.0803034640709991	0.179868458678868	0.0575714285714286	0.0955714285714286	0.112144185381204	0.0580043072505384
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.108854241167215	0.155879411344478	0.0568652664666381	0.122673919267106	0.111667143265656	0.0552857142857143	0.0382857142857143	0.0805321127163496	0.171572146446518
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.207266485481333	0.0778682668952708	0.121731675953708	0.0622673919267106	0.102516442665142	0.0827142857142857	0.0811428571428571	0.0519239021599199	0.104091888011486
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0	0.00314330618659809	0.106641855138849	0.0679153560194452	0.425	0.200714285714286	0.0610785295379774	0.00890165111270639
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0802460306107853	0.106443777682526	0.0862980425775111	0.0770111651875179	0.0992279096368316	0.0612857142857143	0.0714285714285714	0.134601630668002	0.0746590093323762
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00457731368902875	0.00685812258894128	0.00900128589798543	0.0533924992842829	0.0428939090649128	0.009	0.00685714285714286	0.0503504505793163	0.0548456568557071
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0213131168645401	0.00042863266180883	0.0312901843120446	0.0490981963927856	0.0413211323991993	0.0102857142857143	0.00771428571428571	0.0264625947646975	0.0450825556353195
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0184522958088972	0.0371481640234319	0.0212887555365052	0.0293444030918981	0.0310265942236202	0.00785714285714286	0.0102857142857143	0.0153053926476899	0.0552763819095477
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0.0629831090752934	0	0	0	0	0.0828427853553482
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00700901158632528	0.00171453064723532	0.0301471638805544	0.0231892356140853	0.00900772090363168	0.00271428571428571	0.00542857142857143	0.0274638821341725	0.0353194544149318
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0336146474038049	0.0112873267609659	0.00971567366766681	0.00615516747781277	0.00986559908492994	0.00671428571428571	0.00985714285714286	0.00886854527249321	0.00861450107681263
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0141610642254327	0	0.022717531075868	0.00916117950186086	0.00943665999428081	0.00728571428571429	0.00457142857142857	0.0195966242311543	0.0139267767408471
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00572164211128594	0.00600085726532362	0.00800114302043149	0.00629831090752934	0.0110094366599943	0.0138571428571429	0.00628571428571429	0.00872550421971106	0.00717875089734386
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.0102989558003147	0.00214316330904415	0.0085726532361766	0.00343544231319782	0.0115813554475265	0.00471428571428571	0.00485714285714286	0.00400514947790016	0.00674802584350323
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0.00142877553936277	0.00514359194170596	0.00128829086744918	0.00128681727194738	0.000571428571428571	0.00128571428571429	0.00100128736947504	0.00287150035893754
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00343298526677156	0.000571510215745106	0.00085726532361766	0.00171772115659891	0.00142979696883043	0.001	0.000142857142857143	0.00157345158060363	0.00387652548456569
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00171649263338578	0.00085726532361766	0.00100014287755394	0.00229029487546522	0	0.00128571428571429	0.000571428571428571	0.000572164211128594	0.00588657573582197
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000286082105564297	0.00114302043149021	0.00100014287755394	0.00200400801603206	0.000857878181298256	0.000142857142857143	0.000428571428571429	0.000715205263910742	0.0050251256281407
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.000858246316692891	0	0.000142877553936277	0.000858860578299456	0.000142979696883043	0	0.000142857142857143	0.000572164211128594	0.00459440057430007
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000286082105564297	0	0.00085726532361766	0	0.000142979696883043	0.000142857142857143	0.000571428571428571	0.00400514947790016	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0.00328994421398942	0.000285755107872553	0.00042863266180883	0.000286286859433152	0	0.000142857142857143	0.000285714285714286	0	0.000574300071787509
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0	0	0	0.00200257473895008	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae"	0	0	0	0	0	0	0	0.00185953368616793	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.000286082105564297	0	0	0	0.000142979696883043	0	0	0.000858246316692891	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000143041052782148	0	0	0	0	0.000142857142857143	0.000285714285714286	0.000572164211128594	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0	0	0	0	0	0.00100128736947504	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0	0	0	0	0	0.000285714285714286	0.000715205263910742	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0	0	0	0	0.000142857142857143	0.000572164211128594	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0.000429123158346445	0	0	0	0	0	0	0	0.000143575017946877
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0.000142877553936277	0.000143143429716576	0.000142979696883043	0	0	0	0.000143575017946877
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0.000286082105564297	0	0	0	0	0	0	0.000143041052782148	0
