"Taxa"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.224317759679954	0.255215775935982	0.437598284488921	0.35934819897084	0.582249535515221	0.454545454545455	0.144695453245639	0.0458794764849705	0.105503931379557	0.331712201401802	0.262367743780383	0.378285714285714	0.00859722023212495	0.265799256505576	0.139571428571429	0.0233257012020607	0.231066018862532	0.212516110554203	0.511787398199743	0.264399028154924	0.199285714285714	0.193995711222302	0.180168595513645	0.126142857142857	0.409259788511003	0.164571428571429	0.229955695297985	0.186445524735488	0.180142857142857	0.0144285714285714	0.0839410839410839	0.428775539362766	0.163857142857143	0.154650996130142	0.028436696198914	0.163880554364909	0.338239496999143	0.366857142857143	0.256179454207744	0.402486069438491	0.262428571428571	0.243923362882471	0.285469352764681	0.132990132990133	0.352058319039451	0.114081486776269	0.00685714285714286	0.177933400028584	0.069547796222095	0.0583440583440583	0.138202086608547	0.00257142857142857	0.091493924231594	0.0388960388960389	0.0546338672768879	0.374624946420917	0.0226328606216874	0.00914677719022438	0.24435230197312	0.108011444921316	0.0347242069162618	0.151701458392908	0.263398599399743	0.0423522678494778	0.251893127589656	0.103157593941992	0.0947990203140758	0.204831332189823	0.05379113018598	0.275171624713959	0.201888682214909	0.0283545753973937	0.149735676525218	0.045746962115797	0.209691252144082	0.136571428571429	0.29931291153736	0.142489638416464	0.308274974989281	0.102586083726247	0.310137457044674	0.0862980425775111	0.164499071030442	0.217093039874232	0.184417441029307	0.367247785081452	0.294042006000857	0.181168738391199	0.305615087869696	0.09401343049007	0.10995138690306	0.17345335047864	0.166857142857143	0.187732342007435	0.217142857142857	0.085383295194508	0.154893251182118	0.0977282468924132	0.402257787939411	0.0932227623677438	0.133876268038291	0.164618462417834	0.0554840554840555	0.268515870746354	0.0724596255538088	0.219299499642602	0.375142857142857	0.058	0.302701157638988	0.143776824034335	0.085620354488279	0.281468781254465	0.0161428571428571	0.0392913273324761	0.346819156540386	0.166142857142857	0.181532304173814	0.145205087894812	0.178203661327231	0.0257142857142857	0.336620926243568	0.136428571428571	0.00572246065808298	0.123	0.156893592677346	0.252285714285714	0.020160137260509	0.116445206458065	0.104232199027738	0.452857142857143	0.204172024574939	0.248285714285714	0.100857142857143	0.0518253400143164	0.0443490701001431	0.0704688393367639	0.382723112128146	0.0343102215868477	0.0727246749535648	0.0177472448833548	0.436205172167452	0.249463596052067	0.165451165451165	0.011858836976711	0.260757684060043	0.0287265971130484	0.00242961269115335	0.24967695620962
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.148735533647664	0.0717347813661046	0.0724803431022159	0.0751858204688393	0.0710304416178362	0.151086335048599	0.212181870174435	0	0.115796997855611	0.145758832785009	0.143408635973692	0.124285714285714	0.0267946697234561	0.0799256505576208	0.197571428571429	0.0299084144247281	0.219205487282081	0	0.0781540220031433	0	0.182	0.306790564689064	0.152878982711816	0.168285714285714	0.121463275221492	0.171571428571429	0.254394740603116	0.152559336574206	0.108	0.101428571428571	0.045045045045045	0.114159165595085	0.241142857142857	0.218575318904973	0.20120034295513	0.344620660094299	0.267076307516433	0.266714285714286	0.157736819545649	0.212173167595371	0.163142857142857	0.236917357735202	0.0972996142306044	0.148863148863149	0.141938250428816	0.163259471050751	0.052	0.290553094183221	0.0161705781339439	0.036036036036036	0.257396026868658	0.0391428571428571	0.191708363116512	0.049049049049049	0.0942505720823799	0.206886698099729	0.0322303394929093	0.0507360297270259	0.199599656848727	0.236766809728183	0.0585881680480137	0.198169859879897	0.125625267971988	0.0309057089712405	0.190741534504929	0.215459351335905	0.114392738798444	0.119353916523728	0.0356223175965665	0.115846681922197	0.208041207611962	0.0325075182586281	0.223603371910273	0.0904932094353109	0.303602058319039	0.124857142857143	0.0803034640709991	0.137630413034157	0.0786051164784908	0.139591370195742	0.143184421534937	0.1343049007001	0.235243675861083	0.116764327568958	0.163688348820586	0.0833095170048585	0.143591941705958	0.120588655522217	0.112873267609659	0.10130018574082	0.166142407778095	0.196885269324189	0.132571428571429	0.258078352873892	0.169571428571429	0.231550343249428	0.0419830921335435	0.1488784112016	0.0885967419262646	0.173148412925365	0.249607086726675	0.0923120891683338	0.238953238953239	0.179868458678868	0.211947977704731	0.098927805575411	0.162285714285714	0.130428571428571	0.204659139631271	0.18412017167382	0.179245283018868	0.192741820260037	0.0524285714285714	0.153450492927561	0.158541815582559	0.103857142857143	0.172955974842767	0.0650278690867515	0.178203661327231	0.0761428571428571	0.207118353344768	0.208428571428571	0.0693848354792561	0.0518571428571429	0.108838672768879	0.0575714285714286	0.0307406348298542	0.0292898985569367	0.10480411781527	0.0955714285714286	0.163166166595228	0.192	0.238571428571429	0.128561202576951	0.178826895565093	0.121497998856489	0.112128146453089	0.0408863473909936	0.122874696385198	0.0563904393874338	0.137305329332762	0.114289801172937	0.151294151294151	0.109015573653379	0.15939957112223	0.0250107188795198	0.0463055595255109	0.0580043072505384
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0197171024432062	0.00442983709631323	0.00786275911365261	0.0055746140651801	0.00886094040302987	0.00943396226415094	0.006720045753503	0.0283330936286495	0.0348820586132952	0.00572164211128594	0.00814984272233343	0.0157142857142857	0.00171944404642499	0.00557620817843866	0.0114285714285714	0.00143102461362335	0.00914547013432409	0.000143204926249463	0.00600085726532362	0	0.00285714285714286	0.0087205146533238	0.0647235319331333	0.0768571428571429	0.242783652472135	0.00257142857142857	0.0545948263541518	0.00686302545038605	0.0548571428571429	0.803285714285714	0.002002002002002	0.00471495927989713	0.00728571428571429	0.0200659309158664	0.604744212632181	0.0214316330904415	0.000428693912546442	0.00957142857142857	0.00457208172596085	0.0177168166880983	0.125857142857143	0.282527881040892	0.00257179597085298	0.481052481052481	0.0157232704402516	0.0890636168691923	0.752428571428571	0.011719308274975	0.00157412707498569	0.00729300729300729	0.104616264113191	0.894714285714286	0.150250178699071	0.544115544115544	0.00357551487414188	0.00800114302043149	0.00143245953301819	0.738316421323424	0.0327423505862168	0.0593705293276109	0.436410402972278	0.140692021732914	0.00200085751036158	0.000715409929889827	0.0135733676239463	0.33804829261323	0.0247802910243481	0.0550314465408805	0.00329041487839771	0.00643592677345538	0.0357704964944913	0.00329371330373765	0.22217459637091	0.00185847033595425	0.0393081761006289	0.412142857142857	0.00629831090752934	0.0198656567100186	0.202372445333714	0.00500071438776968	0.0131729667812142	0.314473496213745	0.176790052879806	0.00200085751036158	0.00714796283059328	0.00585881680480137	0.0271467352478926	0.0167166738105444	0.00471495927989713	0.626946706672382	0.0243065484701172	0.0042863266180883	0.00114285714285714	0.0210180154418073	0.0955714285714286	0.00929633867276888	0.00200601805416249	0.0372910415773682	0.000571591883395256	0.0361738633114098	0.129161308758394	0.380537296370392	0.011011011011011	0.0110094366599943	0.199228240674575	0.00471765546819157	0.00128571428571429	0.667285714285714	0.0370158639416893	0.0103004291845494	0.113636363636364	0.00257179597085298	0.872285714285714	0.00928704100585798	0.00600428877769836	0.0141428571428571	0.0110062893081761	0.216092611119051	0.011870709382151	0.786285714285714	0.0860491709548313	0.366285714285714	0.00586552217453505	0.364857142857143	0.00943935926773455	0.0138571428571429	0.00243065484701172	0.00100014287755394	0.0115813554475265	0.00628571428571429	0.00542934704957851	0.005	0.00742857142857143	0.00529706513958482	0.00643776824034335	0.146798170383076	0.00872425629290618	0.00185847033595425	0.00457208172596085	0.0037211965078002	0.00342906129447064	0.0946931769417823	0.0679250679250679	0.731961708815545	0.00829163688348821	0.0022866942975561	0.582392453908818	0.00717875089734386
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.124160594370624	0.0174335524435553	0.0387419585418156	0.00900514579759863	0.0794626268400743	0.0418810748999428	0.0307406348298542	0.00273263339565655	0.0207290922087205	0.0802460306107853	0.0397483557334858	0.0594285714285714	0.0113196733056312	0.0992279096368316	0.152857142857143	0.025186033199771	0.146470420120034	0.0849205212659316	0.106443777682526	0.397027297413177	0.156571428571429	0.0846318799142244	0.256036576653808	0.32	0.000285795941697628	0.150142857142857	0.100328712305274	0.160280240205891	0.146142857142857	0.0122857142857143	0.0263120263120263	0.177025289327047	0.120285714285714	0.145907983373943	0.0262932266361818	0.0758679811401629	0.110745927407831	0.111428571428571	0.0710101443063295	0.125446492356051	0.108142857142857	0.0534744066342579	0.064580654379197	0.0689260689260689	0.11349342481418	0.146819156540386	0.00857142857142857	0.111905102186651	0.0237550085861477	0.029029029029029	0.114763470058597	0.00957142857142857	0.158398856325947	0.0582010582010582	0.0165903890160183	0.0862980425775111	0.000429737859905458	0.0124339002429613	0.0483271375464684	0.171244635193133	0.0432980851671906	0.202030311695739	0.201514934972131	0.0533695807697811	0.0384340620088584	0.0685812258894128	0.0365941506987466	0.37778730703259	0.00944206008583691	0.109553775743707	0.203033338102733	0.00959473005871402	0.0614373481925989	0.0491779842744818	0.061177815894797	0.142285714285714	0.0770111651875179	0.202801200514506	0.218950978990996	0.0698671238748393	0.0405211912943872	0.0442920417202457	0.0508789481206231	0.289838502215235	0.106933523945675	0.3132323521006	0.0531504500642949	0.378482640377197	0.113016145163595	0.041863123303329	0.210752073205605	0.254750678668381	0.178571428571429	0.0736345438947669	0.319142857142857	0.040474828375286	0.00644791517409371	0.234747821117302	0.365390111460417	0.16871604232199	0.119874267752536	0.137182052014861	0.04004004004004	0.0992279096368316	0.0500214377590396	0.382701929949964	0.275571428571429	0.0657142857142857	0.112333857367443	0.207725321888412	0.0567467124070898	0.227461065866552	0.0165714285714286	0.350192884697814	0.205146533238027	0.0725714285714286	0.0232990280160091	0.059739888523653	0.114130434782609	0.0141428571428571	0.0867638650657519	0.0707142857142857	0.0103004291845494	0.0705714285714286	0.0530606407322654	0.0612857142857143	0.00986559908492994	0.0251464494927847	0.0996568487274807	0.0714285714285714	0.0765823689098443	0.253142857142857	0.15	0.0690050107372942	0.082689556509299	0.0843339050886221	0.134725400457666	0.0260185847033595	0.0657236748106872	0.0333476456275941	0.243463351907415	0.203976541267344	0.148863148863149	0.0111444492070296	0.192280200142959	0.0148635129341146	0.00242961269115335	0.0746590093323762
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.154450635805115	0.00671620462989426	0.00557541100786276	0.0287307032590051	0.0354437616121195	0.0167238421955403	0.0304546754360881	0.000575291241190853	0.0165832737669764	0.0213131168645401	0.0210180154418073	0.0192857142857143	0.0709270669150308	0.0897912496425508	0.0847142857142857	0.309530623926732	0.0880251500428694	0.000143204926249463	0.00042863266180883	0	0.166428571428571	0.0650464617583989	0.0947278182597514	0.0854285714285714	0.118176621891969	0.0924285714285714	0.0355866800057167	0.205318844724049	0.116285714285714	0.006	0.0174460174460174	0.0787255322188884	0.0397142857142857	0.000143328077970474	0.00300085738782509	0.031004429204172	0.186338953986853	0.0634285714285714	0.121445920845835	0.000142877553936277	0.0501428571428571	0.0579067772376323	0.0170024289184169	0.0167310167310167	0.0450257289879931	0.0824874910650465	0.0285714285714286	0.0701729312562527	0.0505151688609044	0.372086372086372	0.153065599542661	0.00757142857142857	0.124088634739099	0.104676104676105	0.011870709382151	0.0312901843120446	0.117748173614095	0.0350150064313277	0.0271661424077781	0.0648068669527897	0.192197770791655	0.117386331140978	0.0851793625839646	0.217055372728573	0.0162880411487355	0.085726532361766	0.000288142918887768	0.0251572327044025	0.163805436337625	0.106550343249428	0.0877092574044928	0.108119719318345	0.213601943134734	0.475482487491065	0.26600914808462	0.0537142857142857	0.0490981963927856	0.165070744604831	0.0278690867514649	0.0608658379768538	0.024914089347079	0.229747106729533	0.276832928397885	0.0638845219379734	0.110793423874196	0.000571591883395256	0.326618088298328	0.0890127161023003	0.00114302043149021	0.0534362051721675	0.162424935659136	0.0577225317902558	0.148428571428571	0.128109808407206	0.0962857142857143	0.0564931350114416	0.0209199025648374	0.131875982283183	0.0412975135753072	0.0820703460108665	0.265323617659666	0.0315804515575879	0.0656370656370656	0.0414641120960824	0.041303415749607	0.0900643316654753	0.0511428571428571	0.00785714285714286	0.23853079891382	0.197854077253219	0.397798742138365	0.0915845120731533	0.005	0.159594227746821	0.0631879914224446	0.519428571428571	0.0207261292166953	0.0298699442618265	0.00443363844393593	0.009	0.161377930245855	0.0842857142857143	0.440486409155937	0.0367142857142857	0.1058352402746	0.0102857142857143	0.25564769802688	0.268181168738391	0.199456677151844	0.00771428571428571	0.0532933276182312	0.139571428571429	0.129142857142857	0.115676449534717	0.150071530758226	0.0921955403087479	0.0263157894736842	0.486347390993567	0.203600514359194	0.142264204952054	0.00614373481925989	0.0861107137748534	0.0965250965250965	0.0135733676239463	0.000142959256611866	0.702729741317708	0.0754609118193511	0.0452261306532663
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0205743677668238	0.134181194627036	0.0774839170836312	0.0518867924528302	0.0343004144633414	0.120211549456832	0.218329997140406	0.000862936861786279	0.0541815582558971	0.108854241167215	0.116385473262797	0.0534285714285714	0.233844390313799	0.188161281098084	0.196571428571429	0.290497996565541	0.104601314661332	0.000143204926249463	0.155879411344478	0	0.0297142857142857	0.161258041458184	0.0384340620088584	0.0691428571428571	0.0158616747642183	0.0435714285714286	0.0733171359153923	0.0477552187589362	0.0348571428571429	0.0334285714285714	0.0403260403260403	0.0702957565366481	0.245285714285714	0.133868424824423	0.0458702486424693	0.225746535219317	0.0378679622749357	0.0344285714285714	0.0785826546649521	0.0771538791255894	0.0444285714285714	0.0253074063482985	0.0202886126589513	0.016016016016016	0.118639222412807	0.043602573266619	0.104571428571429	0.104902100900386	0.150400686891815	0.100958100958101	0.0208660854651994	0.0125714285714286	0.0204431736954968	0.00900900900900901	0.0876716247139588	0.0568652664666381	0.365706918779544	0.0790338716592826	0.112382041750071	0.0206008583690987	0.0250071448985424	0.0177294824134973	0.0643132771187652	0.0374874803262269	0.103300471495928	0.0682954707815402	0.24665033856793	0.00571755288736421	0.480972818311874	0.110268878718535	0.0264701674059236	0.286409852498926	0.0394342048864123	0.052180128663331	0.0157232704402516	0.0267142857142857	0.122673919267106	0.0830355866800057	0.0164356152636844	0.374482068866981	0.121563573883162	0.0705815116445206	0.00957553237101615	0.0833214234672002	0.128949249463903	0.0544441268933981	0.0398628375482212	0.0455779397056722	0.244177739677097	0.00985855122160309	0.0832141835859308	0.0370052864694956	0.0262857142857143	0.158993422933943	0.0134285714285714	0.324227688787185	0.0169078664565124	0.0640091441634519	0.0121463275221492	0.046897340577638	0.0241463066152307	0.0178622463561017	0.322894322894323	0.11138118387189	0.0160068600828927	0.021300929235168	0.0174285714285714	0.00928571428571429	0.0177218808060597	0.0376251788268956	0.0983419096626644	0.0295756536648093	0.0132857142857143	0.0700100014287755	0.039313795568263	0.037	0.112635791881075	0.017864799199657	0.236985125858124	0.0398571428571429	0.0248713550600343	0.0241428571428571	0.189842632331903	0.0178571428571429	0.267448512585812	0.0551428571428571	0.404203603088361	0.0382911844549221	0.145839290820703	0.0382857142857143	0.184454922131733	0.0762857142857143	0.0955714285714286	0.123120973514674	0.209012875536481	0.00686106346483705	0.0803775743707094	0.107934238741959	0.186455207886841	0.509231429798197	0.0231461637376768	0.0191675010728079	0.0530530530530531	0.0582940420060009	0.0583273766976412	0.0294411890810347	0.224238959554095	0.171572146446518
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0572938991284469	0.0855958845384396	0.149678341672623	0.0981989708404803	0.109046734314706	0.0897655803316181	0.212038890477552	0.000575291241190853	0.0453180843459614	0.207266485481333	0.29039176436946	0.142	0.0197736065338874	0.130397483557335	0.108142857142857	0.0183171150543789	0.134609888539583	0	0.0778682668952708	0	0.123142857142857	0.0817726947819871	0.160451493070439	0.0798571428571429	0.0438696770505859	0.106428571428571	0.113620122909818	0.163139834143552	0.155571428571429	0.0224285714285714	0.0533390533390533	0.064580654379197	0.117714285714286	0.158807510391286	0.077593598170906	0.0947278182597514	0.000571591883395256	0.0958571428571429	0.0895842263180454	0.0581511644520646	0.126428571428571	0.0616242493565914	0.0375767966852407	0.0541970541970542	0.113207547169811	0.138813438170122	0.0167142857142857	0.135200800343004	0.0131654264453349	0.0148720148720149	0.12290981849364	0.0248571428571429	0.144531808434596	0.0434720434720435	0.0542048054919908	0.121731675953708	0.047557656496204	0.0180077175932543	0.213468687446383	0.196280400572246	0.0390111460417262	0.113525879325136	0.100614549092468	0.028902561167549	0.179168452636091	0.0581511644520646	0.0906209479902031	0.14694110920526	0.0283261802575107	0.117276887871854	0.168550579482043	0.0273521409136474	0.0558651235890842	0.0781987133666905	0.0560320182961692	0.061	0.0624105353564271	0.12862655423753	0.0585965413748749	0.0951564509215602	0.139461626575029	0.0425775110730104	0.0523081320565957	0.107474631985136	0.0999285203716941	0.0931694769934267	0.0188598371195885	0.106586655236462	0.0408629804257751	0.0301471638805544	0.13297111810123	0.1795970852979	0.107857142857143	0.0812124678295682	0.0582857142857143	0.091533180778032	0.0578879495629746	0.191170167166738	0.0654472706487568	0.28009722619388	0.0374339191313045	0.101457559302658	0.102531102531103	0.102659422362025	0.0501643561526368	0.0448892065761258	0.0781428571428571	0.0468571428571429	0.0324424753465771	0.0834048640915594	0.034019439679817	0.116873839119874	0.0168571428571429	0.069724246320903	0.114224446032881	0.0208571428571429	0.116923956546598	0.0580248678004859	0.1779176201373	0.0321428571428571	0.0618925100057176	0.0495714285714286	0.0231759656652361	0.0432857142857143	0.107551487414188	0.0828571428571429	0.0203031169573921	0.0142877553936277	0.0606233914784101	0.0811428571428571	0.15502214602086	0.0245714285714286	0.156428571428571	0.0687186828919112	0.126466380543634	0.072041166380789	0.0520594965675057	0.0303073624017155	0.0998714102014573	0.0409331615858022	0.095585083583369	0.108282076956086	0.128271128271128	0.0154307758251179	0.102930664760543	0.0140060025725311	0.0071459196798628	0.104091888011486
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.20260037148164	0.00471563303801086	0.0852037169406719	0.0900514579759863	0.000428755180791768	0.0370211549456832	0.013297111810123	0.862936861786279	0.532809149392423	0	0.0230197311981699	0.111	0.232698094282849	0	0.000285714285714286	0.00300515168860904	0.000142897970848814	0.68809967062867	0	0.289123910247249	0.0835714285714286	0.00114367405289492	0.000285755107872553	0.0237142857142857	0.000428693912546442	0.219142857142857	0.0570244390453051	0.0141549899914212	0.166	0	0.702273702273702	0	0.000714285714285714	0.000286656155940949	0	0.000142877553936277	0.0372963703915404	0	0.100871553079011	0	0.07	0	0.457351050150021	0.0281710281710282	0.0257289879931389	0.15096497498213	0.000142857142857143	0.0152922681149064	0.000286204922724671	0.000143000143000143	0.0408746605688152	0	0.0651894210150107	0.00829400829400829	0.637728832951945	0.00314330618659809	0.00902449505801461	0	0.0427509293680297	0.067238912732475	0.0272935124321235	0.013440091507006	0	0.000429245957933896	0.126875267895414	0.00042863266180883	0.000288142918887768	0.0253001715265866	0.00329041487839771	0.000143020594965675	0.0153097724996423	0.267936417012745	0.000142877553936277	0.00600428877769836	0.00128644939965695	0.00614285714285714	0.106641855138849	0.0334429041017579	0.0035729598399314	0.00728675525075011	0.121706758304696	0	0.000571673574389024	0.000142918393597256	0.0304503216583274	0.000428693912546442	0.00257179597085298	0.000714387769681383	0	0	0	0.0018574082011716	0.154142857142857	0.000142979696883043	0.00214285714285714	0.0460526315789474	0.511821177819172	0	0.000285795941697628	0.0407492136116671	0.000142877553936277	0.0422977993712489	0.0589160589160589	0.0679153560194452	0.287694726311276	0.0993566833452466	0.000857142857142857	0	0.00400171502072317	0.0443490701001431	0	0.00042863266180883	0.000142857142857143	0.0024289184169167	0	0.0124285714285714	0.27472841623785	0.380877518936687	0	0	0	0.000428571428571429	0	0.272571428571429	0.0183066361556064	0.424857142857143	0.0396053760366028	0.421631661665952	0.0786388332856734	0.200714285714286	0.0608658379768538	0.00328571428571429	0	0.33142448103078	0.0011444921316166	0.378787878787879	0.0610697940503432	0.00157255182273052	0.00171453064723532	0.0034349506225848	0.000285755107872553	0.0779573737662709	0.0531960531960532	0.0148592656093728	0.111365260900643	0.0391596398456481	0	0.00890165111270639
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0181454493499071	0.00700200057159188	0.00600428877769836	0.00943396226415094	0.0282978419322567	0.0208690680388794	0.00843580211609951	0.0021573421544657	0.00743388134381701	0.00457731368902875	0.00729196454103517	0.00757142857142857	0.0322395758704686	0.0175865027166142	0.0277142857142857	0.0991700057240985	0.00757359245498714	0.00329371330373765	0.00685812258894128	0.0255823924539088	0.0127142857142857	0.0241601143674053	0.0317188169738534	0.013	0.0280080022863675	0.0112857142857143	0.00443047020151493	0.0277380611953103	0.0158571428571429	0.00114285714285714	0.00457600457600458	0.00514359194170596	0.012	0.0160527447326931	0.000571591883395256	0.0114302043149021	0.0130037153472421	0.0228571428571429	0.0325760822974711	0.0274324903557651	0.0164285714285714	0.0128681727194738	0.00728675525075011	0.00386100386100386	0.024442538593482	0.0240171551107934	0.0102857142857143	0.0180077175932543	0.329994275901546	0.167596167596168	0.0250107188795198	0.00228571428571429	0.0284488920657613	0.0291720291720292	0.0040045766590389	0.00900128589798543	0.0584443489471422	0.0224381877947692	0.0231627108950529	0.0453505007153076	0.0615890254358388	0.0294538175579068	0.0498785193654423	0.0964372585491487	0.0172881840262895	0.00757251035862266	0.0899005906929837	0.010863350485992	0.0934191702432046	0.0231693363844394	0.0257547574760338	0.0693111843047401	0.0218602657522503	0.0537526804860615	0.0115780445969125	0.011	0.0533924992842829	0.0401600686008289	0.00800343004144633	0.0151450207172453	0.0224799541809851	0.0188598371195885	0.0100042875518079	0.0553094183221381	0.0204431736954968	0.0155758788225207	0.0460065723674811	0.0184312044577797	0.0907272467495357	0.0180025717959709	0.0283099799828424	0.00871553079011287	0.021	0.0151558478696025	0.0185714285714286	0.0137299771167048	0.00229259206189999	0.0308615516502357	0.00557302086310374	0.0230197311981699	0.0181454493499071	0.00957416404687053	0.0183040183040183	0.0428939090649128	0.0108617979133915	0.0150107219442459	0.0131428571428571	0.00157142857142857	0.0241532085179363	0.0316165951359084	0.0110062893081761	0.02686098014002	0.000857142857142857	0.00957279611373053	0.0161543959971408	0.0261428571428571	0.0124356775300172	0.011147634700586	0.0294622425629291	0.00157142857142857	0.0224413950829045	0.0175714285714286	0.0964234620886981	0.009	0.022883295194508	0.009	0.0762081784386617	0.0490070010001429	0.0750643408635974	0.00685714285714286	0.0105729389912845	0.0334285714285714	0.0302857142857143	0.0150322118826056	0.0227467811158798	0.00843339050886221	0.0503432494279176	0.114796283059328	0.0302900414344906	0.0704164877629884	0.00385769395627947	0.0254613073952224	0.0286000286000286	0.017573939134162	0.0221586847748392	0.0593111333428612	0.0272974131770759	0.0548456568557071
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00228604086298043	0.00471563303801086	0.00314510364546104	0.012292738707833	0.0118622266685722	0.00371640937678674	0.0263082642264798	0	0.00686204431736955	0.0184522958088972	0.0148698884758364	0.00957142857142857	0.0239289296460811	0.0516156705747784	0.0145714285714286	0.0224670864338867	0.0264361246070306	0	0.0371481640234319	0	0.015	0.0248749106504646	0.00985855122160309	0.0254285714285714	0	0.0205714285714286	0.0325853937401744	0.0108664569631112	0.0131428571428571	0.00228571428571429	0.00557700557700558	0.0291470210030004	0.0135714285714286	0.00945965314605131	0.00242926550442984	0.00971567366766681	0.000142897970848814	0.022	0.0380054293470496	0.00271467352478926	0.0215714285714286	0.00328853302830998	0.00742963280468638	0.00815100815100815	0.021726700971984	0.0240171551107934	0.00557142857142857	0.0227240245819637	0.0877218088151116	0.0434720434720435	0.0114334714877805	0.00328571428571429	0.0147248034310222	0.0155870155870156	0.0125858123569794	0.0212887555365052	0.136083655636728	0.00771759325425182	0.00700600514726909	0.000429184549356223	0.0282937982280652	0.010008578781813	0.0598828069172503	0.123908999856918	0.0102871838834119	0.0151450207172453	0.00720357297219421	0.00314465408805031	0.0223175965665236	0.0729405034324943	0.0110173129203033	0.0336531576686238	0.00742963280468638	0.0431736954967834	0.00514579759862779	0.0184285714285714	0.0293444030918981	0.0300128626554238	0.0328712305273689	0.0194313473353336	0.0171821305841924	0.0342906129447064	0.0104330427325997	0.0563098470773188	0.101501072194425	0.00400114318376679	0.0120017145306472	0.0255750821545935	0.0181454493499071	0.00471495927989713	0.0590506148126966	0.025289327046721	0.0415714285714286	0.020017157563626	0.00657142857142857	0.0261727688787185	0.0075942112050437	0.0400057151021575	0.00971706201771935	0.0346010866456963	0.0152878982711816	0.00914547013432409	0.0307450307450307	0.0310265942236202	0.0110047163069887	0.00543245175125089	0.0171428571428571	0.00585714285714286	0.00285836787194512	0.00858369098712446	0.0174385363064608	0.0230032861837405	0.00242857142857143	0.0141448778396914	0.0301644031451036	0.0114285714285714	0.015008576329331	0.00671716449907103	0.0211670480549199	0.00671428571428571	0.0055746140651801	0.0135714285714286	0.0400572246065808	0.00571428571428571	0.0768020594965675	0.00785714285714286	0.0418930511867315	0.00271467352478926	0.0388904775521876	0.0102857142857143	0.0165737962566081	0.00757142857142857	0.0458571428571429	0.0495347172512527	0.123032904148784	0.0105774728416238	0.0153032036613272	0.052180128663331	0.0794399199885698	0.0426506368970946	0.00357193884840692	0.0094407094836218	0.026026026026026	0.00328618374053436	0.00557541100786276	0.00857510361583536	0.0137201657853366	0.0552763819095477
