"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.240062428853623,0.351486713539265,0.310797256917821,0.367822598534899,0.371226050957379,0.33942840051308,0.385756737932852,0.378675809490955,0.422735941453031
"lambchop18",0.240062428853623,0,0.257716575177885,0.206406588918824,0.293098583605896,0.286674494467525,0.213829579156352,0.237996090141276,0.29599681463179,0.348654589889041
"lambchop25",0.351486713539265,0.257716575177885,0,0.198201593302739,0.152108081707536,0.210143269437849,0.168798699878679,0.146990445978933,0.20468168962352,0.285803308628703
"lambchop37",0.310797256917821,0.206406588918824,0.198201593302739,0,0.226002975614031,0.209370607791411,0.151794563171686,0.184600995631422,0.228396058007545,0.25580611424611
"lambchop44",0.367822598534899,0.293098583605896,0.152108081707536,0.226002975614031,0,0.164230349705361,0.166535679611097,0.149229410171434,0.191557719229663,0.281480791303556
"lambchop46",0.371226050957379,0.286674494467525,0.210143269437849,0.209370607791411,0.164230349705361,0,0.206761206376493,0.13627544155588,0.12394920590182,0.191445388121425
"lambchop48",0.33942840051308,0.213829579156352,0.168798699878679,0.151794563171686,0.166535679611097,0.206761206376493,0,0.145601547044921,0.213643456392901,0.308865546832359
"lambchop50",0.385756737932852,0.237996090141276,0.146990445978933,0.184600995631422,0.149229410171434,0.13627544155588,0.145601547044921,0,0.156094221861123,0.264239155553023
"lambchop55",0.378675809490955,0.29599681463179,0.20468168962352,0.228396058007545,0.191557719229663,0.12394920590182,0.213643456392901,0.156094221861123,0,0.167975363573395
"lambchop70",0.422735941453031,0.348654589889041,0.285803308628703,0.25580611424611,0.281480791303556,0.191445388121425,0.308865546832359,0.264239155553023,0.167975363573395,0
