"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.275226190401244,0.51151857739601,0.826338690939576,0.787692745730356,0.779114744666818,0.816239078518048,0.762171392568504,0.665063443700989,0.886653182756816
"lambchop18",0.275226190401244,0,0.568712838445614,0.833540852987207,0.781703705652335,0.757201093302774,0.799592738221751,0.73860948927139,0.64904944608845,0.895219847714753
"lambchop25",0.51151857739601,0.568712838445614,0,0.840955045449851,0.702674926399195,0.749954034613931,0.787265452763592,0.708243008258446,0.581202695366856,0.807708508660454
"lambchop37",0.826338690939576,0.833540852987207,0.840955045449851,0,0.614986045829396,0.673357848467907,0.362262315333824,0.66811645766928,0.685328726038679,0.40242245081897
"lambchop44",0.787692745730356,0.781703705652335,0.702674926399195,0.614986045829396,0,0.448064867531037,0.617829360179247,0.542023136357162,0.472241594263923,0.602067797923546
"lambchop46",0.779114744666818,0.757201093302774,0.749954034613931,0.673357848467907,0.448064867531037,0,0.719136593244608,0.318832583818233,0.504931063593247,0.62021988461641
"lambchop48",0.816239078518048,0.799592738221751,0.787265452763592,0.362262315333824,0.617829360179247,0.719136593244608,0,0.647712068042258,0.766857408689838,0.510777591186547
"lambchop50",0.762171392568504,0.73860948927139,0.708243008258446,0.66811645766928,0.542023136357162,0.318832583818233,0.647712068042258,0,0.50395604343616,0.622278766370064
"lambchop55",0.665063443700989,0.64904944608845,0.581202695366856,0.685328726038679,0.472241594263923,0.504931063593247,0.766857408689838,0.50395604343616,0,0.65427830804054
"lambchop70",0.886653182756816,0.895219847714753,0.807708508660454,0.40242245081897,0.602067797923546,0.62021988461641,0.510777591186547,0.622278766370064,0.65427830804054,0
