"","buddy11","hamlet11","hera11","padme11","ginger14","hera14","jarjarbinks14","joans14","kubo14","wolverine14","jarjarbinks15","kubo15","buddy16","iris16","hamlet17","hera17","iris17","lambchop17","wolverine17","lambchop18","franc19","ophelia19","goose20","jarjarbinks21","joans21","korra21","kubo21","franc22","goose22","grogu22","hamlet22","iris22","hera24","ivy24","marshmallow24","hamlet25","lambchop25","ginger27","henry29","ivy29","jarjarbinks29","joans29","korra29","kubo30","hamlet31","jarjarbinks32","grogu36","henry36","iris36","ivy36","goose37","grogu37","lambchop37","marshmallow37","ophelia37","wolverine37","charles41","grogu41","hamlet41","joans41","marshmallow41","goose42","henry42","ginger43","ophelia43","buddy44","franc44","goose44","hera44","iris44","ivy44","jarjarbinks44","joans44","korra44","lambchop44","marshmallow44","wolverine44","franc45","grogu45","hera45","ophelia45","buddy46","charles46","ginger46","iris46","ivy46","lambchop46","franc47","ivy47","buddy48","franc48","henry48","korra48","kubo48","lambchop48","ophelia48","charles49","franc49","ginger49","jarjarbinks49","joans49","marshmallow49","ophelia49","wolverine49","buddy50","charles50","ginger50","grogu50","lambchop50","charles51","joans51","ginger52","marshmallow53","charles55","ginger55","lambchop55","ophelia55","buddy56","franc56","grogu56","joans56","buddy57","charles57","joans57","ophelia57","wolverine57","hera58","korra58","kubo58","wolverine58","hamlet59","henry59","iris59","ophelia59","iris60","marshmallow60","wolverine60","ginger66","henry66","hamlet67","hera67","franc68","jarjarbinks68","grogu70","ivy70","lambchop70","marshmallow70","wolverine70"
"buddy11",0,0.728793995182519,0.517669212622137,0.470211678925866,0.811219129079279,0.686209065418412,0.67434011201302,0.679363029835045,0.421123231266008,0.728638256643607,0.702434472239271,0.545639609730111,0.459810808488908,0.612927512013792,0.74659919231844,0.753747391237635,0.641184535570539,0.701310206304845,0.785895349019868,0.607772743256546,0.382642421628699,0.671581627681476,0.549659172112745,0.698285636843165,0.767881525600164,0.515404835874264,0.458764245512384,0.715759249258912,0.320304246590418,0.85684307424019,0.639071253841229,0.777704816371813,0.722340870343122,0.684036263763448,0.845913348899085,0.760657074221554,0.71501060420841,0.730258430478999,0.564918323673231,0.712168415746637,0.651859598116375,0.768818393457726,0.650117217524035,0.555384775360783,0.634044326538452,0.356332182093962,0.77535964302223,0.707755406961851,0.737959785957231,0.680912729510705,0.489318693878689,0.818385738573333,0.459834261846264,0.616747822234819,0.55473595501568,0.691245057303902,0.578681762077189,0.753237651970604,0.696761587186482,0.489424448146269,0.324260039699874,0.569719330414791,0.763629971311341,0.705984306802356,0.595435174492657,0.711260227369076,0.733961435701344,0.54349381499155,0.72971617613363,0.727247645090285,0.656865053135505,0.52358539156074,0.704568540234958,0.725295567301876,0.531191711518714,0.761477419619769,0.638649781465305,0.451288441254277,0.733324692759644,0.725315302963939,0.644192623487617,0.725374130482083,0.709315938571555,0.776434447786077,0.663451204628576,0.771133580764828,0.694945128094913,0.716222328866603,0.79049788621239,0.750915723514192,0.743765505812161,0.720595392442433,0.354902940640727,0.744070690002297,0.524511538553394,0.6801773387664,0.756173281229072,0.766748092379308,0.795087007261574,0.668845046047369,0.678030802870292,0.748116855643811,0.421811184532037,0.637670490685141,0.429399325629724,0.646329404105654,0.748571793621891,0.819253237258882,0.694945768369898,0.67352585142264,0.732653315180412,0.736525606134281,0.879161844076756,0.735900555515465,0.761567800184081,0.718276765556525,0.615753137440359,0.348297545424506,0.751760258695655,0.889550730468061,0.733752238011297,0.711591306442754,0.769646380202358,0.586183778433037,0.62907102084054,0.601407320054509,0.650252610981131,0.306254112646497,0.678114543483584,0.62378989745213,0.632860251364993,0.672624023649718,0.718851555044205,0.523611044627315,0.595256037563821,0.42361653628571,0.609520976471224,0.745427188328388,0.666589185646048,0.719290987123747,0.740062269084286,0.41821054077054,0.470143724751739,0.451437148095575,0.357740039526327,0.521520914886115,0.741952293623565,0.703247551393244
"hamlet11",0.728793995182519,0,0.702422877818989,0.721131941527634,0.656008892814384,0.468525221183712,0.563701129036003,0.793456929986533,0.748919206134881,0.568155874429664,0.522541240990602,0.427141595433778,0.84117212670645,0.672963951988244,0.59004709624887,0.452761772069133,0.55573318579983,0.808121054747911,0.519019402196418,0.773278589008383,0.665018029712132,0.512473624061789,0.678808188730822,0.296270678723302,0.645908135599107,0.641621134317351,0.518487021558701,0.465539446616928,0.648617535545128,0.716512336183559,0.567097144757161,0.515393028487657,0.462424584004481,0.46036437440569,0.666638376993109,0.360280963540056,0.6719446275616,0.472454101746993,0.560020080190666,0.697597470395132,0.426566810445817,0.448833941456235,0.629381520709504,0.591098457038958,0.668990721864782,0.700595045337567,0.481564678919312,0.358469624413335,0.533256419256931,0.563671111302018,0.622733109476754,0.646904393758966,0.648608365415168,0.536822570720702,0.739677058012546,0.293655835728761,0.696074149065393,0.586211375467103,0.489981456185709,0.652929846036608,0.6409244203038,0.654440885501448,0.545406293372681,0.389415627600534,0.657357348117831,0.568095548823663,0.665211537851017,0.616483087501756,0.436184216739865,0.567910910166695,0.7018621141262,0.759831420048275,0.584932144239468,0.519174269371915,0.614630399923827,0.367878566833906,0.539395673834887,0.616289261133069,0.264616862286791,0.358430563932787,0.673951386672014,0.513532096732839,0.521558467393109,0.451801451595418,0.503472747410871,0.54769768034909,0.659882073337025,0.519075048082918,0.621749849589554,0.505452161509192,0.555825319044821,0.346099940964862,0.682381293542794,0.483787647189633,0.577426228269803,0.544529383738677,0.728121105526571,0.595656605085642,0.521071868580833,0.496459369834119,0.577654670487821,0.4176466482927,0.697748236273882,0.432999039687552,0.671331702574287,0.484122241947185,0.46227141979347,0.651415471359595,0.616846252286492,0.47120838075302,0.602947686059289,0.637196898853793,0.699477918929144,0.438832255481011,0.63158089000471,0.694439271941013,0.773279064890126,0.660374329549095,0.48026958687331,0.706414313084297,0.735309711887517,0.642142573665135,0.66404861519428,0.545046875106457,0.543311090991644,0.513314033211391,0.609787069981937,0.751441501507543,0.572377597997623,0.400686092929666,0.615714827738654,0.696312200028825,0.477988332396042,0.733488699590511,0.681878282051559,0.743258063493056,0.620431140591597,0.47594341733604,0.36577984266515,0.430453259804252,0.524484290504296,0.614886087439203,0.645884789565125,0.6264993227654,0.637227335873299,0.699793229840018,0.499347576628462,0.482826423417438
"hera11",0.517669212622137,0.702422877818989,0,0.570584600664384,0.640910396486797,0.62330576874947,0.479969693495148,0.766249609055853,0.526544745143102,0.605574203766803,0.44972390285552,0.526879334089358,0.683119590977413,0.553243745788621,0.64238617117438,0.749637284477748,0.530643863922721,0.817239762039138,0.739567062020228,0.743666517638938,0.438064558387732,0.596921916872009,0.56343090085547,0.655818696440138,0.653648866281287,0.500111333596115,0.343297931937426,0.659349197992441,0.464232091660452,0.889022645195537,0.738059010193802,0.682770546606307,0.574348382508739,0.616542381910332,0.799358628023178,0.768810443774614,0.675721170256069,0.742120916231838,0.563799357525332,0.519907606328608,0.607588012878728,0.778564310844604,0.749652955973827,0.380506196101998,0.444600128763156,0.45246122684617,0.818714929354571,0.651601356501184,0.718352760135161,0.746809638458074,0.392505477151138,0.817382661537971,0.353167194396263,0.799301921020779,0.598622140328592,0.690783342040746,0.783795404556954,0.782089998540362,0.592955705666455,0.382181728229009,0.506239362087786,0.45062182973918,0.649525055026882,0.690548172020245,0.533515863591449,0.576473220950102,0.690268428943777,0.44040422779659,0.661547496752864,0.630941707996106,0.466982504318458,0.562352110841332,0.752927892852638,0.644820187222959,0.557935201996213,0.713484918628499,0.603746824571094,0.470207483885432,0.691827559944786,0.634785478642355,0.451293781004878,0.713169387203079,0.720885696398421,0.754626761058452,0.589965913645518,0.761056436041744,0.690317824072411,0.725855607912171,0.793461097239625,0.764748150300044,0.716184542895296,0.709126028947051,0.331508129264287,0.700480402542966,0.548931398423217,0.598249633439023,0.806778330773186,0.715997924391684,0.690607301598921,0.618356851660397,0.763005901519511,0.684863817675034,0.316728564633679,0.563956828176883,0.408022971140948,0.671475591856149,0.754258467444541,0.847102204965121,0.726490766609482,0.679195107831245,0.690190108611989,0.628029431548049,0.901820113881395,0.73575695005156,0.538339603146471,0.730843734054772,0.547397514888648,0.535776093848872,0.715023849254599,0.894723873922353,0.640953283225988,0.659783444786179,0.774877559495737,0.715171917430227,0.629364598181626,0.669025339073596,0.608632118511343,0.676169607739943,0.603872284588695,0.653389210405406,0.505152533308233,0.673530178786779,0.716958533420833,0.617054991860999,0.513037063317193,0.519494069249833,0.538924556567743,0.722354674387847,0.709447398481379,0.629404803957172,0.719819841628907,0.302709161871962,0.36087605183365,0.631986203416746,0.288358492258836,0.491350945261436,0.800379308172142,0.619289150161174
"padme11",0.470211678925866,0.721131941527634,0.570584600664384,0,0.847032413834021,0.679516795850833,0.654203055292227,0.561092814387422,0.526814921373959,0.671923318412118,0.699252853529091,0.494255389670255,0.572269021207208,0.593539126794129,0.771071269592981,0.756458455942328,0.605364933020449,0.67537268889627,0.791572411629009,0.542364844502917,0.463156826200071,0.721215799419564,0.698174515106908,0.660741865101766,0.806650851810433,0.5909274780808,0.560671152701467,0.715327058713362,0.446094620911422,0.845269678045736,0.671039942385728,0.722870275569825,0.767362647037973,0.674497954305033,0.850574406686007,0.763851682492842,0.61355823243096,0.749356206007099,0.546666035820059,0.766134530150465,0.592600931485471,0.779099807140364,0.66496902089477,0.667707007182236,0.66625256049004,0.446474642763626,0.778273064771986,0.695490436055204,0.728096388632349,0.682850923698287,0.595387768424759,0.835769044389887,0.565224340174451,0.770553479955723,0.542499416292802,0.678911145105062,0.739368307839003,0.784969639387173,0.656030973707016,0.566251798032141,0.645871257891692,0.69443711849983,0.737105811390608,0.729616798732152,0.594464668975358,0.744109236809103,0.685015359433051,0.651409473283158,0.712404086265118,0.697013100454391,0.708872905219128,0.469919833609696,0.724256103807566,0.76842468361341,0.606159212503238,0.756444442733554,0.615143565394557,0.563594506583092,0.72937257570347,0.690373063019085,0.666216801352613,0.72968123964189,0.725878654626379,0.770547624765519,0.604956290234939,0.795862227527247,0.596702906380266,0.712696759755886,0.791099975646787,0.782646405999243,0.733150046760509,0.720497421601639,0.461458478858643,0.700158505965626,0.684087968477897,0.609703425377896,0.723329288544672,0.759270405717598,0.793431374719158,0.600476975536247,0.710276080960126,0.680152781077598,0.497785729822562,0.597958905144516,0.602606488113942,0.614507394656981,0.73908788221848,0.814208169493905,0.57349168960055,0.656025072826398,0.750466462606695,0.790590003704432,0.893263947145226,0.715135400989936,0.792366500983956,0.657316832717522,0.578284333844298,0.529314980752915,0.746667094376731,0.878403177465395,0.788811021412357,0.7517037528967,0.766835754347683,0.601869926300456,0.577145374472608,0.619469219467122,0.696144390712244,0.539590745471568,0.651073277195327,0.633737078801133,0.587546948168181,0.702368759663947,0.701537787114926,0.507644148091718,0.637915626222492,0.517172851211267,0.574174574664344,0.778645875645067,0.644902983789803,0.702731798876144,0.754550305160288,0.520320593379432,0.544267932392429,0.752495901942755,0.457916099859396,0.666394679839135,0.765314978091629,0.670495671028572
"ginger14",0.811219129079279,0.656008892814384,0.640910396486797,0.847032413834021,0,0.592942286461422,0.429741780309154,0.905932797702248,0.799110937938791,0.678762764298917,0.565636584293822,0.732235308409271,0.876397360540856,0.730927033876196,0.373456648601992,0.664121342641719,0.718700275916808,0.899816807887909,0.594607115794368,0.872333104361585,0.805538160566837,0.626404725356056,0.608777677504671,0.729411127730801,0.22561637822188,0.675514125508501,0.782275487932877,0.535676818359463,0.745110343238171,0.798764881546646,0.854024353853262,0.624262412591041,0.386147087575393,0.627367118894639,0.575290914584152,0.582578171886895,0.793973646220036,0.590406019406373,0.731039966758787,0.403823015426931,0.747439634376827,0.623394263160078,0.874784938520526,0.719540756564863,0.659014685198294,0.722359440689142,0.621167728095507,0.594386707223943,0.680276007908152,0.711704448711043,0.689942169590788,0.707486341204166,0.705857040541035,0.671822626389131,0.813979391054391,0.592991196037489,0.737181275648272,0.596931622293362,0.699132097196175,0.753174060583559,0.785490078831625,0.658184029040433,0.522884417232925,0.554162033324396,0.526826727054248,0.514692600172659,0.642980254382113,0.671344801464595,0.624975305465095,0.67481837196275,0.669601497398506,0.827219961491927,0.531389223605263,0.470968627030453,0.535780332428536,0.514154811990995,0.711529107505535,0.68442748522309,0.584698459622769,0.602241515349124,0.580644363059522,0.588223037094324,0.575177241835782,0.643494035431653,0.705353284508317,0.496678740679306,0.596320604526435,0.449239223627254,0.618287638880375,0.529827958847236,0.565935825097322,0.476631734821605,0.699305050240739,0.581537158699792,0.58076643842224,0.737509925512822,0.676458964509848,0.572862911544243,0.401895554312815,0.728934853296287,0.530363022359641,0.735023449885937,0.769896727930007,0.643745811546236,0.733824319768627,0.601144863511755,0.459765984174861,0.760684569498875,0.629879092697917,0.627874405323883,0.576643903270995,0.502313798252954,0.815168808306149,0.582166725323961,0.403542684667202,0.682258130684526,0.730965672624351,0.803183703559072,0.579476619722692,0.74006841894426,0.505205211431279,0.493278692280772,0.699836254000074,0.748226555988161,0.708683679786223,0.716085388247192,0.72567994440076,0.830693710715598,0.691406257056743,0.717187050850804,0.590251062972162,0.594578723933353,0.658152237493071,0.808460163455293,0.738861860797299,0.760091400193449,0.74229058270267,0.485756126600752,0.611447184999452,0.598768464018914,0.626890149279184,0.688884750001687,0.741163558258527,0.768119020291856,0.73098096711282,0.740463539194691,0.683685690497621,0.636048335602077
"hera14",0.686209065418412,0.468525221183712,0.62330576874947,0.679516795850833,0.592942286461422,0,0.565275920811624,0.873448560880459,0.732502404238596,0.609099236879701,0.506212893877989,0.473886792868448,0.842649176455694,0.657018250712135,0.54795130185817,0.528451954374653,0.624431382310783,0.833997653579959,0.523315756267617,0.78889249766853,0.64426835450029,0.590787804398904,0.722362853374629,0.446266111483612,0.630217617553015,0.705565902458225,0.596118952177873,0.3436408585288,0.665901925695875,0.770211776248315,0.715908890530167,0.464615355236729,0.560098047768894,0.588418919280281,0.672535550823492,0.542106492717159,0.588954673146476,0.47849354601502,0.461878456872319,0.657661874274019,0.491613081359829,0.581125383487234,0.747658086519334,0.550805150922869,0.544960587634186,0.650874553343458,0.581953110522941,0.347429030889367,0.563542341646201,0.510361929518002,0.523673895982076,0.724389837252772,0.547379196759202,0.616132073253288,0.773693823627195,0.446202997159933,0.792975465523108,0.633548269105365,0.401243502162135,0.592722143307024,0.646024825268882,0.609247901324414,0.51841699064752,0.491989351218063,0.534251321898683,0.616465466530176,0.529292864906267,0.550733613270379,0.449658738170294,0.462170786052311,0.59468640761778,0.728763644726528,0.508585489238705,0.539681532930357,0.645437253212349,0.422353359876954,0.48367885926554,0.539687385556267,0.382928275248603,0.450275187205397,0.575114162300661,0.476347611258077,0.527557319613818,0.539446087187238,0.41091520634517,0.531350149325425,0.612922975709775,0.419241163865113,0.539813762757352,0.546802185651084,0.468781789288131,0.449150149641927,0.70671689512012,0.463589814892281,0.677424661993194,0.433062439022391,0.780500173629796,0.536936803331198,0.48678692000638,0.434175052813644,0.522630815569922,0.429795983382775,0.630068789190994,0.348723475361723,0.616483992757315,0.575933631655774,0.515709371749263,0.779702950124913,0.630164004322006,0.567621849820755,0.550079982283291,0.621223227203505,0.825874161048073,0.498584806321292,0.58138497873508,0.603754101704002,0.756912104774137,0.716690732698466,0.468023469090557,0.789179942825409,0.69077183988904,0.650475863479229,0.540089404640691,0.552442720173003,0.47210274464444,0.525610052785562,0.515872112399743,0.756541214814609,0.392505750481242,0.497893904845491,0.536858554323428,0.6023133881726,0.522356965619135,0.698265331135903,0.696941983685265,0.711583277208535,0.514958628592473,0.443375186986999,0.446218511691222,0.485946466484226,0.424827992140773,0.533258949172183,0.588172894547144,0.6633696553042,0.58723381263855,0.609063049298487,0.520823519691463,0.52978207796581
"jarjarbinks14",0.67434011201302,0.563701129036003,0.479969693495148,0.654203055292227,0.429741780309154,0.565275920811624,0,0.811392518327508,0.676283654805717,0.540930850285122,0.28557004556986,0.48452913190614,0.798353816669977,0.612664958608437,0.41458988680287,0.666057549156926,0.574209356320709,0.818806232877005,0.642984776676305,0.766410222429942,0.596957714564636,0.665257481691372,0.72930802419402,0.519475795091208,0.389851334419674,0.422894548224779,0.616423061372187,0.504714080374058,0.566748920862955,0.859440800386006,0.686461016579984,0.607208296862402,0.458030239253323,0.628086058384504,0.739141777308985,0.66612302072915,0.705893396703905,0.621862795291135,0.494670096788404,0.529988944892173,0.552220199555895,0.71407278943451,0.69372940306089,0.648583348907374,0.505631823049929,0.578591356204867,0.739906235748361,0.463457982907563,0.5576044021326,0.653176927433026,0.606731860626425,0.745565986238275,0.611350087806699,0.679632785667183,0.709786270459181,0.53557946796064,0.690004759666102,0.748921968134354,0.490855644139144,0.627156494483227,0.676680148122797,0.616961581639049,0.540730555060947,0.575025261610357,0.324511740299576,0.516745197941583,0.62426724354415,0.622810992183409,0.567167363771231,0.598975068268248,0.60294677999955,0.711440070439067,0.685818764370579,0.368115635542397,0.625718922442905,0.570992263293157,0.525978484852936,0.566086335070118,0.544978414937936,0.455026958009407,0.395412210127004,0.623605887089191,0.632129855651718,0.649367137914951,0.464404700930384,0.649433925374527,0.697944643712586,0.552741630995599,0.734312497510908,0.674475985714579,0.606224536242078,0.533071045075996,0.539274637394214,0.599523010903746,0.66602224276511,0.547206736772751,0.668063458555402,0.626407283738528,0.658338791677316,0.507984437606271,0.652190465299903,0.58024852630747,0.556451139831658,0.489277799202815,0.692855283711058,0.449055832028428,0.613441714838388,0.801920455599575,0.679834529791954,0.462672885648606,0.646929544334164,0.535189310441361,0.863709762298239,0.539288008679699,0.528272588945416,0.681408077406849,0.596865338073242,0.710633465468025,0.577060001685134,0.849764584073851,0.595909271014023,0.599657428204881,0.666501092873296,0.678734282372799,0.418343361562239,0.629070823933867,0.572364756567867,0.75158996748795,0.562653228776178,0.621762486594291,0.300228979138088,0.708887408868846,0.548500782885187,0.701183002674591,0.673154001278442,0.654674264972625,0.637346606788318,0.582510331740337,0.494179131560418,0.494109415329832,0.660768547905095,0.592690609886704,0.591396738973527,0.757820962858421,0.552041067829304,0.713171152542385,0.733066754493843,0.459332549966294
"joans14",0.679363029835045,0.793456929986533,0.766249609055853,0.561092814387422,0.905932797702248,0.873448560880459,0.811392518327508,0,0.461507489338332,0.815831473707494,0.836782615946939,0.771391242824912,0.503100147976879,0.772014500427781,0.846357314772397,0.875402115964643,0.791298781317379,0.478307555014193,0.867990173293836,0.585700510395884,0.65196201647403,0.814940870151081,0.765804678679527,0.769762628455456,0.860321551886179,0.708053351943403,0.710117690836583,0.863838797977858,0.595714474561596,0.830523032134592,0.565011655729186,0.86126443864915,0.853584923144489,0.828070421511465,0.841703730196048,0.827665067942596,0.80168263338539,0.852703494824935,0.782894603165051,0.854475564619864,0.795388480402927,0.821415871956201,0.58199072555741,0.750735798755738,0.834230391096496,0.614041149146833,0.79272519129094,0.842959216537326,0.838777471309721,0.865756033975885,0.767802582688382,0.812977955976202,0.750635568755268,0.814766866513989,0.317364146112013,0.84380314592866,0.749402161542037,0.832592200097448,0.843549375702995,0.768510016895251,0.787868688851306,0.805244951869887,0.879590449324789,0.827485995520138,0.774931832319395,0.828346189785919,0.873915228591535,0.782944574715854,0.892207131127879,0.861288750025512,0.826893435761183,0.588078583291829,0.847006508286951,0.834473805152693,0.708363908211793,0.826937507395669,0.825801361248356,0.739663461352213,0.826067443019951,0.853165461100009,0.813881853142421,0.835587962286277,0.831067504855782,0.874733910867505,0.819346744533395,0.880259966682392,0.602092157199668,0.874457515562821,0.905474557107897,0.826674028931552,0.865108239963775,0.842628900845153,0.644253294545432,0.860072378474249,0.788347124291187,0.790651248847776,0.670102392020131,0.872808571897235,0.870707721228995,0.813078084667845,0.849019108149145,0.804134021689389,0.736293444064242,0.828261992203582,0.653614062809931,0.824055681599671,0.834657961824335,0.790829447511933,0.627123316152542,0.832879426311797,0.852648215474629,0.855674089854616,0.799150448056727,0.816533377821727,0.889346076261483,0.764042394154984,0.679904985533174,0.555199008884,0.872494896236089,0.814241744447428,0.872950953629681,0.814643455624717,0.8693485312595,0.703334046977683,0.829782497982136,0.692559273946678,0.875168222014774,0.473922638576911,0.848426952853766,0.741678444852503,0.792225980217893,0.80243028020436,0.846029516190283,0.571161899187488,0.786299953201897,0.511522243825112,0.766212849322674,0.874206982101644,0.849762471566545,0.870869690568926,0.864322022845971,0.766065941774101,0.772842996767719,0.788550699114994,0.740527980013978,0.782601784826887,0.817409582847483,0.847539569844489
"kubo14",0.421123231266008,0.748919206134881,0.526544745143102,0.526814921373959,0.799110937938791,0.732502404238596,0.676283654805717,0.461507489338332,0,0.728389409144455,0.757558212039195,0.657087619224995,0.397034629420775,0.635895971265658,0.753463255322527,0.747798088873287,0.641357828725268,0.542855292076101,0.786173432742851,0.610214446198286,0.516206429975942,0.659198302286711,0.653178032623203,0.756323100049513,0.772061380525305,0.632339554412838,0.57045603313062,0.741772806085012,0.307308618833975,0.806401050913216,0.569289732068091,0.759799829767656,0.772814153003117,0.72042346419989,0.769309541686486,0.79101172602704,0.798814691663779,0.768336332718139,0.665811818203972,0.691324843948223,0.734235079431892,0.771144744862421,0.522242546223468,0.485230035086715,0.707448109144556,0.332472877317119,0.734823223863212,0.73252500550537,0.73500209281532,0.741644294756938,0.571846180694226,0.753011429175351,0.543154826379155,0.791099283793204,0.193008906979692,0.731818575759181,0.713404361610649,0.703033010797733,0.730725747123848,0.596064012796133,0.619287934428045,0.569988445449985,0.786182433272692,0.708472209390518,0.65079646095815,0.716922854409771,0.76743014570234,0.599846780961602,0.767148005497726,0.745569255149379,0.667616390727101,0.449534050825144,0.701872485706684,0.744273459998521,0.432661120022009,0.719498939541162,0.636738797461784,0.554518049954783,0.736095577394523,0.706740979683811,0.635582227949995,0.722282089401739,0.714458551244188,0.8321456372004,0.670587162727772,0.798099958244858,0.660393572819522,0.721257026172575,0.814887404893862,0.704171003465203,0.77188887504692,0.727295093944749,0.423012477575362,0.774609066305832,0.645095362226704,0.66828797584532,0.680343087196475,0.737062446475796,0.77341831750505,0.732288779320347,0.709935166719723,0.759565725155777,0.445831544690092,0.70318060013421,0.40638597728129,0.718370655284528,0.809347830410413,0.794246573717606,0.700539929397718,0.714437863534443,0.65646222372069,0.791541382383501,0.839043604106975,0.714253354628452,0.751122243265497,0.739240370273086,0.506155576573239,0.360308831298637,0.784117387483095,0.843800778285906,0.820843732646327,0.752981091287603,0.783856006371456,0.571481431519019,0.734731359063628,0.543859302608472,0.700876148968575,0.387937955148867,0.675876360804849,0.676499830687749,0.699162970771422,0.62976308877552,0.730679370492327,0.396159449762935,0.61417940730941,0.235930023229004,0.561749541393395,0.740780692042668,0.702200703152543,0.686237381466635,0.733736613821028,0.546817095086733,0.59028102329894,0.669135416244077,0.485192663189942,0.663006016770844,0.742756885019608,0.685809596994346
"wolverine14",0.728638256643607,0.568155874429664,0.605574203766803,0.671923318412118,0.678762764298917,0.609099236879701,0.540930850285122,0.815831473707494,0.728389409144455,0,0.585467985330899,0.486746314617373,0.791413108140786,0.418786838100348,0.611029911278678,0.630564799614535,0.454465372083606,0.821878567305528,0.574920783853502,0.766418577350244,0.681148259310319,0.63543102450195,0.766025650590837,0.571730783956167,0.695222693686981,0.636404509749524,0.659527820991997,0.564369643248496,0.666989933091808,0.799611628144078,0.673278880692831,0.457684296958689,0.643293888210021,0.545489032058094,0.65832803545614,0.646428233805686,0.747573789663202,0.556522372568533,0.557934349838445,0.733492209374976,0.543687569892804,0.65337671482621,0.650484847575092,0.703758427444049,0.667717513122562,0.654526218165159,0.740344422843665,0.5317382132894,0.563002469632838,0.612581730482341,0.677108184852405,0.716193565443633,0.689677792472447,0.737451649651459,0.717949741882262,0.534180408807341,0.669739698349035,0.674645642100012,0.441427813185952,0.673095135233415,0.783141122604068,0.693864066108021,0.586613909441012,0.532632015045941,0.628903094788129,0.661871121969785,0.63932978940554,0.726259510370027,0.547642307169517,0.362072634239512,0.718469244519985,0.734836980674766,0.619782423476234,0.678601159215483,0.708839268803317,0.611616139840021,0.535101234787596,0.644650611226296,0.564437596837652,0.4128427639285,0.58048091370008,0.513023601415225,0.584525427765717,0.597066699132436,0.41225872304952,0.56538008756478,0.770700392294569,0.576857050408049,0.694144071919495,0.691862174037613,0.473865686391513,0.5559925559933,0.717456094737591,0.410186963553853,0.720964505439979,0.484574546059179,0.713047077518054,0.4289147345804,0.5671449745262,0.508532175879466,0.627639797568957,0.619199834578577,0.619394493093826,0.503133458469485,0.739661765746356,0.421810402915319,0.574611697439979,0.730847081896183,0.76188685423426,0.462918860667355,0.537796526019962,0.714840038087881,0.843085951027835,0.604005636658973,0.567948046323004,0.796773007634191,0.739873715683306,0.757277157410724,0.506071617595134,0.790126123216522,0.739827894038421,0.75439277384832,0.629472813370807,0.701853980429339,0.46590462805598,0.659920719745968,0.619375938539993,0.783537959543079,0.543695118617427,0.598249006392267,0.592772275771429,0.739625410899493,0.474028822814079,0.716442141104785,0.509453659541617,0.71834426229083,0.633270117588159,0.600398170003532,0.547217177580433,0.463399774205109,0.605114740167329,0.644541230705715,0.631849265664731,0.833217245640533,0.641459553905794,0.807922888571364,0.68050498299172,0.424396963645261
