"","buddy11","hamlet11","hera11","padme11","ginger14","hera14","jarjarbinks14","joans14","kubo14","wolverine14","jarjarbinks15","kubo15","buddy16","iris16","hamlet17","hera17","iris17","lambchop17","wolverine17","lambchop18","franc19","ophelia19","goose20","jarjarbinks21","joans21","korra21","kubo21","franc22","goose22","grogu22","hamlet22","iris22","hera24","ivy24","marshmallow24","hamlet25","lambchop25","ginger27","henry29","ivy29","jarjarbinks29","joans29","korra29","kubo30","hamlet31","jarjarbinks32","grogu36","henry36","iris36","ivy36","goose37","grogu37","lambchop37","marshmallow37","ophelia37","wolverine37","charles41","grogu41","hamlet41","joans41","marshmallow41","goose42","henry42","ginger43","ophelia43","buddy44","franc44","goose44","hera44","iris44","ivy44","jarjarbinks44","joans44","korra44","lambchop44","marshmallow44","wolverine44","franc45","grogu45","hera45","ophelia45","buddy46","charles46","ginger46","iris46","ivy46","lambchop46","franc47","ivy47","buddy48","franc48","henry48","korra48","kubo48","lambchop48","ophelia48","charles49","franc49","ginger49","jarjarbinks49","joans49","marshmallow49","ophelia49","wolverine49","buddy50","charles50","ginger50","grogu50","lambchop50","charles51","joans51","ginger52","marshmallow53","charles55","ginger55","lambchop55","ophelia55","buddy56","franc56","grogu56","joans56","buddy57","charles57","joans57","ophelia57","wolverine57","hera58","korra58","kubo58","wolverine58","hamlet59","henry59","iris59","ophelia59","iris60","marshmallow60","wolverine60","ginger66","henry66","hamlet67","hera67","franc68","jarjarbinks68","grogu70","ivy70","lambchop70","marshmallow70","wolverine70"
"buddy11",0,0.208140631834351,0.173274374624853,0.148516482492832,0.189087012022016,0.153438945657899,0.210965296687185,0.322583731555319,0.172688030456877,0.224300660862465,0.202839639566366,0.145144874624174,0.164240662346517,0.192781960134716,0.182482771766381,0.290379140499019,0.193439133387154,0.276120463320751,0.203991145100495,0.168929950970223,0.107327673086218,0.1801206070544,0.166848863592028,0.128291367725215,0.192354626695169,0.107272333933731,0.16648383545853,0.152436732764696,0.0848539425280452,0.235243916905793,0.220447878998438,0.215720013609417,0.168114418203402,0.187649814763076,0.261255317548774,0.183944134785897,0.188676551534137,0.150185513659195,0.114086009865198,0.159227960937925,0.11080566675103,0.161891386077392,0.175854196213058,0.165527703688875,0.15123003219405,0.0999884096168867,0.24274531801669,0.142388372645515,0.311187774064011,0.299584466453294,0.131557626917737,0.202641877506465,0.120996673237632,0.198861748290379,0.210332552527529,0.170293606018388,0.239066788050375,0.245833686330079,0.141793274731451,0.15305697405815,0.220409171485468,0.146373709080565,0.179531661363944,0.263408475349332,0.138316867902192,0.166461227744232,0.194257158279552,0.178686272607516,0.288705078743934,0.177599331409042,0.151690837922464,0.236995996290776,0.192572014238524,0.231327058037115,0.198314419870136,0.134653842045805,0.166539887722134,0.161528327595718,0.196547340296113,0.198182358076534,0.135129977459709,0.202926914253133,0.191321853099472,0.1775001685242,0.16133252333097,0.164218470004484,0.218791311250089,0.141516283021514,0.197485598477282,0.160828602370614,0.166916382705223,0.195570304016986,0.0540936793424877,0.159832855773769,0.152931332226771,0.203852290137909,0.28456312248982,0.169052752334867,0.237446028790655,0.150341538953836,0.193175183885615,0.143127503384441,0.174931634149952,0.158383123722283,0.129726466350726,0.148913454012751,0.195052784164458,0.20735610303686,0.190744093315597,0.125729473909598,0.230111801495024,0.162614592034696,0.218583016067258,0.178861944168373,0.167358260886739,0.232468326528583,0.135573994656976,0.145046359829672,0.168809301470846,0.192676045419672,0.167190093795722,0.144051943551874,0.286253305162808,0.114825160871997,0.196896447736114,0.145686401132781,0.26953667800288,0.166698559474047,0.198374493602715,0.144560976862061,0.150333294949946,0.182812728960725,0.174962598135993,0.152355560258243,0.216736205535834,0.146221774251736,0.178307428073052,0.287607576566725,0.233015619112882,0.27595514740113,0.233210999497996,0.112768206786546,0.136147269762201,0.180042207834569,0.0932503294487165,0.284727286256727,0.298383307961321,0.205232810226896
"hamlet11",0.208140631834351,0,0.121717086939245,0.156895198689794,0.188843532259526,0.144518514340776,0.161903501121086,0.385774481100268,0.236723266196021,0.143855365900896,0.147215903535238,0.146084319094886,0.261842155322612,0.185688731742416,0.200458207288313,0.316253694085015,0.16106169417437,0.323778093268728,0.158387233062004,0.298498314997612,0.19025618455103,0.19670964761638,0.229277413904101,0.18957070080851,0.244774583536378,0.212561361848882,0.163593338536997,0.20255929968392,0.201056554042604,0.176410846332472,0.263379797701276,0.184339662340606,0.144331171408686,0.199743487504708,0.215293412589403,0.168453329515291,0.237920027422833,0.203446656399413,0.210121637125861,0.205085478193049,0.193301373012923,0.218196119100432,0.227847207981314,0.170438359016705,0.177590266440923,0.223317488740108,0.264554387696013,0.168929391983161,0.371352421513729,0.352954201523813,0.222855567349144,0.22003339763994,0.231544184559274,0.266218797974033,0.269654537748205,0.13357373351759,0.263175019309633,0.282525244855009,0.171793170063305,0.231818440989399,0.298093311429585,0.219520532111188,0.233100602621151,0.317294874713878,0.179206089954767,0.175438504482418,0.259082900691855,0.199999549270713,0.303591131622549,0.194883873447593,0.212146503116087,0.287806289887494,0.239520989824007,0.257301058239264,0.21399507715977,0.186845921581762,0.233176549618456,0.229399436160668,0.178380800145095,0.178886794532258,0.171380932030663,0.242117048629868,0.202476306744575,0.250506943710384,0.194131697025001,0.200689226624155,0.248528035199697,0.211279162063094,0.25141406955731,0.240256258607214,0.22530015251451,0.166262400730112,0.206364729865375,0.185721927847366,0.221482149798484,0.211065271431592,0.319521167913918,0.225050198736204,0.22360385132697,0.211782928915784,0.244954586909475,0.20547395534414,0.217671035196015,0.223375145645797,0.225723768962604,0.206503621501408,0.221334001181652,0.201326955726729,0.24454144290319,0.213009093951271,0.24970306489273,0.220715294188608,0.171862755798109,0.186028854399487,0.20330124221189,0.251871124100068,0.197555061322845,0.241588420159207,0.193635274316293,0.146897546553092,0.226301040298698,0.208567996465847,0.33507689838492,0.2202038366959,0.214398406392984,0.185135446282614,0.308955091071648,0.294837256696113,0.266709991392922,0.165401715304072,0.144239488793493,0.245854687448077,0.215468693632058,0.243170476839864,0.23558106543378,0.224390124315467,0.257609901492319,0.322397462338296,0.256491815266417,0.279363982196227,0.191629404805644,0.223788755770117,0.225201744052758,0.250700141201517,0.200363144521033,0.323859704754015,0.323154827331026,0.227518477845645
"hera11",0.173274374624853,0.121717086939245,0,0.115203931785915,0.167992605247595,0.132173916775671,0.166688045522657,0.349142447555919,0.204087463987458,0.121794650362233,0.117267920172899,0.0735353326355874,0.25811991053035,0.194256731223378,0.214761269020618,0.336231312753561,0.158012726154301,0.282963944025336,0.148655804837106,0.263165699359909,0.156688892866082,0.212410543418429,0.211837211887534,0.177721705713178,0.235608143053771,0.176680123975412,0.105112356350571,0.19742023805596,0.157648548238171,0.194351053766495,0.22296811819203,0.164248965420544,0.170788503808832,0.190234877132824,0.209566539031074,0.195917111649001,0.23278407675474,0.189642871619437,0.169145728577445,0.193229615788567,0.145143815547835,0.215917521049846,0.183313429905172,0.124329856380588,0.164603382218004,0.174458023966869,0.291110029125624,0.164406741790109,0.364279403928944,0.354472163349835,0.188479209024541,0.221477666897398,0.183144212828698,0.260276216600084,0.229144274224431,0.122797245341088,0.275022973780487,0.296200005444953,0.139042837652775,0.187183559771706,0.284868024883768,0.205498317445312,0.223470440115994,0.318486927484838,0.142653988807453,0.185229907906899,0.243798128243465,0.170879324502316,0.334863355559345,0.191729232904015,0.18897117865277,0.287174155982188,0.250404575291283,0.278782281946997,0.242880731295571,0.180916703158529,0.213402513008358,0.216261890093198,0.174996505372382,0.210675227095704,0.155571336194338,0.254069791002879,0.221353476487525,0.240114840944603,0.192763319553948,0.176187522569837,0.264833557936956,0.199375982878377,0.252703871400092,0.23276777521626,0.215441101745938,0.173746879029812,0.165364152606704,0.201596531793595,0.224682400371295,0.226199634636351,0.285586404270023,0.207380305988529,0.197290695627609,0.181840836600708,0.25795489905627,0.14696239278835,0.215625433655525,0.203562204715713,0.199939445143241,0.184142180011379,0.21556836107234,0.164182069761868,0.258151987039018,0.189235951771499,0.277198412906325,0.213669526473241,0.177271973336319,0.198876502610198,0.185144676831402,0.28078492136049,0.156443062029384,0.211040942870107,0.19029406585679,0.159660890211091,0.220908416806114,0.211667807002155,0.340164990965262,0.195865233454021,0.227872693322457,0.169585941900694,0.314961917759592,0.27678175989666,0.262150806134396,0.111911966054269,0.123788673655236,0.242195019123251,0.210413845919535,0.216082392017496,0.245182768529074,0.201490279923512,0.234381139980275,0.344921705383768,0.277397413625766,0.317544460874702,0.156531741995573,0.170987683756458,0.193617852233776,0.237597110120908,0.141733820860378,0.337273556664311,0.349063116423585,0.233028615705081
"padme11",0.148516482492832,0.156895198689794,0.115203931785915,0,0.193583261881473,0.155466276155376,0.182616153770913,0.355970773796854,0.194342364804381,0.176374605763781,0.162661508079815,0.0915372476902985,0.240396172466723,0.20217850559196,0.221253839666906,0.338631150228308,0.176428235838132,0.308181212800109,0.15836942812367,0.236207535117443,0.143777905279247,0.197853883243627,0.196261679162207,0.152207631960126,0.218442132581004,0.160282795249023,0.122259231365624,0.18702126746718,0.142059304240615,0.221528871170436,0.25603634477506,0.185346038342335,0.173562607410525,0.192130523420937,0.249509963631014,0.185005279571876,0.208763024058695,0.174756753096888,0.166706172083891,0.168968789647005,0.128735755490907,0.188029890885342,0.212059295369403,0.110133117937651,0.141083069620031,0.171902069315965,0.277137960758962,0.159578266180624,0.349172779305711,0.347540929875898,0.171375449219313,0.236142717828952,0.168809342589845,0.247383390778297,0.233373733694252,0.124455231729836,0.2743580568353,0.291369391641505,0.142886491879112,0.193426948600133,0.267687941333197,0.187377253417682,0.210105643194747,0.31432018450825,0.13375205548121,0.170767776663164,0.243221388616464,0.167349373708424,0.322965244289291,0.189816434719037,0.180317401442895,0.267359650304851,0.231666887876453,0.274200980619201,0.235881687208399,0.164679899830436,0.208821757928641,0.202767997868044,0.169636115415312,0.198673149231803,0.147679864204439,0.245706502786813,0.205955800802237,0.217008825866935,0.193623264203393,0.163885029872113,0.262737366949249,0.18353525089559,0.244566373521712,0.207670969625554,0.215607955018695,0.162401023469321,0.146301958823206,0.182998860825641,0.197100121232418,0.206288132764339,0.299920108897394,0.205639169278232,0.209981439582351,0.175846437655805,0.237157664372915,0.149170956810423,0.189747368674714,0.194109789897564,0.18159975014681,0.173027550776961,0.197966274855884,0.188409687368826,0.234442937327688,0.181006801691597,0.258063814611276,0.19519940954344,0.207460481446691,0.180664981947151,0.178314009562136,0.270979269131972,0.145533881928553,0.186169406663261,0.184890340513133,0.183806681423308,0.198441893849583,0.189899201226418,0.330800700733696,0.172709251045051,0.221902345193485,0.152359750512071,0.315480235643857,0.265512855093616,0.246709846569522,0.121613327399126,0.122709742884391,0.203083202847784,0.207792977526278,0.183128004794708,0.232641199098677,0.197236300281663,0.193493838972423,0.330758170001749,0.250213455663718,0.295340672340985,0.199142467406229,0.128615434839407,0.161586421044901,0.224414210369814,0.130933991515685,0.324676095215561,0.342324681951412,0.224274841871798
"ginger14",0.189087012022016,0.188843532259526,0.167992605247595,0.193583261881473,0,0.113709480677071,0.235178296812968,0.413478762056123,0.29275162924612,0.210540683857009,0.209464722961461,0.18781048860043,0.259934291192786,0.192652266829684,0.184425862637054,0.30605053276497,0.205060840474635,0.347013668963952,0.175116311124474,0.250243531745672,0.188831830458238,0.171676239514833,0.146344442118697,0.182650460829693,0.117831315696895,0.228846053310287,0.21287359852586,0.160567241080901,0.193602315814762,0.25032328675254,0.30393342734439,0.197019000163356,0.182677877113655,0.189335276714665,0.257762673786132,0.20548749142398,0.210966192998581,0.101656080510634,0.174997569324062,0.102025252900282,0.16221467392063,0.145656860352065,0.260706633297939,0.195629882413121,0.14854592775625,0.188482149844727,0.242881789166487,0.166417620486232,0.319837459603652,0.312003709725232,0.160892462549979,0.20954662482581,0.178684758047228,0.233818093252057,0.319847115010052,0.153836886379308,0.266478400669202,0.274201649814609,0.17202674237666,0.182271238982543,0.276733826744503,0.151318642517222,0.165751202957799,0.270812757376563,0.192168319974328,0.171379864119109,0.223089587081123,0.184550660434478,0.31009403269749,0.159652168128068,0.153480939627908,0.294280878079878,0.159850451877407,0.252713790824496,0.196075793826383,0.144783317425847,0.19963340790055,0.196911209396833,0.163163205310194,0.224115758477798,0.174828515871065,0.195746000211172,0.193398640720421,0.172729398404488,0.191468579521921,0.137341114084613,0.190414909634626,0.147410148757514,0.206306621776327,0.163186120110724,0.175843565778666,0.189188099249884,0.186254962325678,0.175844563079792,0.138026824947298,0.250593090873701,0.328802032292516,0.181577132222392,0.188303140143217,0.194979916175328,0.17436815253156,0.17987709747959,0.245294424433897,0.188226094672607,0.234034739115746,0.15885283430796,0.15647088504803,0.207237235676481,0.179095938441502,0.151750459835984,0.228184660825636,0.112747147880453,0.229803543473795,0.200072018242591,0.1233736001793,0.206289699385851,0.236475310705372,0.254487829474912,0.168504260420572,0.219206239311978,0.11991355456405,0.12493255812159,0.315453176213552,0.231539793501333,0.228141050529629,0.244157182394433,0.3159591173,0.267085399976613,0.253841324309753,0.192064930655608,0.214550192184418,0.160570227887029,0.18239752383097,0.259444846817508,0.230087306425205,0.255363728479105,0.190644034549479,0.304855963544605,0.245288818329438,0.299696480911149,0.185042555831889,0.160220274145688,0.191360275449307,0.241615066749423,0.165988589478287,0.311002060409514,0.309584743147329,0.20478745199629
"hera14",0.153438945657899,0.144518514340776,0.132173916775671,0.155466276155376,0.113709480677071,0,0.191493081730284,0.400443641946064,0.264391154619014,0.178008530818459,0.165879903358998,0.15204996767233,0.226334043922681,0.143774603237647,0.154676398492116,0.291252975912946,0.158539897200854,0.341815243881652,0.160513627219807,0.247331745177116,0.152734876328855,0.143001900867082,0.17878455071091,0.144592994355881,0.178275226658947,0.19779468039627,0.166850727293644,0.150636892808639,0.162081509733972,0.206474370304992,0.287355049148269,0.190947454351886,0.147329640526509,0.174968965063587,0.231075390313989,0.166331299378685,0.193859912974051,0.132967622853972,0.149266116329088,0.139979376187267,0.131262637314986,0.153230707991276,0.247773776836612,0.164655303554008,0.0862808674656915,0.166866639686213,0.236069307782474,0.118499348522958,0.332645223298661,0.314388892074312,0.153598071988322,0.179267645668637,0.171707771269483,0.218286899148267,0.279637585742448,0.144428183571993,0.231278064642404,0.251862563716879,0.118292923759285,0.185029048168089,0.253089544512273,0.159917581533311,0.175365795872298,0.275391039284283,0.137001027663806,0.152882551076467,0.206886183439183,0.176658729025963,0.272503332341737,0.125623819845302,0.142289746702448,0.253262686021115,0.1808072515716,0.225111294827685,0.195667320326127,0.131474524398381,0.162815985400528,0.177003817790862,0.169994323470065,0.16905650168258,0.114885595980908,0.190905695494634,0.190652022154538,0.194921331952363,0.120503153982135,0.147452159925563,0.208225346244193,0.148302700177177,0.208522675284659,0.177619323325401,0.166780114805468,0.188081164848851,0.144538754690657,0.145926282868797,0.162688590379708,0.200394054503673,0.319813789803455,0.168779283081171,0.237823096987182,0.158164764336365,0.191295586677631,0.158665742779686,0.183546886863083,0.157573156495731,0.209097985388958,0.149075205565482,0.193981313095239,0.209539473223787,0.191425294518512,0.145970666696145,0.223100877095498,0.157085717218077,0.185810300594042,0.174400058250337,0.142679357817024,0.219347265092517,0.18381596137616,0.237811018441399,0.155357878598669,0.170803392354061,0.157431436097861,0.150843551143009,0.299268778839082,0.207440913540861,0.173261601029852,0.215313289926206,0.27609444578323,0.249736035166833,0.209358103267155,0.170542948492859,0.143889782113966,0.178747787616342,0.16527033072908,0.208114130445399,0.194081509877777,0.227339550478047,0.167571309657674,0.30044246165956,0.219003776344809,0.267443043412053,0.210075566524694,0.156371119634075,0.170043343111689,0.206789299405879,0.136006263046789,0.303750610465013,0.30011331882886,0.174547727578707
"jarjarbinks14",0.210965296687185,0.161903501121086,0.166688045522657,0.182616153770913,0.235178296812968,0.191493081730284,0,0.366609235588125,0.243515242773635,0.140303924137036,0.0863563513730325,0.166331083925201,0.231084966953281,0.170145783479442,0.189267556598865,0.296832842067234,0.142302106534338,0.335323343431243,0.183925722071063,0.294193474294345,0.167124471524765,0.16343141720941,0.224934102992428,0.185655625739755,0.248895163562755,0.192152203656263,0.157023441572271,0.186427793089821,0.180264119808748,0.182601783643234,0.301233051290593,0.207009230849656,0.142325651468225,0.156299722213604,0.211191322591698,0.143700222958528,0.232543909165436,0.230517049327612,0.19652171344224,0.226387222508912,0.192041579885635,0.236048748295728,0.255218196512792,0.154073122468208,0.170199030917841,0.187963803191302,0.233890894809588,0.155166801584612,0.361105594856568,0.342392311948027,0.198451595947776,0.189308538630536,0.204945618193528,0.2671450542621,0.266071146104064,0.160600283395968,0.274384681527077,0.250779130614158,0.160064291343118,0.232041659925249,0.294581879600419,0.21236248543784,0.225489633845178,0.30819221563626,0.142506557390528,0.158100144788676,0.242673946115817,0.196450229677484,0.298672642707848,0.180835993440335,0.191419066666688,0.243975615260185,0.229810917389942,0.27208100641961,0.248479151005022,0.186464723196855,0.239879120691228,0.211785452052068,0.204760551799142,0.145099638124706,0.158269603857069,0.232997285271085,0.206750301944378,0.231360415826415,0.175525969006358,0.222098559090923,0.288330787690472,0.192496393841653,0.273549218896294,0.236388929550096,0.196511334523431,0.170532638055259,0.194813524731636,0.168631295727838,0.245530292112851,0.122292193667165,0.329339281216444,0.195316268775511,0.229835753425841,0.16719612985466,0.244486525795494,0.192299075457155,0.1344085774666,0.209097615766822,0.213645771953671,0.241774544761101,0.233198400643006,0.201244497817576,0.258227603253879,0.209042504978015,0.244640473620166,0.21679649385002,0.176507042280578,0.184105907647916,0.194861356960416,0.283902764255622,0.139933329170555,0.257716047467862,0.170301813054931,0.128590848225151,0.229557939742111,0.20842725919146,0.324995730463991,0.237996726006107,0.176172572440906,0.206843686903931,0.298174519577026,0.285126981933905,0.254573810298034,0.187317402113857,0.104916847271238,0.251098384346771,0.191620726134947,0.191341721622401,0.184730364975326,0.238000889296964,0.237285294766581,0.327945599227747,0.208095052552415,0.261956967876273,0.248438287431805,0.20818966199919,0.179425477171841,0.228432916056821,0.187020232266885,0.338617994635903,0.300307003824659,0.217412520965292
"joans14",0.322583731555319,0.385774481100268,0.349142447555919,0.355970773796854,0.413478762056123,0.400443641946064,0.366609235588125,0,0.211257442768602,0.362615077815257,0.348482498605536,0.336630021566157,0.333386610651334,0.407530812652252,0.405697363078254,0.423346859436826,0.388163398284139,0.142837960797139,0.377882201978645,0.275898407614131,0.347237881704518,0.397630097587092,0.367769728110086,0.354180399323077,0.40361943287572,0.299977716037807,0.329391285564539,0.380285661723608,0.311507549200623,0.392265493454398,0.203572387210498,0.386650975917548,0.385160275581057,0.374675847024408,0.366341361069356,0.377192280860765,0.389213467197142,0.388283962212908,0.353861094149103,0.384836374090008,0.344879940651412,0.384267057618309,0.234929417584474,0.36017714840568,0.384341022683557,0.326704827353029,0.391562537669178,0.365984008933011,0.425251447367563,0.434877357870848,0.363497632183824,0.397703379660094,0.345016317821716,0.396962944531786,0.188304000576957,0.368459945908857,0.393882987203115,0.397504139738404,0.364683795702639,0.353506151637882,0.398861336436682,0.367905289460474,0.388913490687153,0.426029311617881,0.361449566485011,0.379842568089782,0.378720018215153,0.346224126204833,0.431857964513296,0.404213032896757,0.377175519618928,0.380852423001752,0.40834555138237,0.42229040989466,0.42732500936895,0.366549982316354,0.384218683701595,0.378039107266157,0.390697779204448,0.377262030440917,0.350385432947305,0.412872184613934,0.391840700250983,0.375167322239971,0.389054366560127,0.383176929999966,0.424194663005426,0.375993615400848,0.391294303999191,0.379029062247044,0.388802212667484,0.365832056745364,0.327319390375216,0.381885317845197,0.378352892121669,0.369711942802746,0.264573104118731,0.38216031743817,0.370554285438146,0.357100473180275,0.411317092477305,0.334409129896569,0.367013294782345,0.361585755753076,0.279655677416552,0.365744285762298,0.375711790511237,0.350156783498125,0.395403453232655,0.363428747786737,0.426612453510242,0.385097376314579,0.38344888136915,0.381019770881248,0.388568664175992,0.432642827666267,0.313741982906992,0.252522329836887,0.371316137096359,0.374127765753982,0.391135413284253,0.37659790852552,0.42693207048136,0.271547994135518,0.389854123952389,0.259576965035558,0.413337434943804,0.308467788133793,0.391059658814926,0.311018777271376,0.345366431140701,0.404714198171946,0.385829989179289,0.313750720057026,0.408654123453614,0.254288819621132,0.379439631613997,0.432410519224808,0.40455412181779,0.416079497404272,0.367405058245087,0.349651511769486,0.35737725501213,0.357459884458458,0.332533792031655,0.446010943723148,0.42167479808999,0.412588013284764
"kubo14",0.172688030456877,0.236723266196021,0.204087463987458,0.194342364804381,0.29275162924612,0.264391154619014,0.243515242773635,0.211257442768602,0,0.250302883016255,0.218394570556269,0.166652992066844,0.224756203131022,0.291202008709522,0.290348892111004,0.351678083292645,0.254111980983698,0.173802615252587,0.234011704520038,0.207141979584281,0.216039352790769,0.282726226526507,0.260241216026396,0.226044604559588,0.301527317608079,0.166689065657053,0.193522782317975,0.266242093000903,0.182757228026143,0.25966131602307,0.11270393035111,0.254541228585462,0.244996100682024,0.267025304306219,0.291339314796078,0.247899217004007,0.293875557006881,0.257285813633513,0.229757882596231,0.25400916051961,0.212758022401411,0.26634749222589,0.0981127409853427,0.205588765517776,0.256639466774501,0.196986122481882,0.306945871368849,0.243733320392901,0.351086882359077,0.358949153940998,0.252371106737164,0.28692636233139,0.234291455434368,0.297331058708196,0.0872813567242973,0.221058482383624,0.295392825589524,0.314150651706391,0.232824894684812,0.239856214538519,0.297633942286397,0.259622558971382,0.282918620384371,0.337901057357674,0.223334884097941,0.251690291366373,0.271066433698211,0.236038895279823,0.342811960653112,0.283756242044187,0.262960678064519,0.285369639213927,0.298264680182888,0.322771619275393,0.306336033372431,0.245057640871704,0.268731742311536,0.271078205648596,0.258909439649129,0.263960442910676,0.226709078628192,0.307237768831202,0.278628796477447,0.271682669405774,0.268048507386892,0.241074422603658,0.318666156609722,0.252791071485175,0.282885622027154,0.270670976204918,0.280184742477343,0.231939185559252,0.186237848992742,0.264634187271126,0.259241004570904,0.266574784397197,0.233911721239412,0.269142394573736,0.245319793627817,0.240275830092177,0.297070304936844,0.229357755744636,0.249948204869704,0.25988030598301,0.136451926071289,0.227810310536619,0.270200002741373,0.224858451614723,0.301654565461041,0.240689731318527,0.317344533405361,0.269857561930826,0.251076902634264,0.2464824463784,0.269785250259933,0.326053257311644,0.174643994547696,0.11689109994709,0.251942654416193,0.235173382335984,0.275239032281727,0.259204002438692,0.345575968712462,0.116170822037458,0.291984089899072,0.0927817809928341,0.333900043810655,0.209428004608522,0.285748039731832,0.149439437267138,0.209585790954892,0.286060793240769,0.273623396719958,0.183251725117583,0.299864250580845,0.100591840945841,0.277998485867428,0.351705642512642,0.314982107401411,0.330898655234422,0.251447509025629,0.227703688883008,0.239278710976738,0.256148480348898,0.194043810401366,0.364667983523621,0.350476275641043,0.307331488189263
"wolverine14",0.224300660862465,0.143855365900896,0.121794650362233,0.176374605763781,0.210540683857009,0.178008530818459,0.140303924137036,0.362615077815257,0.250302883016255,0,0.101878295056922,0.14689799786569,0.263105976387971,0.156492478484188,0.195105635724067,0.328904912205519,0.120198391849211,0.320446764606038,0.129189800820416,0.301785223188747,0.166740230848491,0.185393637215746,0.219976796048322,0.191987012185492,0.237159856804605,0.198461057714154,0.128547518426422,0.183978683138588,0.197651285649115,0.154056538741044,0.282548189477235,0.121723208522948,0.152481166497248,0.153537460679401,0.150281601663007,0.146681177163882,0.221031802996319,0.181288632954203,0.188026290974697,0.192797568846768,0.185745098128923,0.196717561811995,0.256419348312,0.169045034740027,0.181456192400349,0.201946922049736,0.257999971091198,0.168107174444527,0.359974131906047,0.339886402994595,0.208152380139476,0.18328265775695,0.218160640107258,0.272170178439607,0.256536300066836,0.115994480009729,0.297897192248822,0.248195935619462,0.16259226893826,0.238972047622651,0.299834179055143,0.219500194282871,0.19776211770182,0.312667573565117,0.184022672132567,0.14068739677913,0.27234988580783,0.191815399795671,0.325510119660689,0.153570218496136,0.186567236522432,0.293901304764921,0.204177967634909,0.283637683418499,0.237761093442597,0.188817751989924,0.234334870376154,0.215945566187486,0.172537417420857,0.189031004664832,0.166393684770776,0.21495444145494,0.187366996383569,0.216805440292936,0.196697653288873,0.178038365654821,0.290001910569576,0.177434355956229,0.251716871612131,0.214787646213018,0.173302872116359,0.157669399501516,0.212948079032021,0.167913110476444,0.232102744978057,0.217058218595123,0.30019466128498,0.167541496975863,0.190864524857353,0.183479371029306,0.223503163523503,0.186947976889285,0.223790840293168,0.208645146269309,0.22014823396401,0.230504561444569,0.207523061661589,0.140065075779956,0.253712279303145,0.210634654287644,0.235396747386008,0.200096158252264,0.150353663636615,0.174186822326153,0.149272696451153,0.297763893625086,0.183917015797591,0.264549472110611,0.153747028896232,0.135274869253556,0.197745604015861,0.20268224284778,0.319441715806134,0.246408302888064,0.215182413041173,0.211837791371937,0.326123007889397,0.294229146592148,0.270431742872514,0.165813461452444,0.140284825311221,0.262053734986413,0.169439522954576,0.225512420930952,0.208034654284941,0.259443277826432,0.243831484742481,0.335543233520595,0.258026686460709,0.301923975146249,0.177452446071677,0.217023179117043,0.211359088060406,0.261671000764792,0.193892416270064,0.35089457926983,0.306531167230795,0.23428289817769
