"ID"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"fpt1"	0.01	0.04	0	0	0	0	0	0
"fpt2"	0.01	0.04	0	0	0	0	0	0
"fpt3"	0.01	0.04	0	0	0	0	0	0
"fpt4"	0	0.07	0	0	0	0	0	0
"fpt5"	0	0.01	0	0	0	0	0	0
"fpt6"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt7"	0.01	0.04	0	0	0	0.01	0.01	0
"fpt8"	0.01	0	0.01	0.09	0.04	0.09	0.01	0.01
"fpt9"	0.07	2.88	0.1	0.19	0.07	0.11	0.01	0.01
"fpt10"	45.68	75.77	66.02	55.97	76.73	79.23	71.19	65.26
"fpt11"	1.87	3.32	0.76	1.89	1.8	1.1	1.13	1.76
"fpt12"	0	0	0	0	0	0	0	0.01
"fpt13"	0	0	0	0	0	0	0	0.01
"fpt14"	10.36	13.68	0	0	0	2.1	3.67	0
"fpt15"	0.01	0.04	0	0	0	0.01	0.01	0.01
"fpt16"	19	21.79	0	0	0.23	28.77	38.06	0.11
"fpt17"	9.67	23.59	1.6	1.57	0.6	1.86	2.59	0.83
"fpt18"	22.03	38.23	1.6	1.57	0.61	29.61	38.37	0.86
"fpt19"	9.67	23.59	1.6	1.57	0.6	1.86	2.59	0.83
"fpt20"	37.48	45.09	10.22	24.59	6.36	33.91	41.49	9.31
"fpt21"	0.03	0.04	0	0	0	0.01	0.03	0
"fpt22"	12.4	14.72	0.04	0.03	0	27.73	35.8	0.01
"fpt23"	0.03	0.04	0	0	0	0.01	0.03	0
"fpt24"	0.03	0.04	0	0	0	0.01	0.03	0
"fpt25"	0	0	0	0	0	0	0	0.01
"fpt26"	0.01	0	0.03	0.04	0.03	0.03	0.04	0.01
"fpt27"	47.52	79.05	66.78	57.85	78.53	80.33	72.3	67.01
"fpt28"	45.65	75.73	66.02	55.97	76.73	79.23	71.17	65.26
