"ID"	"Function"
"fpt1"	"sulfite_respiration"
"fpt2"	"thiosulfate_respiration"
"fpt3"	"respiration_of_sulfur_compounds"
"fpt4"	"chitinolysis"
"fpt5"	"cellulolysis"
"fpt6"	"xylanolysis"
"fpt7"	"fermentation"
"fpt8"	"aerobic_chemoheterotrophy"
"fpt9"	"human_pathogens_gastroenteritis"
"fpt10"	"human_pathogens_diarrhea"
"fpt11"	"human_pathogens_all"
"fpt12"	"human_gut"
"fpt13"	"human_associated"
"fpt14"	"mammal_gut"
"fpt15"	"animal_parasites_or_symbionts"
"fpt16"	"nitrate_reduction"
"fpt17"	"reductive_acetogenesis"
"fpt18"	"chemoheterotrophy"
"fpt19"	"anaerobic_chemoheterotrophy"
