"ID"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"fpt1"	0	0	0	0	0	0	0	0.01	0
"fpt2"	0.11	0.03	0.09	0	0.1	0.01	0.04	0.21	0.04
"fpt3"	0.11	0.03	0.09	0	0.1	0.01	0.04	0.21	0.1
"fpt4"	20.04	41.81	56.04	37.55	28.27	34.84	42.26	34.95	23.76
"fpt5"	2.83	2.29	9.64	5.53	0.56	1.31	2.69	1.62	11.52
"fpt6"	0.03	0	0	0	0	0	0.01	0.01	0
"fpt7"	0.03	0	0	0	0	0	0.01	0.01	0
"fpt8"	0.03	0	0.03	0.01	0.01	0.04	0	0	0.06
"fpt9"	0.03	0	0	0	0	0	0.01	0.01	0
"fpt10"	0.13	0	0.04	0.03	0.04	0.07	0.04	0.09	0.14
"fpt11"	0.57	1.31	4.03	2.67	0.47	0.87	1.31	1.22	1.96
"fpt12"	0.66	1.31	4.06	2.7	0.5	0.91	1.34	1.3	2.04
"fpt13"	0.57	1.31	4.03	2.67	0.47	0.87	1.31	1.22	1.96
"fpt14"	4.23	7.66	25.76	9.09	4.63	6.04	10.5	7.65	50.64
"fpt15"	0.09	0.01	0.09	0.01	0.04	0.06	0.01	0.04	0.11
"fpt16"	0.03	0	0	0	0	0	0.01	0.01	0
"fpt17"	0.06	0.04	0.04	0.04	0.03	0.04	0	0.04	0.04
"fpt18"	22.87	44.1	65.68	43.08	28.82	36.16	44.95	36.57	35.28
"fpt19"	20.04	41.81	56.04	37.55	28.27	34.84	42.26	34.95	23.76
