"ID"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"fpt1"	0	0	0	0	0	0	0	0.01
"fpt2"	0	0	0	0	0	0	0	0.01
"fpt3"	0	0	0	0	0	0	0	0.01
"fpt4"	0	0	0	0.01	0	0	0	0
"fpt5"	0	0	0	0	0	0	0	0.01
"fpt6"	0	0	0	0	0	0	0	0.01
"fpt7"	0	0	0.03	0.01	0.09	0.01	0	0
"fpt8"	0.01	0.04	0.06	0.06	0.09	0.01	0	0
"fpt9"	92.36	84.77	96.06	83.84	45.15	85.83	90.14	87.8
"fpt10"	0.11	1.03	0.23	2.24	0.8	0.16	0.16	1.77
"fpt11"	0	0	0	0	0.14	0	0	0.21
"fpt12"	0	0	0	0	0	0	0	0.01
"fpt13"	0.01	0	0	0	0.31	0	0	1.26
"fpt14"	0.27	0.89	0.21	0.53	2.74	0.17	0.57	1.54
"fpt15"	0.27	0.89	0.21	0.53	2.99	0.17	0.57	1.83
"fpt16"	0.27	0.89	0.21	0.53	2.74	0.17	0.57	1.54
"fpt17"	1.2	4.06	1.59	4.42	5.96	1.21	1.46	3.44
"fpt18"	0	0	0	0	0	0	0	0.01
"fpt19"	0	0	0	0.01	0.2	0.01	0	0.3
"fpt20"	0	0	0	0	0	0	0	0.01
"fpt21"	0	0	0	0	0	0	0	0.01
"fpt22"	0.01	0.01	0.04	0.03	0	0.03	0	0.01
"fpt23"	92.47	85.8	96.29	86.08	45.95	85.99	90.3	89.56
"fpt24"	92.36	84.77	96.06	83.84	45.15	85.83	90.14	87.78
