"ID"	"Function"
"fpt1"	"sulfite_respiration"
"fpt2"	"thiosulfate_respiration"
"fpt3"	"respiration_of_sulfur_compounds"
"fpt4"	"dark_hydrogen_oxidation"
"fpt5"	"nitrite_ammonification"
"fpt6"	"nitrite_respiration"
"fpt7"	"cellulolysis"
"fpt8"	"xylanolysis"
"fpt9"	"fermentation"
"fpt10"	"aerobic_chemoheterotrophy"
"fpt11"	"human_pathogens_gastroenteritis"
"fpt12"	"human_pathogens_diarrhea"
"fpt13"	"human_pathogens_all"
"fpt14"	"human_gut"
"fpt15"	"human_associated"
"fpt16"	"mammal_gut"
"fpt17"	"animal_parasites_or_symbionts"
"fpt18"	"nitrate_respiration"
"fpt19"	"nitrate_reduction"
"fpt20"	"nitrogen_respiration"
"fpt21"	"fumarate_respiration"
"fpt22"	"reductive_acetogenesis"
"fpt23"	"chemoheterotrophy"
"fpt24"	"anaerobic_chemoheterotrophy"
