"ID"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"fpt1"	0	0	0	0	0	0.03	0	0.01
"fpt2"	0	0	0	0	0.01	0	0	0
"fpt3"	0	0	0.01	0	0.01	0	0	0
"fpt4"	0	0	0.01	0	0.01	0	0	0
"fpt5"	0	0.06	0.01	0	0.09	0.26	0.01	0.04
"fpt6"	0.03	0.1	0.03	0.03	0.23	0.34	0.16	0.24
"fpt7"	51.69	41.01	80.6	47.82	30.85	43.45	43.81	29.48
"fpt8"	0.7	2.77	0.47	1.14	2.44	2.32	1.06	7.59
"fpt9"	0	0.06	0	0	0.3	0	0.07	0
"fpt10"	0	0.06	0	0	0.3	0	0.07	0
"fpt11"	0.17	0	6.58	0.01	0.13	0.4	1.69	0.09
"fpt12"	0	0.06	0.01	0	0.3	0	0.07	0
"fpt13"	0.43	0.09	70.12	0.03	1.29	3.37	4.19	0.24
"fpt14"	3.77	2.26	5.54	1.37	5.97	5.6	8.22	5.65
"fpt15"	4.02	2.34	71.56	1.4	7.09	6.61	11	5.78
"fpt16"	3.77	2.26	5.54	1.37	5.97	5.6	8.22	5.65
"fpt17"	4.64	10.47	73.24	3.84	11.44	9.25	16.26	19.56
"fpt18"	0	0	0	0	0.03	0	0.04	0
"fpt19"	0	0	0.01	0	0.01	0	0	0
"fpt20"	0.24	0.04	66.03	0.01	2.43	1.97	2.76	0.16
"fpt21"	0	0	0.01	0	0.01	0	0	0
"fpt22"	0	0	0.01	0	0	0	0	0
"fpt23"	0	0.06	0	0	0.3	0	0.07	0
"fpt24"	0.03	0.14	0	0.04	0.07	0.29	0.06	0.04
"fpt25"	52.39	43.79	81.06	48.96	33.29	45.8	44.86	37.07
"fpt26"	51.69	41.01	80.59	47.82	30.85	43.48	43.81	29.48
