"ID"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"fpt1"	0	0	0	0	0.03	0	0	0.03
"fpt2"	0	0	0	0	0	0	0	0.01
"fpt3"	0	0	0	0	0	0	0	0.01
"fpt4"	0	0	0	0	0	0	0	0.01
"fpt5"	0.11	0.06	0.04	0.04	0.13	0.11	0.06	0.09
"fpt6"	1.96	0.89	0.49	0.2	1.16	1.06	0.33	2.73
"fpt7"	42.49	45.61	29.72	44.24	37.23	47.31	50.09	51.52
"fpt8"	1.8	0.77	0.54	32.99	2.32	2.04	3.03	2.27
"fpt9"	0	0	0	0.01	0	0.19	0	0
"fpt10"	0	0.01	0	0.01	0.03	3	0	0.09
"fpt11"	13.95	5.9	1.74	5.39	5.95	7.22	3.3	12.2
"fpt12"	13.95	5.92	1.74	5.41	5.98	10.09	3.3	12.27
"fpt13"	13.95	5.9	1.74	5.39	5.95	7.22	3.3	12.2
"fpt14"	21.66	14.31	9.43	10.43	16.53	21.1	16.16	27.21
"fpt15"	0	0	0	0	0.01	0	0	0.06
"fpt16"	0.01	0.01	0	0	0	0	0	0.01
"fpt17"	0.03	0.03	0.01	0.03	0.01	2.9	0.03	0.11
"fpt18"	0.01	0.01	0	0	0	0	0	0.01
"fpt19"	0.01	0.01	0	0	0	0	0	0
"fpt20"	0.13	0.07	0.03	0	0.04	0.14	0.09	0.09
"fpt21"	44.3	46.36	30.26	77.23	39.56	49.36	53.11	53.79
"fpt22"	42.49	45.59	29.72	44.24	37.24	47.31	50.09	51.52
