"ID"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"fpt1"	0	0	0	0.01	0	0	0
"fpt2"	0	0	0	0.01	0	0	0.01
"fpt3"	0	0	0	0.01	0	0	0.01
"fpt4"	0.33	0.04	0.01	0.24	0.03	0	0.04
"fpt5"	0.89	0.14	0.26	0.27	0.04	0.2	0.17
"fpt6"	46.94	36.41	30.97	44.63	29.64	28.82	45.82
"fpt7"	1.6	2.74	16.76	2.6	1.59	9.1	2.26
"fpt8"	0	0.04	0	0.17	0	0	0
"fpt9"	0	0.04	0	0.17	0	0	0
"fpt10"	0.01	0	0	0.69	0	0	4.65
"fpt11"	0	0.04	0	0.19	0	0	0.01
"fpt12"	0.42	0.06	0.01	1.72	0.03	0.01	9.69
"fpt13"	3.2	0.99	2.82	1.42	0.94	1.03	6.79
"fpt14"	3.6	1.04	2.82	2.32	0.96	1.04	13.14
"fpt15"	3.2	0.99	2.82	1.42	0.94	1.03	6.79
"fpt16"	3.67	1.06	40.04	11.16	0.97	1.04	13.14
"fpt17"	0	0	0	0.01	0	0	0
"fpt18"	0.01	0.01	0	0.01	0	0	0.01
"fpt19"	0.07	0.03	0.01	0.79	0.06	0.01	6.39
"fpt20"	0.01	0.01	0	0.01	0	0	0.01
"fpt21"	0.01	0.01	0	0.01	0	0	0.01
"fpt22"	0	0.04	0	0.26	0	0	0
"fpt23"	0.11	0.03	0.01	0.14	0.07	0.03	0.03
"fpt24"	48.56	39.15	47.73	47.22	31.19	37.92	48.05
"fpt25"	46.96	36.41	30.97	44.61	29.61	28.82	45.79
