"ID"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"fpt1"	0	0	0	0.01	0	0.01
"fpt2"	0.01	0	0	0	0	0
"fpt3"	0.04	0	0.01	0.01	0	0
"fpt4"	0.04	0	0.01	0.01	0	0
"fpt5"	0.03	0.01	0.01	0.07	0.17	0.06
"fpt6"	0.1	0.04	0.06	0.1	0.54	0.24
"fpt7"	76.32	38.31	50.51	74.99	40.07	37.63
"fpt8"	0.77	0.76	0.46	0.4	1.52	7.51
"fpt9"	23.43	4.44	2.2	1.32	0	0.49
"fpt10"	0.03	0	0.01	0.01	0	0
"fpt11"	49.34	9.84	5.03	2.57	0.01	7.79
"fpt12"	20.11	6.36	4.33	1.92	2.06	2.69
"fpt13"	54.62	13.24	7.92	3.75	2.07	10.34
"fpt14"	20.11	6.36	4.33	1.92	2.06	2.69
"fpt15"	56.23	15.16	11.43	5.65	14.88	30.25
"fpt16"	0	0	0	0	0	0.03
"fpt17"	0.04	0	0.01	0.01	0	0
"fpt18"	34.59	7	3.7	2	0.06	7.71
"fpt19"	0.04	0	0.01	0.01	0	0
"fpt20"	0.03	0	0.01	0.01	0	0
"fpt21"	0.01	0.03	0.03	0.03	0.04	0.06
"fpt22"	77.06	39.07	50.95	75.39	41.59	45.14
"fpt23"	76.29	38.31	50.49	74.99	40.07	37.63
