"ID"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"fpt1"	0	0.01	0	0	0	0	0	0	0	0
"fpt2"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt3"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt4"	0	0	0	0.11	0.07	0.06	0.01	0.03	0.03	0.01
"fpt5"	0	0	0	0.14	0.11	0.13	0.03	0.03	0.06	0.03
"fpt6"	75.61	52.89	36.15	60.69	44.63	26.05	49.17	33.16	21.79	17.65
"fpt7"	1.72	3.54	2.84	2.86	1.2	4.8	1.87	2.72	3.11	5.97
"fpt8"	31.13	12.79	2.74	3.43	0.09	0.21	0.11	0.21	0.74	1.87
"fpt9"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt10"	69.76	30.57	3.74	5.96	0.2	0.39	0.2	0.66	1.3	3.89
"fpt11"	39.84	18.74	2.49	2.92	0.36	0.76	0.4	0.6	1.51	2.19
"fpt12"	69.76	31.01	3.74	7.13	0.46	0.99	0.5	0.93	1.77	4.15
"fpt13"	39.84	18.74	2.49	2.92	0.36	0.76	0.4	0.6	1.51	2.19
"fpt14"	69.78	31.08	22.54	19.6	27.2	33.76	10.07	24.98	53.73	74.46
"fpt15"	1.37	1.31	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt16"	31.3	13.53	2.79	4.29	0.11	0.27	0.13	0.26	0.76	1.97
"fpt17"	1.37	1.31	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt18"	1.37	0.89	1.5	0.01	0.03	0.11	0.01	0.16	0.5	0.01
"fpt19"	0	0	0	0.14	0.03	0	0.07	0	0	0
"fpt20"	75.96	55.55	37.48	63.55	45.8	30.73	51.03	35.72	24.4	23.61
"fpt21"	74.24	52.01	34.64	60.69	44.6	25.93	49.16	33	21.29	17.64
