"ID"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"fpt1"	0	0	0.01	0	0	0	0	0
"fpt2"	0	0	0.01	0	0	0	0	0
"fpt3"	0	0	0.01	0	0	0	0	0
"fpt4"	0	0	0.01	0	0	0	0.03	0
"fpt5"	0	0	0.01	0	0	0	0.03	0
"fpt6"	0.09	0.01	0.01	0.09	0	0	0.06	0
"fpt7"	0.14	0.01	0.06	0.09	0	0.03	0.09	0.04
"fpt8"	87.01	76.59	64.48	65.47	64.35	94.94	73.3	68.36
"fpt9"	0.07	2.92	6.17	1.1	0.97	0.09	0.87	2.76
"fpt10"	0	0.39	1.34	0.29	2.21	0	6.02	0
"fpt11"	0	0	0.01	0	0	0	0.03	0
"fpt12"	0.01	0.73	2.52	0.57	3.94	0.01	28.64	0
"fpt13"	0.43	0.82	2.77	0.77	1.99	0.17	28.87	1.31
"fpt14"	0.44	1.29	4.36	1.16	4.6	0.17	38.64	1.31
"fpt15"	0.43	0.82	2.77	0.77	1.99	0.17	28.87	1.31
"fpt16"	1.31	12.01	23.78	6.86	7.9	0.69	47.86	9.58
"fpt17"	0	0	0	0	0	0	0.29	0
"fpt18"	0	0	0.01	0	0	0	0.03	0
"fpt19"	0.03	0.49	1.61	0.44	2.6	0	10.49	0
"fpt20"	0	0	0.01	0	0	0	0.03	0
"fpt21"	0	0	0.01	0	0	0	0.03	0
"fpt22"	0.07	0.04	0.03	0.06	0.09	0	0.07	0.01
"fpt23"	87.08	79.51	70.63	66.57	65.32	95.03	74.14	71.12
"fpt24"	87.01	76.59	64.46	65.47	64.35	94.94	73.27	68.36
