"ID"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"fpt1"	0.01	0.01	0	0.01	0.03	0.03	0.01	0	0
"fpt2"	0	0	0	0	0	0	1.07	0	0.04
"fpt3"	0	0.07	0	0	0	0.01	1.09	0	0.04
"fpt4"	0	0.07	0	0	0	0.01	1.09	0	0.04
"fpt5"	0	0.04	0.01	0.07	0.1	0.04	0.04	0.01	0.07
"fpt6"	0.1	0.09	0.1	0.17	0.37	0.26	0.19	0.46	0.26
"fpt7"	45.18	79.99	42.73	37.73	48.5	50.89	56.65	36.53	64.72
"fpt8"	2.46	0.47	1.74	2.26	1.39	1.92	1.26	2.3	1.52
"fpt9"	0	0	0.04	0.01	0	0	0.07	0	0
"fpt10"	0	0	0.04	0.01	0	0	0.07	0	0
"fpt11"	0.03	33.98	1.51	0.63	0.26	2.4	8.3	0.77	7.65
"fpt12"	0	0.07	0.04	0.01	0	0.01	0.09	0	0
"fpt13"	0.13	55.18	2.56	1.07	0.36	3.7	14.17	1.67	12.53
"fpt14"	3.25	24.96	15.52	15.75	13.04	11.07	21.36	9.28	28.54
"fpt15"	3.3	66.66	17.42	16.55	13.36	14.03	31.36	10.55	37.64
"fpt16"	3.25	24.96	15.52	15.75	13.04	11.07	21.36	9.28	28.54
"fpt17"	9.69	67.75	18.99	19.02	18.39	20.19	33.39	21.05	48.81
"fpt18"	0	0	0.01	0.09	0.01	0	0.21	0.41	0.52
"fpt19"	0.01	0.07	0	0	0	0.01	1.09	0	0.04
"fpt20"	0.06	41.88	11.6	11.81	4.58	4.66	22.5	1.29	28.48
"fpt21"	0.01	0.07	0	0	0	0.01	1.09	0	0.04
"fpt22"	0.01	0.07	0	0	0	0.01	0.01	0	0
"fpt23"	0	0	0.04	0.01	0	0	0.07	0	0
"fpt24"	0	0.03	0.06	0.07	0	0.14	0.04	0.07	0.03
"fpt25"	47.63	80.39	44.46	40	49.89	52.75	57.89	38.83	66.22
"fpt26"	45.18	79.92	42.72	37.73	48.5	50.84	56.63	36.53	64.71
