"ID"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"fpt1"	0.01	0.03	0.01	0.01	0.01
"fpt2"	0.01	0.03	0.01	0.01	0.01
"fpt3"	0.01	0.03	0.01	0.01	0.01
"fpt4"	0.01	0.04	0.16	0.09	0.17
"fpt5"	23.8	34.2	28.24	24.26	23.93
"fpt6"	0.01	0	0	0	0
"fpt7"	0.47	9.5	2.63	1.26	1.5
"fpt8"	0.01	0.03	0.01	0.01	0.01
"fpt9"	0.01	0.04	0.04	0.04	0.01
"fpt10"	0.53	0.59	0.47	0.47	0.16
"fpt11"	0	0	0.03	0.01	0.06
"fpt12"	0.01	0.03	0.01	0.01	0.01
"fpt13"	0	0	0.01	0	0
"fpt14"	0.14	0.26	0.64	0.29	0.6
"fpt15"	0.01	0.03	0.01	0.01	0.01
"fpt16"	23.45	28.46	26.3	23.23	23.05
"fpt17"	0.01	0.1	0.1	0.11	0.1
"fpt18"	0.03	0.03	0.01	0.01	0.01
"fpt19"	0.03	0.03	0.01	0.01	0.01
"fpt20"	0	0	0.03	0.01	0.06
"fpt21"	0	0	0	0	0.01
"fpt22"	0	0	0.01	0	0
"fpt23"	0	0.06	0.07	0.09	0.1
"fpt24"	0.07	5.57	1.56	0.54	1.04
"fpt25"	23.43	29.9	26.75	23.37	22.9
"fpt26"	18.53	18.84	14.72	15.87	21.37
"fpt27"	0.01	0.03	0.01	0.01	0.01
"fpt28"	0.51	0.83	0.86	0.69	0.84
"fpt29"	0.01	0.03	0.07	0.04	0.11
"fpt30"	0.01	0.03	0.01	0.01	0.01
"fpt31"	0	0	0.01	0	0
"fpt32"	23.55	30	26.97	23.58	23.83
"fpt33"	0.01	0.03	0.09	0.04	0.14
"fpt34"	16.2	17.79	10.15	10.71	12.69
"fpt35"	19.06	20.87	15.69	16.5	21.9
"fpt36"	0	0.04	0.06	0.01	0.04
"fpt37"	0.03	0	0.04	0	0.46
"fpt38"	16.19	26.53	12.12	11.44	14.05
"fpt39"	0.01	0.03	0.01	0.01	0.01
"fpt40"	23.42	29.9	26.75	23.37	22.89
"fpt41"	0.01	0	0	0	0
"fpt42"	0.49	0.77	0.83	0.61	0.36
"fpt43"	0.01	0.03	0.03	0.01	0.01
"fpt44"	0.09	5.47	1.44	0.41	1.42
"fpt45"	0.01	0.03	0.01	0.01	0.01
"fpt46"	0.01	0.03	0.01	0.01	0.01
"fpt47"	0	0.06	0.04	0.09	0.09
"fpt48"	0.09	15.74	4.1	1.34	3.33
"fpt49"	0.01	0.04	0.13	0.07	0.11
"fpt50"	1.01	1.4	1.37	1.09	0.54
"fpt51"	0.01	0.03	0.01	0.01	0.01
"fpt52"	0	0	0	0	0.01
"fpt53"	0	0	0.01	0	0
"fpt54"	16.19	17.79	10.15	10.69	12.67
"fpt55"	0	0	0	0.01	0
"fpt56"	0.07	0.11	0.34	0.14	0.86
"fpt57"	0.01	0	0	0	0.03
"fpt58"	0	0	0	0.01	0
"fpt59"	0.46	0.73	0.7	0.53	0.17
"fpt60"	0.01	0	0	0	0.01
"fpt61"	0	0	0.01	0	0
"fpt62"	0.01	0.03	0.01	0.01	0.01
"fpt63"	18.95	19.19	14.71	15.79	20.37
"fpt64"	0.01	0.04	0.13	0.09	0.17
"fpt65"	0	0	0	0.01	0
"fpt66"	0.01	0.04	0.13	0.09	0.17
"fpt67"	0	0	0.01	0.03	0.01
"fpt68"	0.01	0	0	0	0.01
"fpt69"	0	0	0	0.01	0
"fpt70"	0.46	0.73	0.69	0.53	0.17
"fpt71"	0	0.04	0.07	0	0.03
"fpt72"	0.01	0.03	0.01	0.01	0.01
"fpt73"	0.01	0.03	0.01	0.01	0.01
"fpt74"	0.07	0.07	0.14	0.19	0.36
