"ID"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"fpt1"	0	0	0	0	0	0	0	0.01
"fpt2"	0	0	0	0	0	0	0	0.01
"fpt3"	0	0	0	0	0	0	0	0.01
"fpt4"	0	0	0	0	0	0	0	0.01
"fpt5"	0.01	0	0.06	0	0.1	0	0	0
"fpt6"	2.51	2.23	1.06	2.94	36.52	7.1	3.67	2.71
"fpt7"	0.01	0	0	0.01	0.03	0.01	0.06	0.16
"fpt8"	0	0	0	0	0	0	0	0.14
"fpt9"	0.2	0.36	0.21	0.46	0.96	0.44	0.34	0.43
"fpt10"	0	0	0	0	0	0	0	0.03
"fpt11"	0	0	0	0	0.06	0	0	0
"fpt12"	0.11	0.67	0.16	0.36	2.52	0.16	0.49	0.13
"fpt13"	0	0	0.01	0	0.01	0	0	0
"fpt14"	0	0	0	0	0	0	0	0.14
"fpt15"	0	0	0	0	0	0	0	0.01
"fpt16"	0.01	0	0	0	0	0	0	0
"fpt17"	0.03	0.01	0.09	0.03	0.41	0.07	0.07	0.17
"fpt18"	0	0	0	0	0	0	0	0.01
"fpt19"	2.37	2.04	0.99	2.87	37.8	7.03	3.71	1.69
"fpt20"	0.01	0.01	0.04	0.03	0.06	0.03	0	0.01
"fpt21"	0.01	0	0	0.01	0.03	0.01	0.06	0.17
"fpt22"	0	0	0	0	0	0	0	0.14
"fpt23"	0.01	0	0	0.01	0.03	0.01	0.06	0.17
"fpt24"	0	0	0.01	0	0.01	0	0	0.14
"fpt25"	0.01	0	0	0	0	0	0	0
"fpt26"	0.2	0.74	0.11	0.29	0.04	0.04	0.19	0.1
"fpt27"	0.24	0.74	0.17	0.29	0.3	0.06	0.24	1.09
"fpt28"	2.37	2	0.99	2.82	36.04	7	3.57	1.7
"fpt29"	1.84	1.81	0.61	1.69	33	6.3	3.21	1.53
"fpt30"	0	0	0	0	0	0	0	0.01
"fpt31"	0.21	0.43	0.3	0.57	2.13	0.49	0.46	0.26
"fpt32"	0.01	0	0.03	0	0.03	0	0	0.01
"fpt33"	0	0	0	0	0	0	0	0.01
"fpt34"	0.01	0	0	0	0	0	0	0
"fpt35"	2.37	2.06	1	2.89	38.14	7.09	3.73	1.74
"fpt36"	0.01	0	0.03	0	0.03	0	0	0.01
"fpt37"	1.33	0.99	0.47	1.34	21.22	4.77	2.79	1.16
"fpt38"	1.79	1.81	0.74	1.89	35.49	6.44	3.53	1.61
"fpt39"	0	0	0	0	0.01	0	0	0
"fpt40"	0.01	0.06	0.01	0.07	1.19	0.01	0.11	0.01
"fpt41"	1.33	0.99	0.49	1.34	21.35	4.77	2.79	1.41
"fpt42"	0	0	0	0	0	0	0	0.01
"fpt43"	2.37	2	0.99	2.82	36.03	7	3.57	1.7
