"ID"	"Function"
"fpt1"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"fpt2"	"4-Aminobutyrate (GABA) -- Production"
"fpt3"	"7-Oxodeoxycholic acid -- Production"
"fpt4"	"7-Oxolithocholic acid -- Production"
"fpt5"	"Acetate -- Consumption"
"fpt6"	"Acetate -- Production"
"fpt7"	"Acetone -- Production"
"fpt8"	"Adenine -- Consumption"
"fpt9"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt10"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt11"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt12"	"Arabinogalactan -- Macromolecule"
"fpt13"	"beta-Muricholic acid -- Production"
"fpt14"	"Biotin (Vitamin B7) -- Consumption"
"fpt15"	"Biotin (Vitamin B7) -- Production"
"fpt16"	"Butylamine -- Production"
"fpt17"	"Butyrate -- Production"
"fpt18"	"Cadaverine -- Production"
"fpt19"	"Cellobiose -- Consumption"
"fpt20"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt21"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt22"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"fpt23"	"Cholic acid (Cholate) -- Consumption"
"fpt24"	"Cholic acid (Cholate) -- Production"
"fpt25"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt26"	"CO2 -- Consumption"
"fpt27"	"CO2 -- Production"
"fpt28"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt29"	"D-Fructose (Fructose) -- Consumption"
"fpt30"	"D-Fructuronate -- Consumption"
"fpt31"	"D-Galactose -- Consumption"
"fpt32"	"D-Galacturonate -- Consumption"
"fpt33"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt34"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt35"	"D-Glucose (Glucose) -- Consumption"
"fpt36"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt37"	"D-Mannitol (Mannitol) -- Consumption"
"fpt38"	"D-Mannose (Mannose) -- Consumption"
"fpt39"	"D-Psicose -- Consumption"
"fpt40"	"D-Ribose (Ribose) -- Consumption"
"fpt41"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt42"	"D-Tagaturonate -- Consumption"
"fpt43"	"D-Xylose (Xylose) -- Consumption"
"fpt44"	"Deoxycholic acid -- Production"
"fpt45"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt46"	"Dimethylamine -- Production"
"fpt47"	"Ethanol -- Production"
"fpt48"	"Folic acid (Folate, Vitamin B9) -- Production"
"fpt49"	"Formaldehyde -- Production"
"fpt50"	"Formate -- Consumption"
"fpt51"	"Formate -- Production"
"fpt52"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt53"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt54"	"Fumarate -- Consumption"
"fpt55"	"Galactan -- Macromolecule"
"fpt56"	"Glycerol -- Consumption"
"fpt57"	"Glycochenodeoxycholate -- Consumption"
"fpt58"	"Glycocholate -- Consumption"
"fpt59"	"Glycodeoxycholate -- Consumption"
"fpt60"	"Glycolithocholate -- Consumption"
"fpt61"	"H2 (Hydrogen) -- Consumption"
"fpt62"	"H2 (Hydrogen) -- Production"
"fpt63"	"H2O2 -- Production"
"fpt64"	"Hemicellulose, not specified -- Macromolecule"
"fpt65"	"Hippurate -- Consumption"
"fpt66"	"Histamine -- Production"
"fpt67"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt68"	"Indole-3-acetate (Indoleacetate) -- Production"
"fpt69"	"Indole -- Production"
"fpt70"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt71"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"fpt72"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt73"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt74"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"fpt75"	"L-Arginine (Arginine) -- Consumption"
"fpt76"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"fpt77"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt78"	"L-Fucose -- Consumption"
"fpt79"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"fpt80"	"L-Histidine (Histidine) -- Consumption"
"fpt81"	"L-Idonate -- Consumption"
"fpt82"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"fpt83"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"fpt84"	"L-Leucine (Leucine) -- Consumption"
"fpt85"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"fpt86"	"L-Methionine (D-Methionine) -- Consumption"
"fpt87"	"L-Ornithine (Ornithine) -- Production"
"fpt88"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"fpt89"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"fpt90"	"L-Serine (Serine, D-Serine) -- Consumption"
"fpt91"	"L-Threonine (Threonine) -- Consumption"
"fpt92"	"L-Threonine (Threonine) -- Production"
"fpt93"	"L-Tryptophan (Tryptophan) -- Consumption"
"fpt94"	"L-Tyrosine (Tyrosine) -- Consumption"
"fpt95"	"L-Valine (Valine, D-Valine) -- Consumption"
"fpt96"	"Lactose -- Consumption"
"fpt97"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"fpt98"	"Lithocholic acid -- Production"
"fpt99"	"Maltose -- Consumption"
"fpt100"	"Mannan -- Macromolecule"
"fpt101"	"Melibiose -- Consumption"
"fpt102"	"Menaquinone (Vitamin K2) -- Production"
"fpt103"	"Methanol -- Production"
"fpt104"	"Methylamine (Monomethylamine) -- Production"
"fpt105"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
"fpt106"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"
"fpt107"	"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"
"fpt108"	"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"
"fpt109"	"NH3 (Ammonia, NH4+, Ammonium) -- Production"
"fpt110"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"
"fpt111"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Production"
"fpt112"	"Nitrate (NO3-) -- Consumption"
"fpt113"	"Nitrite (NO2-) -- Consumption"
"fpt114"	"Pantothenic acid (Vitamin B5, Pantothenate) -- Consumption"
"fpt115"	"Pectin -- Macromolecule"
"fpt116"	"Pentanol -- Production"
"fpt117"	"Phenylethylamine -- Production"
"fpt118"	"Polypeptide -- Macromolecule"
"fpt119"	"Propanoate (Propionate) -- Consumption"
"fpt120"	"Propanoate (Propionate) -- Production"
"fpt121"	"Propanol (n-propanol, 1-Propanol) -- Production"
"fpt122"	"Putrescine -- Production"
"fpt123"	"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"
"fpt124"	"Pyruvate -- Consumption"
"fpt125"	"Raffinose -- Consumption"
"fpt126"	"Riboflavin (Vitamin B2) -- Production"
"fpt127"	"Stachyose -- Consumption"
"fpt128"	"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"
"fpt129"	"Stearic acid (Stearate, Octadecanoate) -- Production"
"fpt130"	"Succinate -- Production"
"fpt131"	"Sucrose -- Consumption"
"fpt132"	"Sulfate (Sulfuric acid, Sulfite) -- Consumption"
"fpt133"	"Tauro-b-muricholic acid -- Consumption"
"fpt134"	"Taurochenodeoxycholate -- Consumption"
"fpt135"	"Taurocholate -- Consumption"
"fpt136"	"Taurodeoxycholate -- Consumption"
"fpt137"	"Taurolithocholate -- Consumption"
"fpt138"	"Thiamine (Vitamin B1, Thiamin) -- Consumption"
"fpt139"	"Thiamine (Vitamin B1, Thiamin) -- Production"
"fpt140"	"Thiosulfate -- Consumption"
"fpt141"	"Trehalose -- Consumption"
"fpt142"	"Trimethylamine -- Production"
"fpt143"	"Tyramine -- Production"
"fpt144"	"Urea -- Consumption"
"fpt145"	"Urea -- Production"
"fpt146"	"Valerate (Pentanoic acid, Pentanoate) -- Consumption"
"fpt147"	"Xylan -- Macromolecule"
