"ID"	"Function"
"fpt1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"fpt2"	"Acetate -- Consumption"
"fpt3"	"Acetate -- Production"
"fpt4"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt5"	"Acetone -- Production"
"fpt6"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt7"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt8"	"Arabinogalactan -- Macromolecule"
"fpt9"	"beta-Muricholic acid -- Production"
"fpt10"	"Biotin (Vitamin B7) -- Consumption"
"fpt11"	"Butylamine -- Production"
"fpt12"	"Butyrate -- Production"
"fpt13"	"Cadaverine -- Production"
"fpt14"	"Cellobiose -- Consumption"
"fpt15"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt16"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt17"	"Cholic acid (Cholate) -- Consumption"
"fpt18"	"Cholic acid (Cholate) -- Production"
"fpt19"	"Choline -- Consumption"
"fpt20"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt21"	"Citrate -- Consumption"
"fpt22"	"CO2 -- Consumption"
"fpt23"	"CO2 -- Production"
"fpt24"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt25"	"D-Fructose (Fructose) -- Consumption"
"fpt26"	"D-Galactose -- Consumption"
"fpt27"	"D-Galacturonate -- Consumption"
"fpt28"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt29"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt30"	"D-Glucose (Glucose) -- Consumption"
"fpt31"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt32"	"D-Mannitol (Mannitol) -- Consumption"
"fpt33"	"D-Mannose (Mannose) -- Consumption"
"fpt34"	"D-Psicose -- Consumption"
"fpt35"	"D-Ribose (Ribose) -- Consumption"
"fpt36"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt37"	"D-Tagatose -- Consumption"
"fpt38"	"D-Xylose (Xylose) -- Consumption"
"fpt39"	"Deoxycholic acid -- Production"
"fpt40"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt41"	"Dimethylamine -- Production"
"fpt42"	"Ethanol -- Production"
"fpt43"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"fpt44"	"Folic acid (Folate, Vitamin B9) -- Production"
"fpt45"	"Formaldehyde -- Production"
"fpt46"	"Formate -- Consumption"
"fpt47"	"Formate -- Production"
"fpt48"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt49"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt50"	"Fumarate -- Consumption"
"fpt51"	"Galactan -- Macromolecule"
"fpt52"	"Glycerol -- Consumption"
"fpt53"	"H2 (Hydrogen) -- Production"
"fpt54"	"H2O2 -- Production"
"fpt55"	"H2S (HS-) -- Production"
"fpt56"	"Hemicellulose, not specified -- Macromolecule"
"fpt57"	"Hippurate -- Consumption"
"fpt58"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt59"	"Indole -- Production"
"fpt60"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt61"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt62"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt63"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"fpt64"	"L-Arginine (Arginine) -- Consumption"
"fpt65"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt66"	"L-Fucose -- Consumption"
"fpt67"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
