"ID"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"fpt1"	0	0	0	0	0	0	0.13	0
"fpt2"	0.13	0.16	0	0	0.01	0.1	0.04	0.06
"fpt3"	51.25	47.71	6.1	19.59	13.26	17.73	9.64	45.59
"fpt4"	0	0.01	0	0.01	0	0.04	0.01	0.01
"fpt5"	3.62	0.66	1.56	1.03	2.09	1.46	4.66	0.07
"fpt6"	0	0	0	0	0	0	0.13	0
"fpt7"	0.04	0.04	0	0	0	0.04	0	0.04
"fpt8"	0.27	0.21	1.59	0.7	2.16	1.96	2.32	0.37
"fpt9"	0.01	0.03	0	0	0	0.01	0.01	0
"fpt10"	0	0	0	0	0.06	0.06	0.01	0
"fpt11"	5.57	2.6	0.04	0.21	1.07	1.26	0.37	0.33
"fpt12"	44.62	46.15	5.44	18.51	10.28	16.36	7.83	45.34
"fpt13"	0.09	0.06	0.01	0.03	0.03	0.11	0.03	0.06
"fpt14"	0	0.01	0	0.01	0	0.04	0.01	0.01
"fpt15"	0	0.01	0	0.01	0	0.04	0.01	0.01
"fpt16"	0.01	0.03	0	0	0	0.01	0.01	0
"fpt17"	0	0	0	0	0.01	0.01	0	0.01
"fpt18"	0	0	0	0	0.06	0.06	0.01	0
"fpt19"	0.61	0.43	0.56	0.56	4.71	4.03	1.96	0.16
"fpt20"	3.82	0.74	0.56	0.59	4.82	4.53	2.99	0.27
"fpt21"	44.79	46.1	5.05	18.17	9.37	13.87	7.62	44.16
"fpt22"	44.88	46.34	4.77	18.2	12.89	18.05	7.33	45.05
"fpt23"	0	0	0.13	0	0.09	0	0.03	0
"fpt24"	0.6	0.44	1.9	1.36	3.09	3.97	3.52	1.3
"fpt25"	0.03	0.03	0	0.03	0.1	0.16	0.06	0
"fpt26"	0.01	0	0	0	0	0	0	0
"fpt27"	0.01	0	0.13	0.03	0.19	0.11	0.07	0
"fpt28"	45.03	46.2	5.48	18.54	10.3	16.46	8.02	45.55
"fpt29"	0.03	0.03	0	0.03	0.1	0.17	0.06	0
"fpt30"	38.32	39.65	3.66	15.16	5.69	7.94	5.66	26.45
"fpt31"	45.02	46.17	5.39	18.51	10.33	16.29	7.95	45.29
"fpt32"	3.27	0.94	0.79	1.1	0.57	0.34	0.27	1.09
"fpt33"	0.24	0.06	0.36	0.37	1.06	2.5	0.43	1.17
"fpt34"	42.16	43.2	3.95	15.21	5.76	8.04	7.52	26.46
"fpt35"	44.79	46.1	5.05	18.16	9.37	13.87	7.62	44.16
"fpt36"	0	0.01	0	0.01	0	0.04	0.01	0.01
"fpt37"	0.39	0.56	1.12	0.99	1.87	1.69	3.12	0.14
"fpt38"	0	0	0	0	0.06	0.06	0.01	0
"fpt39"	3.37	0.29	0.84	0.39	1.46	2.99	1.52	1.23
"fpt40"	0	0	0.44	0	0.41	0	0.11	0
"fpt41"	0	0	0.13	0	0.09	0	0.03	0
"fpt42"	0.06	0.01	0.03	0.03	0.06	0.07	0.04	0.01
"fpt43"	10.96	4.99	1.5	1.6	2.03	3.76	3.87	2.33
"fpt44"	0.26	0.23	0.46	0.26	1.44	1.36	1.07	0.13
"fpt45"	3.96	1.72	3.05	2.79	4.19	3.96	5.58	1.59
"fpt46"	0	0	0	0	0.06	0.06	0.01	0
"fpt47"	38.3	39.64	3.66	15.14	5.68	7.89	5.66	26.43
"fpt48"	0.03	0	0.01	0	0.03	0.01	0.01	0
"fpt49"	4.23	1.63	1.26	2	5.74	7.03	2.53	2.5
"fpt50"	0	0	0	0.01	0.01	0.01	0	0.01
"fpt51"	0	0.01	0	0	0	0.04	0	0
"fpt52"	0.39	0.41	1.53	1.17	2.96	2.53	3.95	0.16
"fpt53"	0	0	0	0.01	0	0	0	0
"fpt54"	0	0	0	0	0.06	0.06	0.01	0
"fpt55"	41.59	43.74	4.74	17.94	9.07	13.59	7.29	42.68
"fpt56"	0.1	0.13	0	0	0.01	0.1	0.04	0.06
"fpt57"	0.03	0	0.01	0.03	0.13	0.07	0.03	0
"fpt58"	0.1	0.13	0	0	0.01	0.1	0.04	0.06
"fpt59"	0.03	0.01	0.01	0.03	0.19	0.17	0.04	0
"fpt60"	0	0	0	0.01	0	0	0	0
"fpt61"	0	0.03	0.03	0	0.03	0.04	0.07	0
"fpt62"	0	0.01	0.03	0	0.03	0	0.07	0
"fpt63"	0.21	0.29	1.07	0.91	1.52	1.26	2.89	0.07
"fpt64"	3.27	0.96	0.34	1.1	0.21	0.4	0.17	1.09
"fpt65"	0.01	0.01	0.04	0.01	0.01	0.04	0.01	0.21
"fpt66"	47.41	46	3.65	17.07	8.42	14.69	4.66	44.96
"fpt67"	0.21	0.29	1.07	0.91	1.52	1.26	2.89	0.07
"fpt68"	3.4	3.12	3.05	1.94	4.73	4.1	5.69	1.91
"fpt69"	0	0.01	0	0.01	0	0.04	0.01	0.01
"fpt70"	44.5	46.18	5.52	18.2	9.8	14.03	7.62	44.23
"fpt71"	0.07	0.09	0	0	0	0.09	0.01	0.04
"fpt72"	0	0.01	0	0.01	0	0.04	0.01	0.01
"fpt73"	44.49	46.17	5.08	18.2	9.37	14.02	7.51	44.22
"fpt74"	0.57	0.5	2.22	1.44	4.92	4.21	4.75	0.41
"fpt75"	6.37	6.33	2	3.14	2.9	5.26	2.09	17.89
"fpt76"	0.04	0.11	0.1	0.06	0.11	0.47	0.1	0.04
"fpt77"	3.87	1.6	3.06	2.93	4.48	4.09	5.82	1.56
"fpt78"	0.06	0.01	0.01	0.07	0.21	0.2	0.11	0.03
"fpt79"	0	0	0	0	0.06	0.06	0.01	0
"fpt80"	3.26	0.94	0.34	1.1	0.16	0.34	0.16	1.09
"fpt81"	0.56	0.41	0.53	0.53	4.65	3.96	1.92	0.14
"fpt82"	0.09	0.07	0	0.04	0.07	0.16	0.03	0.07
"fpt83"	1.04	3.33	0.7	0.03	0.44	0.03	0.64	0
"fpt84"	43.76	45.5	2.33	16.39	5.38	10.32	2.03	43.62
"fpt85"	2.73	2.39	0.3	0.14	0.43	0.29	0.13	1.39
"fpt86"	0	0.01	0	0.03	0.01	0.06	0.01	0.03
"fpt87"	0.1	0.13	0.13	0	0.16	0.16	0.09	0.06
"fpt88"	0	0	0	0	0.06	0.06	0.01	0
"fpt89"	0.1	0.19	0.1	0.06	0.06	0.51	0.1	0.09
"fpt90"	0.1	0.13	0	0	0.01	0.1	0.04	0.06
"fpt91"	44.32	45.9	2.9	16.96	10.14	14.32	4.09	43.98
"fpt92"	0.01	0.01	0	0	0	0	0.13	0
"fpt93"	0	0	0	0	0.06	0.06	0.01	0
"fpt94"	0.04	0.04	0.44	0	0.41	0.04	0.11	0.04
"fpt95"	0.03	0	0.01	0	0.03	0.01	0.01	0
"fpt96"	0.01	0	0	0	0	0	0	0
"fpt97"	44.52	46.24	5.55	18.26	10.2	14.16	7.75	44.16
"fpt98"	0.03	0.01	0.01	0.03	0.03	0.06	0.03	0.01
"fpt99"	10.02	7.79	3.91	5.2	5.32	7.23	5.42	19.09
"fpt100"	0.01	0.03	0	0	0	0.04	0.01	0
"fpt101"	38.92	38.01	4.54	15.66	10.57	12.46	8.53	25.23
"fpt102"	49.79	48.44	5.04	18.26	10.14	14.69	7.62	44.19
"fpt103"	0.01	0.03	0	0	0	0.01	0.01	0
"fpt104"	0.01	0.03	0	0	0	0.01	0.01	0
"fpt105"	0	0	0.44	0	0.41	0	0.24	0
"fpt106"	44.63	45.93	4.58	17.86	7.87	12.76	6.5	44.12
"fpt107"	0	0	0	0	0.01	0.01	0	0.01
"fpt108"	0	0	0	0	0.06	0.06	0.01	0
"fpt109"	0.01	0.03	0.44	0.03	0.41	0.09	0.13	0.01
"fpt110"	0.31	0.37	2.2	1.36	2.23	1.94	4.15	0.36
"fpt111"	0.1	0.13	0	0	0.01	0.1	0.04	0.06
"fpt112"	0.01	0.01	0	0	0	0	0	0
"fpt113"	0.24	0.27	0.17	0.13	0.67	0.6	0.36	0.07
