"ID"	"Function"
"fpt1"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"fpt2"	"Acetate -- Consumption"
"fpt3"	"Acetate -- Production"
"fpt4"	"Acetone -- Production"
"fpt5"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt6"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt7"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt8"	"Arabinogalactan -- Macromolecule"
"fpt9"	"beta-Muricholic acid -- Production"
"fpt10"	"Butylamine -- Production"
"fpt11"	"Butyrate -- Production"
"fpt12"	"Cellobiose -- Consumption"
"fpt13"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt14"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt15"	"Cholic acid (Cholate) -- Consumption"
"fpt16"	"Cholic acid (Cholate) -- Production"
"fpt17"	"Choline -- Consumption"
"fpt18"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt19"	"CO2 -- Consumption"
"fpt20"	"CO2 -- Production"
"fpt21"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt22"	"D-Fructose (Fructose) -- Consumption"
"fpt23"	"D-Galactosamine (Galactosamine) -- Consumption"
"fpt24"	"D-Galactose -- Consumption"
"fpt25"	"D-Galacturonate -- Consumption"
"fpt26"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt27"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt28"	"D-Glucose (Glucose) -- Consumption"
"fpt29"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt30"	"D-Mannitol (Mannitol) -- Consumption"
"fpt31"	"D-Mannose (Mannose) -- Consumption"
"fpt32"	"D-Psicose -- Consumption"
"fpt33"	"D-Ribose (Ribose) -- Consumption"
"fpt34"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt35"	"D-Xylose (Xylose) -- Consumption"
"fpt36"	"Deoxycholic acid -- Production"
"fpt37"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt38"	"Dimethylamine -- Production"
"fpt39"	"Ethanol -- Production"
"fpt40"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"fpt41"	"Folic acid (Folate, Vitamin B9) -- Production"
