"ID"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"fpt1"	0.03	0.03	0.23	0.01	0	0.09	0.03
"fpt2"	0.03	0.03	0.23	0.01	0	0.09	0.03
"fpt3"	0	0	0	0.01	0	0	0.01
"fpt4"	0	0	0	0.01	0	0	0.01
"fpt5"	0	0	0	0.01	0	0	0.01
"fpt6"	0.52	0.06	0.03	0.27	0.07	0.01	0.06
"fpt7"	20.65	41.92	44.44	29.17	38.24	33.09	31.99
"fpt8"	0.03	0	0	0.03	0.01	0	0
"fpt9"	0.11	0.31	0.01	0	0.26	0.23	0.6
"fpt10"	1.39	0.39	2.39	1.65	0.29	1.69	6.55
"fpt11"	0	0	0	0.01	0	0	0.01
"fpt12"	0.24	0.03	0	0.13	0.01	0	0.04
"fpt13"	0.03	0.03	0.23	0.01	0	0.09	0.03
"fpt14"	1.05	0.3	2.42	0.34	0.13	0.5	0.57
"fpt15"	0.13	0.01	0	0.07	0.03	0.01	0
"fpt16"	0	0	0	0.03	0.01	0	0
"fpt17"	0	0	0	0.01	0	0	0.01
"fpt18"	0.09	0.03	0.24	0.01	0	0.14	0.03
"fpt19"	8.08	4.56	0.44	0.7	1.04	4.56	2.7
"fpt20"	0	0	0	0.01	0	0	0.01
"fpt21"	18.6	42.08	43.53	27.86	38.07	33.38	27.79
"fpt22"	0.36	0.06	0.01	0.29	0.09	0.03	0.07
"fpt23"	0.14	0.34	0.24	0.03	0.26	0.31	0.64
"fpt24"	0.14	0.34	0.24	0.03	0.26	0.31	0.64
"fpt25"	0.13	0.01	0	0.07	0.03	0.01	0
"fpt26"	0.19	0	0	0	0	0	0.01
"fpt27"	0.09	0.03	0.24	0.01	0	0.14	0.03
"fpt28"	0	0	0	0.03	0.01	0	0
"fpt29"	2.51	0.76	0.53	0.21	0.11	0.33	0.93
"fpt30"	3.57	1.14	0.6	1.3	0.5	0.6	4.96
"fpt31"	18.11	40.88	42.74	27.69	37.34	32.63	27.06
"fpt32"	19.79	42.41	9.25	21.49	37.9	33.06	28.05
"fpt33"	0	0	0	0.01	0	0	0.01
"fpt34"	0	0	0.01	0	0	0	0
"fpt35"	2.51	1.54	3.15	1.26	1.14	2.4	1.2
"fpt36"	0.54	0.11	0.24	0.07	0.01	0.2	0.13
"fpt37"	0.07	0.01	0	0.01	0	0	0.07
"fpt38"	0.5	0.1	0.26	0.01	0	0.2	0.11
"fpt39"	18.91	42.16	43.62	28.22	38.25	33.46	27.92
"fpt40"	0.54	0.11	0.24	0.07	0.01	0.2	0.13
"fpt41"	0.03	0.03	0.23	0.01	0	0.09	0.03
"fpt42"	13.24	37.55	8.32	14.18	25.19	26.85	22.86
"fpt43"	18.58	42.01	11.14	21.88	38.04	33.29	27.73
"fpt44"	0.32	0.17	0.26	0.1	0.41	0.11	0.26
"fpt45"	0.72	1.16	0.99	0.17	0.74	0.81	0.71
"fpt46"	13.08	37.55	8.34	14.95	25.22	26.86	29.18
"fpt47"	0	0	0	0.03	0.01	0	0
"fpt48"	0	0	0	0.01	0	0	0.01
"fpt49"	18	40.88	42.74	27.69	37.32	32.62	27.06
"fpt50"	0.14	0.34	0.24	0.01	0.26	0.31	0.63
"fpt51"	1.63	0.73	2.63	1	0.61	1.87	1.02
