"ID"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"fpt1"	0	0	0	0	0	0.13	0	0
"fpt2"	0	0	0	0	0	0.01	0	0
"fpt3"	0	0	0	0	0	0.01	0	0
"fpt4"	0	0	0	0	0.03	0.01	0	0.01
"fpt5"	0	0	0	0	0.03	0.01	0	0.01
"fpt6"	0	0	0	0	0.03	0.01	0	0.01
"fpt7"	0.01	0.03	0.01	0	0.13	0.03	0.41	0.2
"fpt8"	24.09	32.46	22.49	33.71	24	12.89	21.24	27.96
"fpt9"	0	0	0	0	0.01	0	0	0.01
"fpt10"	0.19	0.21	0	0	0	0.04	0	0
"fpt11"	1.37	1.17	1.67	4.67	9.45	5.27	2.5	4.29
"fpt12"	0	0	0	0	0.03	0.01	0	0.01
"fpt13"	0.01	0	0	0	0.06	0.01	0.14	0.09
"fpt14"	0	0	0	0	0	0.01	0	0
"fpt15"	3.83	1.89	2.39	2.06	2.26	3.62	3.43	2.4
"fpt16"	0.01	0	0	0	0.07	0.01	0.1	0.07
"fpt17"	0	0	0	0	0	0	0	0.01
"fpt18"	0	0	0	0	0.03	0.01	0	0.01
"fpt19"	0.01	0	0	0	0.06	0.04	0.01	0.14
"fpt20"	0.57	0.93	0.24	0.04	0.31	0.3	0.72	1.92
"fpt21"	0	0	0	0	0.03	0.06	0	0.01
"fpt22"	20.59	29.57	21.54	31.61	19.77	9.81	19.88	26.96
"fpt23"	0.11	0.1	0.04	0.06	0.19	0.04	0.37	0.19
"fpt24"	0.19	0.21	0	0	0.03	0.07	0	0.01
"fpt25"	0.19	0.21	0	0	0.03	0.07	0	0.01
"fpt26"	0.01	0	0	0	0.07	0.01	0.1	0.07
"fpt27"	0.01	0.03	0	0	0	0	0	0
"fpt28"	0.01	0	0	0	0.06	0.04	0.01	0.14
"fpt29"	0	0	0	0	0	0	0	0.01
"fpt30"	4.42	2.55	0.06	0.06	0.29	4.3	0.27	0.24
"fpt31"	4.66	2.83	0.76	2.1	4.33	5.2	1.63	1.32
"fpt32"	19.75	29.01	21.56	31.64	20.21	8.92	20.06	26.58
"fpt33"	20.86	30.01	12.86	26.44	12.28	11.33	9.98	17.65
"fpt34"	0	0	0	0	0.03	0.01	0	0.01
"fpt35"	0	0	0	0	0	0.37	0	0
"fpt36"	2.22	1.52	0.24	0.2	0.76	4.53	0.59	1.07
"fpt37"	0.06	0.1	0	0	0.1	0.1	0.11	0.19
"fpt38"	0.03	0	0	0	0.03	0.01	0	0.01
"fpt39"	0.06	0.1	0	0	0.06	0.46	0.01	0.14
"fpt40"	20.62	29.58	21.81	31.73	20.61	10.01	20.28	27.28
"fpt41"	0.06	0.1	0	0	0.13	0.1	0.14	0.19
"fpt42"	0	0	0	0	0	0.01	0	0
"fpt43"	14.78	25.05	11.7	23.03	9.62	5.86	8.74	12.1
"fpt44"	20.52	29.55	15.29	28.57	15.13	9.88	13.69	20.01
"fpt45"	2.14	1.86	0	0	0	1.4	0	0.04
"fpt46"	0.89	0.63	0.04	0.04	0.34	1.22	0.09	0.53
"fpt47"	16.09	27.31	13.21	27.61	19.34	7.9	11.34	15.96
"fpt48"	0	0	0	0	0	0	0	0.01
"fpt49"	0	0	0	0	0.03	0.01	0	0.01
"fpt50"	19.75	29.01	21.56	31.64	20.2	8.92	20.06	26.58
"fpt51"	0.19	0.21	0	0	0	0.06	0	0
"fpt52"	1.99	1.3	0.17	0.1	0.37	2.61	0.43	0.53
"fpt53"	0.01	0	0	0	0.09	0.06	0.01	0.16
"fpt54"	1.09	0.81	0.71	2.09	4.27	3.24	1.13	1.36
"fpt55"	0	0	0	0	0	1.25	0	0.01
"fpt56"	0	0	0	0	0.03	0.39	0	0.03
"fpt57"	0	0	0	0	0.03	0.01	0	0.03
"fpt58"	0.1	0.1	0.04	0.06	0.13	0.06	0.23	0.09
"fpt59"	4.99	5.15	2.29	6.74	14.75	6.11	4.19	5.39
"fpt60"	2.39	1.09	0	0	0.13	2.32	0.29	0.29
"fpt61"	7.81	4.83	2.56	2.16	2.64	6.32	3.88	2.97
"fpt62"	0	0	0	0	0.03	0.01	0	0.03
"fpt63"	0.01	0	0	0	0.06	0.04	0.01	0.14
"fpt64"	14.73	25.02	11.7	23.03	9.58	5.86	8.72	12.1
"fpt65"	0	0	0	0	0	0.03	0	0
"fpt66"	7.49	5.1	0.06	0.04	0.63	5.54	0.61	0.92
"fpt67"	0.03	0.03	0	0	0.03	0	0	0
"fpt68"	0	0	0	0	0.03	0	0.01	0
"fpt69"	3.55	1.77	0.16	0.1	0.26	4.25	0.04	0.49
"fpt70"	0	0	0	0	0.01	0	0	0.01
"fpt71"	0.01	0	0	0	0.06	0.04	0.01	0.14
"fpt72"	0	0	0	0	0.03	0.01	0	0.01
"fpt73"	19.96	29.07	15	28.1	13.55	8.91	12.61	18.9
"fpt74"	0.01	0.03	0.01	0	0.13	0.03	0.39	0.17
"fpt75"	0	0	0	0	0	0.04	0	0
"fpt76"	0.01	0.03	0.01	0	0.13	0.03	0.39	0.17
"fpt77"	0.01	0	0	0	0.09	0.07	0.04	0.14
"fpt78"	0	0	0	0	0.04	0.03	0.01	0.01
"fpt79"	0	0	0	0	0	0.03	0	0
"fpt80"	1.17	0.69	0.16	0.1	0.2	1.96	0.03	0.34
"fpt81"	2.16	1.86	0	0	0.06	0.19	0.03	0.17
"fpt82"	0	0	0	0	0.03	0.01	0	0.01
"fpt83"	0	0	0	0	0.03	0.01	0	0.01
"fpt84"	0.06	0.01	0.23	0.04	0.11	0.01	0.17	0.27
"fpt85"	17.86	28.05	13.39	28.39	15.98	8.38	11.05	18.3
"fpt86"	0	0	0	0	0	0.01	0	0
"fpt87"	0	0	0	0	0.03	0.01	0	0.03
"fpt88"	1.17	0.69	0.16	0.1	0.2	1.96	0.03	0.34
"fpt89"	0	0	0	0	0	0	0	0.01
"fpt90"	0	0	0	0	0	0.01	0	0
"fpt91"	5.92	3.16	9.01	5.57	8.45	6.54	10.52	10.34
"fpt92"	0.19	0.21	0	0	0	0.04	0	0.01
