"ID"	"Function"
"fpt1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"fpt2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"fpt3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"fpt4"	"4-Aminobutyrate (GABA) -- Production"
"fpt5"	"7-Oxodeoxycholic acid -- Production"
"fpt6"	"7-Oxolithocholic acid -- Production"
"fpt7"	"Acetate -- Consumption"
"fpt8"	"Acetate -- Production"
"fpt9"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt10"	"Acetone -- Production"
"fpt11"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt13"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt14"	"Arabinan -- Macromolecule"
"fpt15"	"Arabinogalactan -- Macromolecule"
"fpt16"	"beta-Muricholic acid -- Production"
"fpt17"	"Biotin (Vitamin B7) -- Consumption"
"fpt18"	"Biotin (Vitamin B7) -- Production"
"fpt19"	"Butylamine -- Production"
"fpt20"	"Butyrate -- Production"
"fpt21"	"Cadaverine -- Production"
"fpt22"	"Cellobiose -- Consumption"
"fpt23"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt24"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt25"	"Cholic acid (Cholate) -- Consumption"
"fpt26"	"Cholic acid (Cholate) -- Production"
"fpt27"	"Choline -- Consumption"
"fpt28"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt29"	"Citrate -- Consumption"
"fpt30"	"CO2 -- Consumption"
"fpt31"	"CO2 -- Production"
"fpt32"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt33"	"D-Fructose (Fructose) -- Consumption"
"fpt34"	"D-Fructuronate -- Consumption"
"fpt35"	"D-Galactosamine (Galactosamine) -- Consumption"
"fpt36"	"D-Galactose -- Consumption"
"fpt37"	"D-Galacturonate -- Consumption"
"fpt38"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt39"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt40"	"D-Glucose (Glucose) -- Consumption"
"fpt41"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt42"	"D-Lyxose (L-Lyxose) -- Consumption"
"fpt43"	"D-Mannitol (Mannitol) -- Consumption"
"fpt44"	"D-Mannose (Mannose) -- Consumption"
"fpt45"	"D-Psicose -- Consumption"
"fpt46"	"D-Ribose (Ribose) -- Consumption"
"fpt47"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt48"	"D-Tagatose -- Consumption"
"fpt49"	"D-Tagaturonate -- Consumption"
"fpt50"	"D-Xylose (Xylose) -- Consumption"
"fpt51"	"Deoxycholic acid -- Production"
"fpt52"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt53"	"Dimethylamine -- Production"
"fpt54"	"Ethanol -- Production"
"fpt55"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"fpt56"	"Folic acid (Folate, Vitamin B9) -- Production"
"fpt57"	"Formaldehyde -- Production"
"fpt58"	"Formate -- Consumption"
"fpt59"	"Formate -- Production"
"fpt60"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt61"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt62"	"Fumarate -- Consumption"
"fpt63"	"Galactan -- Macromolecule"
"fpt64"	"Glycerol -- Consumption"
"fpt65"	"H2 (Hydrogen) -- Consumption"
"fpt66"	"H2 (Hydrogen) -- Production"
"fpt67"	"H2O2 -- Production"
"fpt68"	"H2S (HS-) -- Production"
"fpt69"	"Hemicellulose, not specified -- Macromolecule"
"fpt70"	"Hippurate -- Consumption"
"fpt71"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt72"	"Indole-3-acetate (Indoleacetate) -- Production"
"fpt73"	"Indole -- Production"
"fpt74"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt75"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"fpt76"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt77"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt78"	"L-Arginine (Arginine) -- Consumption"
"fpt79"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"fpt80"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt81"	"L-Fucose -- Consumption"
"fpt82"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"fpt83"	"L-Idonate -- Consumption"
"fpt84"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"fpt85"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"fpt86"	"L-Leucine (Leucine) -- Consumption"
"fpt87"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"fpt88"	"L-Methionine (D-Methionine) -- Consumption"
"fpt89"	"L-Ornithine (Ornithine) -- Production"
"fpt90"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"fpt91"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"fpt92"	"L-Serine (Serine, D-Serine) -- Consumption"
"fpt93"	"L-Threonine (Threonine) -- Production"
"fpt94"	"L-Tyrosine (Tyrosine) -- Consumption"
"fpt95"	"L-Valine (Valine, D-Valine) -- Consumption"
"fpt96"	"Lactose -- Consumption"
"fpt97"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"fpt98"	"Lipoic acid (Lipoate) -- Consumption"
"fpt99"	"Lithocholic acid -- Production"
"fpt100"	"Maltose -- Consumption"
"fpt101"	"Mannan -- Macromolecule"
"fpt102"	"Melibiose -- Consumption"
"fpt103"	"Menaquinone (Vitamin K2) -- Production"
"fpt104"	"Methanol -- Production"
"fpt105"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
"fpt106"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"
"fpt107"	"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"
"fpt108"	"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"
"fpt109"	"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"
"fpt110"	"NH3 (Ammonia, NH4+, Ammonium) -- Production"
"fpt111"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"
"fpt112"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Production"
"fpt113"	"Nitrate (NO3-) -- Consumption"
