"ID"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"fpt1"	0.09	0	0	0.01	0	0	0	0	0
"fpt2"	0.09	0	0	0.01	0	0	0	0	0
"fpt3"	0.09	0	0	0.01	0	0	0	0	0
"fpt4"	0	0.1	0	0.4	0.04	0.01	0.01	0.01	0
"fpt5"	32.78	48.73	30.25	20.27	30.45	33.52	37.88	45.93	15.29
"fpt6"	0.92	0.06	0.01	0	0.03	0.01	0	0	0
"fpt7"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt8"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt9"	47.55	0.06	0.14	3.55	0.4	1.06	1.07	0.36	4.46
"fpt10"	0.09	0	0	0.01	0	0	0	0	0
"fpt11"	0	0.04	0	0.14	0.01	0.01	0.01	0.01	0
"fpt12"	0.01	0.01	0.31	0.04	0.37	0.49	0.71	0.27	0.21
"fpt13"	0	0.01	0	0.11	0.01	0	0.01	0	0
"fpt14"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt15"	0.09	0	0	0.01	0	0	0	0	0
"fpt16"	0.01	0	0.01	0	0.01	0.01	0.03	0.03	0
"fpt17"	2.86	1.29	1.24	2.63	0.16	0.16	0.1	0.04	0.06
"fpt18"	0.09	0	0	0.01	0	0	0	0	0
"fpt19"	4.6	47.83	29.73	16.71	29.59	32.43	36.52	45.33	14.54
"fpt20"	0	0.04	0.03	0.33	0.04	0.03	0.04	0.01	0.01
"fpt21"	0.17	0.21	0	0.09	0	0	0	0	0
"fpt22"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt23"	0.17	0.21	0	0.09	0	0	0	0	0
"fpt24"	0.09	0.23	0	0.19	0.01	0	0.01	0	0
"fpt25"	0	0.01	0	0.01	0	0.01	0	0	0
"fpt26"	0.01	0	0.01	0	0.01	0.01	0.03	0.03	0
"fpt27"	0.03	0.01	0.4	0.19	0.04	0.04	0.09	0.03	0.01
"fpt28"	28.09	0.47	0.41	3.23	0.11	0.09	0.1	0.07	0.64
"fpt29"	12.64	47.89	29.7	17.12	29.6	32.45	36.47	45.33	14.54
"fpt30"	4.65	41.04	24.95	11.27	15.45	14.49	9.78	34.05	12.67
"fpt31"	0.09	0	0	0.01	0	0	0	0	0
"fpt32"	0.01	0.11	0.23	0.41	0.46	1.1	1.17	0.39	0.37
"fpt33"	0.1	0.01	0.03	0.06	0.03	0.01	0.03	0.03	0
"fpt34"	0.09	0.01	0	0.01	0	0	0.01	0	0
"fpt35"	0.01	0	0.03	0	0.01	0.01	0.03	0.03	0
"fpt36"	11.81	47.86	29.75	17.85	29.69	32.72	36.63	45.54	14.56
"fpt37"	0.1	0.01	0.03	0.06	0.03	0.01	0.03	0.03	0
"fpt38"	12.6	38.86	20.26	7.07	9.97	11.4	6.85	27.77	10.41
"fpt39"	11.72	41.06	24.94	11.9	15.8	14.97	10.48	34.29	12.89
"fpt40"	0.06	0.11	0.16	0.1	0.01	0	0	0.01	0.01
"fpt41"	0.93	0.09	0.09	0.03	0.03	0.01	0.09	0.04	0
"fpt42"	60.16	38.86	20.26	10.72	9.97	11.39	6.86	27.76	37.01
"fpt43"	0.92	0.06	0.01	0	0.01	0.13	0.03	0.17	0
"fpt44"	0.09	0	0	0.01	0	0	0	0	0
"fpt45"	11.72	47.8	29.68	17.11	29.58	32.42	36.47	45.31	14.54
"fpt46"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt47"	0.09	0.31	0.36	0.39	0.43	1.06	1.06	0.33	0.36
"fpt48"	0.19	0.21	0.01	0.09	0.01	0.01	0.03	0.03	0
"fpt49"	27.9	0.37	0.06	2.86	0.06	0.04	0.07	0.03	0.63
"fpt50"	0.09	0	0	0.01	0	0	0	0	0
"fpt51"	0.09	0	0	0.01	0	0	0	0	0
"fpt52"	0.01	0	0.03	0.19	0.01	0.01	0.03	0	0.01
"fpt53"	82.51	0.4	0.46	7.2	0.13	0.07	0.09	0.06	27.24
"fpt54"	0.01	0.07	0.1	0.27	0.04	0.03	0.06	0.04	0
"fpt55"	0.99	0.33	0.84	0.49	0.86	1.57	1.79	0.63	0.59
"fpt56"	0.1	0	0	0.01	0	0	0	0	0
"fpt57"	0.01	0	0.01	0	0.01	0.01	0.03	0.03	0
"fpt58"	11.64	38.74	20.25	7.04	9.93	11.37	6.82	27.76	10.41
"fpt59"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt60"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt61"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt62"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt63"	0.01	0	0	0	0	0	0	0	0
"fpt64"	0.42	0.5	0.57	0.73	0.1	0.16	0.16	0.26	0.01
"fpt65"	0.92	0.1	0.01	0.03	0.04	0.04	0	0.01	0
"fpt66"	0.04	0	0	0	0.01	0	0.01	0	0
"fpt67"	0.01	0.01	0.21	0	0.4	1.06	1.09	0.34	0.36
"fpt68"	0.92	0.09	0.01	0.01	0.03	0.03	0	0.01	0
"fpt69"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt70"	0.1	0.21	0.01	0.07	0.01	0.01	0.03	0.03	0
"fpt71"	0.09	0	0	0.01	0	0	0	0	0
"fpt72"	4.6	36.53	24.76	10.66	15.12	14.72	9.98	33.88	12.73
"fpt73"	0	0.1	0	0.31	0.04	0.01	0.01	0.01	0
"fpt74"	0	0	0.03	0	0	0	0	0	0
"fpt75"	0	0.1	0	0.31	0.04	0.01	0.01	0.01	0
"fpt76"	0.06	0	0.04	0	0.03	0.03	0.07	0.03	0
"fpt77"	0.92	0.09	0.01	0.01	0.01	0.01	0	0.01	0
"fpt78"	0.13	0.21	0	0.07	0.03	0.01	0.01	0	0
"fpt79"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt80"	0.09	0.21	0.11	0.07	0.39	1.04	1.04	0.31	0.36
"fpt81"	0.07	0.11	0.17	0.11	0.03	0.01	0.03	0.04	0.01
"fpt82"	0.17	0.21	0	0.09	0	0	0	0	0
"fpt83"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt84"	0.09	0	0	0.01	0	0	0	0	0
"fpt85"	0.62	0.07	0.03	0.64	0.09	0.14	0.09	0.04	0.01
"fpt86"	32.5	41.4	24.61	14.15	15.12	13.6	8.75	33.91	12.94
"fpt87"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt88"	0.26	0.03	0	0.01	0	0	0	0.01	0
"fpt89"	0	0	0.11	0	0.39	1.04	1.04	0.31	0.36
"fpt90"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt91"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt92"	0.19	11.29	5.83	5.85	15.22	19.23	28.27	12.02	2.37
"fpt93"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt94"	0.09	0	0	0.01	0	0	0	0	0
"fpt95"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt96"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt97"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt98"	5.55	47.96	29.68	16.85	29.62	32.58	36.49	45.47	14.54
"fpt99"	0	0.06	0	0.21	0.03	0.01	0.01	0.01	0
