"ID"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"fpt1"	0.01	0.01	0	0	0	0
"fpt2"	0	0	0.01	0	0.26	0.14
"fpt3"	0	0	0.01	0	0.26	0.14
"fpt4"	0.03	0	0.01	0.01	0	0
"fpt5"	0.03	0	0.01	0.01	0	0
"fpt6"	0.03	0	0.01	0.01	0	0
"fpt7"	0.01	0.01	0.03	0.13	0.16	0.07
"fpt8"	27.53	43.87	30.04	16.13	36	36.07
"fpt9"	0.09	0.24	0.34	0.21	0.11	0.04
"fpt10"	34.55	7.44	5.49	2.12	1.87	3.85
"fpt11"	0.03	0	0.01	0.01	0	0
"fpt12"	0.01	0.01	0.01	0.04	0.06	0.04
"fpt13"	0	0	0.01	0	0.26	0.14
"fpt14"	0.64	0.77	1.44	0.37	1.29	1.92
"fpt15"	0.04	0.14	0.04	0.01	0.07	0.01
"fpt16"	0.03	0	0.01	0.01	0	0
"fpt17"	0	0	0.03	0	0.29	0.14
"fpt18"	4.66	5.01	0.6	0.66	3.13	0.82
"fpt19"	0.04	0	0.01	0.01	0	0
"fpt20"	11.84	39.66	28.71	16.37	34.57	35.68
"fpt21"	0.03	0.04	0.04	0.07	0.09	0.1
"fpt22"	0.11	0.24	0.37	0.23	0.37	0.19
"fpt23"	0.11	0.24	0.37	0.23	0.37	0.19
"fpt24"	0.04	0.14	0.04	0.01	0.07	0.01
"fpt25"	0.03	0	0	0.06	0	0
"fpt26"	0	0	0.03	0	0.29	0.14
"fpt27"	0.94	1.04	0.16	0.2	1.87	1.54
"fpt28"	15.91	4.24	1.97	1.33	2.17	1.79
"fpt29"	11.81	39.54	28.01	14.94	34.64	34.98
"fpt30"	11.89	39.54	25.45	15.32	22.29	15.35
"fpt31"	0.03	0	0.01	0.01	0	0
"fpt32"	0	0	0	0	0	0.03
"fpt33"	0.47	0.73	2.37	1.87	2.04	3.63
"fpt34"	0.03	0.01	0.04	0.03	0.37	0.14
"fpt35"	0.03	0	0.01	0.03	0	0
"fpt36"	0	0.01	0.03	0.01	0.3	0.17
"fpt37"	11.89	39.69	28.81	16.65	34.78	35.81
"fpt38"	0.03	0.01	0.04	0.03	0.37	0.14
"fpt39"	0	0	0.01	0	0.26	0.14
"fpt40"	6.9	30.74	19.84	9.12	15.88	10.76
"fpt41"	11.75	39.46	26.85	15.79	21.92	15.85
"fpt42"	0.1	0.43	0.11	0.01	0.39	0.21
"fpt43"	0.11	0.1	0.44	1.29	0.59	0.83
"fpt44"	41.4	37.77	23.47	10.64	16	18.39
"fpt45"	0.03	0	0.01	0.01	0	0
"fpt46"	11.81	39.54	28.01	14.94	34.64	34.98
"fpt47"	0.09	0.24	0.36	0.21	0.37	0.19
"fpt48"	0.76	1.19	2.29	0.92	2.23	3.15
"fpt49"	0.03	0	0.04	0.01	0.29	0.14
"fpt50"	15.04	3.44	2.54	2.69	0.54	1.1
"fpt51"	0	0	0	0	0	0.04
"fpt52"	0.03	0	0.01	0.01	0	0.03
"fpt53"	0.03	0	0.01	0.01	0	0
"fpt54"	0.01	0.03	0.03	0.03	0.03	0.07
"fpt55"	49.86	10.89	5.93	4.45	0.97	9
"fpt56"	0.3	0.4	0.09	0.1	0.71	0.79
"fpt57"	1.42	2.14	3.47	1.1	3.13	4.89
"fpt58"	0.03	0	0.01	0.01	0	0
"fpt59"	0	0	0	0.01	0.14	0.01
"fpt60"	0	0	0.03	0	0.29	0.14
"fpt61"	6.88	30.74	19.84	9.05	15.88	10.76
"fpt62"	0	0	0	0.01	0	0.01
"fpt63"	1.26	1.96	1.36	2.22	2.42	2.35
"fpt64"	0.03	0	0	0.06	0	0
"fpt65"	0.61	0.96	1.96	0.57	2.02	3.4
"fpt66"	0	0	0.03	0	0.29	0.14
"fpt67"	0.03	0	0.01	0.01	0	0
"fpt68"	11.51	39.24	26.05	13.76	20.29	15.03
"fpt69"	0.01	0.01	0.03	0.13	0.16	0.07
"fpt70"	0.01	0	0.01	0.03	0.26	0.17
"fpt71"	0.01	0.01	0.03	0.13	0.16	0.07
"fpt72"	0.01	0	0.03	0.04	0.44	0.2
"fpt73"	0	0	0	0	0	0.01
"fpt74"	0	0	0	0	0	0.01
"fpt75"	0.33	0.57	1.9	0.51	1.69	2.8
"fpt76"	0.1	0.43	0.13	0.01	0.41	0.17
"fpt77"	0.03	0	0.01	0.01	0	0
"fpt78"	0.03	0	0.01	0.01	0	0
"fpt79"	0.01	0.03	0.09	0.04	0.07	0.11
"fpt80"	25.81	41.46	25.31	16	19.69	12.23
"fpt81"	0	0	0.01	0	0.26	0.14
"fpt82"	0.03	0	0.01	0.01	0	0
"fpt83"	0.33	0.57	1.9	0.51	1.69	2.8
"fpt84"	0	0	0.01	0	0.26	0.14
"fpt85"	1.94	2.33	5.3	1.93	17.03	24.9
"fpt86"	0.09	0.24	0.34	0.21	0.11	0.04
"fpt87"	0.03	0	0.01	0.01	0	0
"fpt88"	0	0	0.01	0	0.26	0.14
"fpt89"	0	0	0.01	0	0.26	0.14
"fpt90"	11.84	39.59	28.3	15.29	34.4	35
"fpt91"	0.01	0.01	0.01	0.04	0.13	0.04
"fpt92"	0.09	0.24	0.36	0.21	0.37	0.19
"fpt93"	11.82	39.57	28.31	15.24	34.4	34.95
"fpt94"	0.96	1.14	3.3	0.86	3	4.35
"fpt95"	4.9	8.6	7.86	5.63	5.83	4.78
"fpt96"	0.11	0.07	0.06	0.1	0.29	0.14
"fpt97"	0.03	0	0.03	0.01	0.26	0.14
"fpt98"	1.5	2.16	3.49	1.04	3.09	4.88
"fpt99"	0.07	0.04	0.07	0.03	0.39	0.24
"fpt100"	0	0	0	0.01	0.14	0.01
"fpt101"	0	0	0.03	0	0.29	0.14
"fpt102"	0.1	0.43	0.11	0.01	0.39	0.17
"fpt103"	0.96	1.01	0.14	0.19	1.84	1.47
"fpt104"	0.17	0.27	0.4	0.34	0.46	0.23
"fpt105"	11.11	2.44	1.41	0.49	0.01	7.18
"fpt106"	0.03	0	0.01	0.01	0	0
"fpt107"	10.62	37.97	23.05	13.33	18.84	10.44
"fpt108"	0.43	0.43	0.34	0.5	1.27	0.21
"fpt109"	0.11	0.24	0.34	0.27	0.11	0.04
"fpt110"	0.01	0.01	0.06	0.14	0.59	0.26
"fpt111"	0.03	0	0.01	0.01	0	0
"fpt112"	0	0	0.01	0	0.26	0.14
"fpt113"	0	0	0.03	0	0.29	0.14
"fpt114"	0.1	0.09	0.04	0.13	0.39	0.19
"fpt115"	0.01	0.01	0.03	0.13	0.16	0.07
"fpt116"	11.51	38.87	23.21	13.51	20.7	12.04
"fpt117"	0.04	0	0.04	0.01	0.29	0.14
"fpt118"	0.04	0.01	0.03	0.06	0.06	0.09
"fpt119"	0	0	0	0.03	0.14	0.03
"fpt120"	0	0	0.01	0.01	0.26	0.14
"fpt121"	12.14	39.9	28.01	14.81	34.74	35.27
"fpt122"	0.03	0	0.01	0.01	0	0
"fpt123"	0	0	0.01	0	0.26	0.14
"fpt124"	0.01	0.03	0.03	0.01	0.03	0.06
"fpt125"	5.57	9.83	9.86	6.33	7.83	7.88
"fpt126"	0	0	0	0	0.07	0
"fpt127"	22.41	34.67	22.71	9.9	29.26	32.05
"fpt128"	15.58	42.97	27.98	14.84	35.45	34.94
"fpt129"	0.03	0	0.01	0.01	0	0
"fpt130"	0.04	0.14	0.04	0.01	0.07	0.01
"fpt131"	0.04	0.14	0.04	0.01	0.07	0.01
"fpt132"	0.03	0	0.01	0.01	0	0.04
"fpt133"	0.03	0	0.01	0.01	0	0
"fpt134"	0.03	0	0.01	0.01	0	0
"fpt135"	11.35	38.87	26.64	14.81	21.47	14.65
"fpt136"	0.06	0	0.03	0.07	0.26	0.14
"fpt137"	0	0	0.03	0	0.29	0.14
"fpt138"	0.09	0.24	0.34	0.21	0.11	0.09
"fpt139"	0.69	0.96	3.27	0.82	2.26	3.98
"fpt140"	0.01	0.01	0.03	0.13	0.16	0.07
"fpt141"	0	0	0.01	0	0.26	0.14
"fpt142"	0	0	0.01	0	0.26	0.14
"fpt143"	0.4	0.4	0.09	0.21	0.66	0.5
