"ID"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"fpt1"	0	0	0.01	0	0	0	0	0
"fpt2"	0	0	0.01	0	0	0	0.03	0
"fpt3"	0	0	0.01	0	0	0	0.03	0
"fpt4"	0	0	0.01	0	0	0	0.03	0
"fpt5"	0.16	0.01	0.03	0.06	0.03	0	0.09	0.01
"fpt6"	3.97	11.74	20.13	20.06	20.46	2.17	35.75	3.49
"fpt7"	0.01	0	0.01	0.03	0.01	0.01	0	0
"fpt8"	0.19	1.5	2.64	1.69	2.89	0.19	6.86	1
"fpt9"	0	0	0.03	0	0	0	0.03	0
"fpt10"	0.04	0	0.01	0.03	0	0	0.01	0
"fpt11"	0.19	0.46	1.47	0.41	0.26	0.1	0.49	1
"fpt12"	0.04	0	0	0.01	0	0	0.04	0.01
"fpt13"	0	0	0.01	0	0	0	0.03	0
"fpt14"	0.01	0	0	0	0	0	0	0
"fpt15"	0.26	0.07	0.1	0.31	0.17	0.01	0.26	0.03
"fpt16"	0	0	0.01	0	0	0	0.03	0
"fpt17"	3.79	11.45	19.03	19.53	18.97	2.17	16.52	3.23
"fpt18"	0.11	0.04	0.04	0.09	0.09	0	0.09	0.01
"fpt19"	0.01	0	0.03	0.03	0.01	0.01	0.03	0
"fpt20"	0.01	0	0.03	0.03	0.01	0.01	0.03	0
"fpt21"	0.04	0	0	0.01	0	0	0.04	0.01
"fpt22"	0	0	0	0	0.01	0	0	0
"fpt23"	0.01	0	0	0	0	0	0	0
"fpt24"	0.31	0.06	0.16	0.06	0.09	0.09	0.11	0.99
"fpt25"	0.53	0.33	1.14	0.33	1.5	0.11	19.13	1
"fpt26"	3.73	11.44	19.19	19.53	19.16	2.14	18.12	3.2
"fpt27"	3.52	5.09	4.96	15.21	17.36	1.91	7.78	2.26
"fpt28"	0	0	0.01	0	0	0	0.03	0
"fpt29"	0.46	1.19	1.39	1.53	0.87	0.24	0.69	1.09
"fpt30"	0.03	0	0.01	0	0	0	0.04	0
"fpt31"	0	0	0.01	0	0	0	0.03	0
"fpt32"	0.01	0	0	0	0	0	0	0
"fpt33"	3.84	11.58	19.33	19.83	19.46	2.17	18.28	3.23
"fpt34"	0.03	0	0.01	0.03	0.01	0	0.06	0
"fpt35"	1.91	4.19	5.29	9.16	13.27	1.64	6.62	1.53
"fpt36"	3.53	5.62	6.6	15.74	17.95	1.97	9.88	2.37
"fpt37"	0	0	0	0	0	0	0.03	0
"fpt38"	0.13	0.04	0.04	0.06	0.11	0.06	0.03	0.07
"fpt39"	1.97	4.59	6.64	9.47	15.49	1.64	14.55	1.54
"fpt40"	0	0	0.01	0	0	0	0.03	0
"fpt41"	3.72	11.44	19.19	19.53	19.15	2.14	18.12	3.2
"fpt42"	0.01	0	0.01	0.03	0.01	0.01	0	0
"fpt43"	0.4	1.12	1.4	1.47	0.69	0.2	0.63	1.24
"fpt44"	0.01	0	0.01	0	0	0	0.03	0
"fpt45"	0.19	0.34	1.03	0.34	1.57	0.06	19.01	0.04
"fpt46"	0	0	0.01	0	0	0	0.03	0
"fpt47"	0	0	0.01	0	0	0	0.03	0
"fpt48"	0.07	0.04	0.03	0.06	0.09	0	0.07	0.01
"fpt49"	0.36	0.83	2.69	0.76	4.16	0.04	28.59	0.29
"fpt50"	0.2	0.01	0.04	0.03	0.01	0.04	0.06	0.66
"fpt51"	0.59	1.57	2.86	1.86	0.94	0.29	1.17	2.24
"fpt52"	0	0	0.01	0	0	0	0.03	0
"fpt53"	0.01	0	0	0	0	0	0	0
"fpt54"	1.9	4.19	5.29	9.16	13.24	1.64	6.6	1.53
"fpt55"	0.54	0.11	0.26	0.19	0.2	0.13	0.23	1.03
"fpt56"	0.01	0	0	0	0.03	0	0	0
"fpt57"	0	0	0	0	0	0	0.01	0
"fpt58"	0.29	1.12	1.33	1.39	0.66	0.23	0.56	1.66
"fpt59"	0.01	0	0	0	0.01	0	0	0
"fpt60"	0.01	0	0	0	0	0	0	0
"fpt61"	0	0	0.01	0	0	0	0.03	0
"fpt62"	3.23	5.39	6.29	15.17	17.16	1.86	8.08	2.44
"fpt63"	0.13	0.01	0.03	0.06	0.01	0	0.06	0.01
"fpt64"	0.13	0.01	0.03	0.06	0.01	0	0.06	0.01
"fpt65"	0.01	0.01	0.03	0.04	0	0	0.03	0
"fpt66"	0.01	0	0	0	0.01	0	0	0
"fpt67"	0	0	0.04	0	0	0	0.01	0.01
"fpt68"	0	0	0.04	0	0	0	0	0.01
"fpt69"	0.17	1.1	1.3	1.39	0.66	0.19	0.56	1
"fpt70"	0.01	0	0	0	0	0	0.06	0
"fpt71"	0	0	0.01	0	0	0	0.03	0
"fpt72"	0	0	0.01	0	0	0	0.03	0
"fpt73"	0.03	0.06	0.06	0.21	0.13	0	0.13	0
"fpt74"	3.3	4.3	4.57	14.09	18.12	1.7	26.19	0.97
"fpt75"	0	0	0.01	0	0	0	0.03	0
"fpt76"	0.17	1.1	1.3	1.39	0.66	0.19	0.56	1
"fpt77"	0.94	7.51	15.58	6.06	2.47	0.57	9.52	3.2
"fpt78"	0.01	0	0.01	0.03	0.01	0.01	0	0
"fpt79"	0	0	0.01	0	0	0	0.03	0
"fpt80"	3.83	11.43	19.03	19.5	18.9	2.14	16.57	3.22
"fpt81"	0.06	0	0.01	0.03	0	0	0.06	0
"fpt82"	0.01	0	0.01	0.03	0.01	0.01	0	0
"fpt83"	3.82	11.43	19.05	19.5	18.89	2.14	16.6	3.22
"fpt84"	0.3	1.56	2.8	1.84	0.91	0.27	1.09	1.39
"fpt85"	1.46	1.77	2.69	6.86	4.76	0.33	3.69	0.5
"fpt86"	0.01	0.03	0.07	0.09	0.09	0	0.07	0.03
"fpt87"	0	0	0.01	0	0	0	0.03	0
"fpt88"	0.51	1.56	2.89	1.8	0.94	0.33	1.11	2.3
"fpt89"	0.13	0.04	0.06	0.06	0.09	0.03	0.1	0.06
"fpt90"	0.01	0	0	0	0	0	0	0
