"ID"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"fpt1"	0.01	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
"fpt2"	0.01	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
"fpt3"	0.01	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
"fpt4"	0	0	0	0.09	0	0	0	0.03	0	0	0	0	0.07	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0.03	0	0	0	0	0	0.01	0.06	0	0	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.03	0	0	0.01	0	0	0	0	0	0	0.03	0.03	0.01	0.03	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.03	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0.01
"fpt6"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.04	0.01	0	0.03	0	0	0	0	0	0	0	0	0	0	0
"fpt7"	0.01	0	0.01	0.13	0	0	0	0.09	0.03	0	0	0	0.04	0	0	0	0	1.37	0	0.89	0.01	0	0.01	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0.01	0.01	0.03	0	0	0	0	0.01	0	0.01	0	0.07	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0.01	0	0	0.01	0.06	0	0	0.03	0	0	0.01	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.03	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0.16	0	0	0	0	0	0	0.5	1.09	0.01	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.03	0	0.04	0.01	0.03	0.03	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0	0
"fpt8"	0.01	0	0.01	0.13	0	0	0	0.09	0.03	0	0	0	0.04	0	0	0	0	1.37	0	0.89	0.01	0	0.01	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0.01	0.01	0.03	0	0	0	0	0.01	0	0.01	0	0.07	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0.01	0	0	0.01	0.06	0	0	0.03	0	0	0.01	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.03	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0.16	0	0	0	0	0	0	0.5	1.09	0.01	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.03	0	0.04	0.01	0.03	0.03	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0	0
"fpt9"	0.01	0	0.09	0.01	0.11	0.1	0.03	0	0.04	0.2	0	0.01	0	0.11	0.06	0	0.06	0	0.03	0	0	0	0.01	0	0.06	0.01	0	0.07	0.04	0	0.01	0.04	0	0.32	0.09	0	0	0.03	0.03	0.04	0	0	0	0.07	0.09	0.11	0	0.09	0.04	0.01	0.16	0.03	0.11	0.01	0.04	0.01	0	0.01	0.26	0.33	0.01	0.16	0.11	0.09	0.01	0.01	0.1	0.14	0.01	0.13	0.24	0.01	0.07	0.03	0.07	0.09	0.04	0.17	0.09	0.14	0.07	0.09	0.06	0	0.11	0.03	0.06	0.04	0	0.04	0.13	0.03	0.01	0.17	0.01	0.1	0.01	0.17	0.1	0.39	0.03	0	0.04	0.1	0.09	0.01	0.01	0.01	0.03	0.03	0.04	0.03	0	0.03	0.21	0.03	0.04	0.01	0.11	0	0.01	0.01	0.03	0.01	0.01	0.01	0.03	0	0.06	0	0.01	0.06	0.04	0.06	0.09	0.07	0.16	0.04	0.03	0.04	0.04	0.13	0.2	0	0.04	0.01	0	0.07
"fpt10"	0.07	0.03	0.13	0.69	0.11	0.1	0.19	0.01	0.11	1.53	0.19	0.04	2.88	1.96	0.1	0	0.89	0	0.04	0	0.27	0.1	0.01	0.01	0.06	0.01	0.04	0.11	0.04	0	0.03	0.49	0.09	0.87	0.14	0.03	0	0.03	0.07	0.14	0	0.04	0	0.1	0.23	0.24	0.04	0.17	0.2	0.26	0.19	0.06	0.14	0.01	0.09	0.11	6.63	0.06	0.34	0.34	0.06	0.17	0.14	0.09	0.1	0.1	0.52	0.14	0.24	1.16	0.27	0.3	0.09	0.07	0.13	0.09	0.24	0.19	0.09	0.39	0.17	0.19	0.07	0	1.06	0.04	0.13	0.19	0.2	0.07	0.24	0.06	0.03	0.54	0.03	0.39	0.37	0.23	0.1	0.46	0.06	0	0.26	0.19	0.11	0.21	0.01	0.01	0.03	0.3	0.1	0.03	0.03	0.16	0.21	0.06	0.19	0.01	0.27	0	0.04	0.01	0.34	0.03	0.46	0.11	0.14	0.06	0.24	0.03	0.16	0.14	0.31	0.24	2.73	0.1	0.2	0.1	0.33	0.24	0.07	0.14	0.36	0	0.17	0.03	0.04	0.4
"fpt11"	45.68	51.69	31.98	45.67	20.02	30.59	39.23	93.6	76.31	35.27	30.28	38.31	75.77	42.49	41.01	30.92	45.6	75.61	24.36	52.89	43.54	45.18	53.22	50.24	39.08	55.66	50.51	35.02	54.43	92.34	80.57	29.7	43.6	46.95	87.05	47.82	36.15	41.81	42.76	36.41	53.31	59.67	61.95	74.99	30.85	59.19	84.76	49.59	44.25	30.97	57.15	96.06	60.67	76.62	79.99	42.82	55.55	83.84	43.44	55.24	64.46	53.33	35.56	56.05	42.73	66.08	46.39	51.97	25.29	37.21	44.63	53.27	52.19	31.71	44.63	65.5	44.98	39.53	45.16	40.25	37.74	55.99	46.89	37.54	47.32	29.64	26.05	38.23	28.82	76.73	41.86	44.25	46.16	40.05	49.14	48.51	74.95	44.55	28.27	53.7	42.51	64.35	50.94	44.57	79.21	44.67	34.86	85.83	33.16	46.19	36.06	42.26	94.94	56.74	34.95	21.79	56.63	71.2	39.7	90.14	32.82	65.26	28.38	73.16	36.53	60.21	26.58	50.44	37.66	42.23	43.81	33.74	50.09	64.71	51.52	73.33	37.4	23.75	42.21	29.48	28.76	43.18	47.66	87.8	45.82	17.69	68.34	43.17
"fpt12"	1.87	0.7	0.61	0.97	2.83	2.09	0.86	0.52	0.77	0.46	0.74	0.76	3.32	1.8	2.77	9.92	0.77	1.72	0.69	3.54	1.31	2.46	3.19	1.3	2.84	1.13	0.46	2.77	1.61	0.11	0.46	0.54	1.2	1.61	0.06	1.14	2.84	2.29	3.26	2.74	1.64	1.29	0.73	0.4	2.44	2.43	1.03	1.8	33	16.76	2.52	0.23	2.86	2.92	0.47	0.9	6.66	2.24	2.32	4.55	6.17	2.96	5	9.64	1.74	0.76	9.03	1.11	9.34	2.32	2.6	6.96	2.19	5.38	1.2	1.1	5.34	4.03	0.8	1.51	2.26	1.89	1.06	5.53	2.04	1.59	4.8	1.84	9.1	1.8	2.83	0.87	2.14	1.52	1.87	1.39	51.33	3.09	0.56	2.3	1.83	0.97	1.92	4.29	1.1	11.34	1.31	0.16	2.72	7.51	1.1	2.69	0.09	1.07	1.62	3.11	1.26	1.13	2.95	0.16	2.24	1.76	9.64	0.9	2.3	0.9	7.62	4.96	7.52	0.69	1.06	3.34	3.03	1.52	2.27	0.87	5.12	11.52	4.8	7.59	0.4	2.65	6.25	1.77	2.26	5.97	2.76	5.48
"fpt13"	0	0	0.01	0	0.03	0	0.03	0	0	0	0.01	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.04	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0.04	0.01	9.9	0	0	0	0.17	0	0	0.06	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0.07	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt14"	0	0	0.01	0	0.03	0	0.03	0	0	0	0.01	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.04	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0.04	0.01	9.9	0	0	0	0.17	0	0	0.06	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0.07	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt15"	10.36	0.17	3.17	4.6	0.03	0.19	0.06	47.26	23.43	0	0.23	4.44	13.68	0	0	0.03	0	31.13	0	12.79	2.87	0.03	0.01	1.31	0.03	8.6	2.2	0.6	8.74	0	6.56	0	0.04	0.01	0	0.01	2.74	0	3.56	0	3.99	0	18	1.32	0.13	8.08	0.01	0.57	0.01	0	1.89	0	3.43	0.4	33.98	0	0.01	0	0.4	2.88	1.34	0.7	0	0.03	1.51	0	0.01	1.3	0.06	0	0.69	1.98	0	0.29	0.09	0.29	0.69	1.23	0.14	0.07	0.63	0	0	0.01	0.19	0	0.21	0.04	0	0	0	0.04	8.23	0	0.11	0.26	0.04	0	0.01	2.4	0	2.21	2.4	0.51	2.1	0.07	0.04	0	0.21	0.01	0	0	0	0.03	0	0.74	8.3	3.67	0	0	0	0	0	2.11	0.77	2.57	1.62	22.29	0.49	0.99	1.69	0.01	0	7.64	0	6.02	0.19	0.06	0.06	0.09	0	3.66	3.15	0.21	4.65	1.87	0	0.01
