index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
2,NR_025514.1,1,1518,3,1478,97.365,2.73518,15.8,32.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,2.7351778656126484,0.6191524082684787,0.2263664151617415,0.18
3,NR_025525.1,1,1475,5,1447,98.1017,4.40949,34.5,41.4,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,4.409491525423729,0.8586170756875208,0.19472020089776956,0.3
4,NR_025567.1,1,1498,2,1449,96.729,1.93324,42.6,1.0,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.9332443257676903,0.35749857647578187,0.1849215702903043,0.12
5,NR_025796.1,1,1435,1,1306,91.0105,0.910105,21.7,8.0,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.9101045296167247,0.28613166196363793,0.3143942840105823,0.06
6,NR_025948.1,1,1439,2,1410,97.9847,1.88603,37.3,7.5,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,1.8860319666435024,0.3760097601505395,0.1993655286870399,0.12
7,NR_025981.1,1,1477,2,1362,92.2139,1.79553,32.8,21.0,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.7955314827352742,0.5644447758674898,0.3143608348251442,0.12
8,NR_026229.1,1,1504,1,1392,92.5532,0.925532,18.5,1.0,39950,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister pneumosintes,0.925531914893617,0.262618442015313,0.2837486614878094,0.06
9,NR_028726.1,1,1502,1,1309,87.1505,0.871505,14.7,1.0,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.8715046604527297,0.3347519883671702,0.38410808749235265,0.06
10,NR_029097.1,1,1374,36,1322,96.2154,33.3079,37.0,2.36,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,33.30786026200873,7.282799333994825,0.21865107144999216,2.2
11,NR_029207.1,1,1426,1,1322,92.7069,0.927069,24.7,1.0,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.9270687237026648,0.26011488320878684,0.28057777871083966,0.06
