"Taxa"	"W1"	"C1"	"W2"	"C2"	"C3"	"W4"	"C4"	"W6"	"C6"	"W7"	"C7"	"C8"	"W9"	"W10"	"C10"	"C29"	"C30"	"W33"	"C38"	"C39"	"W42"	"C42"	"W43"	"C43"	"C46"	"C48"	"C51"	"W52"	"C52"	"W54"	"C55"	"W57"	"C59"	"W60"	"C61"	"W63"	"C65"	"W68"	"C68"	"W73"	"C74"	"C75"	"C77"	"C82"	"W83"	"W84"	"W85"	"C86"	"W87"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"W93"	"W94"	"W95"	"C95"	"W96"	"W97"	"C99"	"W100"	"W101"	"C103"	"W104"	"C105"	"C106"	"W107"	"C107"	"W108"	"C108"	"W109"	"W111"	"C111"	"W112"	"C113"	"W114"	"C114"	"C116"	"C117"	"C118"	"C119"	"W120"	"C120"	"W121"	"C121"	"W122"	"W123"	"C123"	"C125"	"W126"	"W127"	"C128"	"C129"	"C137"	"W139"	"W140"	"C141"	"C142"	"C143"	"W144"	"C144"	"W150"	"C151"	"W152"	"C152"	"W153"	"W154"	"C154"	"C156"	"C157"	"C159"	"W164"	"W170"	"C174"	"C177"	"C178"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"C200"	"C201"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"	"C416"
"animal_parasites_or_symbionts"	0.238577537699752	0.325037226122102	0.219088411184742	0.359913793103448	0.298535263737194	0.253651037663336	0.448736520199581	0.303607214428858	0.327511703276917	0.156864683206484	0.268388791593695	0.273308045518067	0.220043972150971	0.175131696650432	0.331204857112949	0.329520776024323	0.163129024564751	0.27582065652522	0.357876905702993	0.271091515729266	0.352813852813853	0.402161327672713	0.250595321473596	0.342767594263463	0.297412090082971	0.350098897993783	0.271921017402945	0.349038764576111	0.271839209521671	0.273353890803555	0.305318671454219	0.3298047518231	0.328917657684781	0.259167900016445	0.265645933014354	0.290891840607211	0.368686232522988	0.261831647398844	0.290663698344233	0.325115562403698	0.53106821787414	0.498050259965338	0.13297998576062	0.284533648170012	0.324006195147135	0.416723783413297	0.325868123293016	0.309645286686103	0.39160741670152	0.611372318542462	0.281642587939698	0.26379188176941	0.25516456582633	0.326480059450087	0.284709307026765	0.174063138769021	0.339657369389778	0.413741374137414	0.221291037539825	0.343251284825534	0.324444444444444	0.321438890494077	0.324552160168599	0.380053908355795	0.192340668762504	0.221341148077918	0.430039977155911	0.372777147181233	0.363809523809524	0.336705942622951	0.309716599190283	0.280057595392369	0.334386007530669	0.389819831170467	0.296291808046534	0.415002935995302	0.262497812518229	0.342716668273402	0.14060785767235	0.257352299502574	0.411734497368083	0.178818871659518	0.328276443320691	0.475524475524475	0.186728085987048	0.15918563642193	0.269041450777202	0.352037169406719	0.359518132764462	0.600401354571679	0.520673813169985	0.122246138262851	0.111320871502847	0.298958333333333	0.244620986428335	0.537303664921466	0.261355081555834	0.288150807899461	0.201294105752704	0.171578258022266	0.142635370094387	0.211361434108527	0.304611085235212	0.199887939487323	0.177785923753666	0.168438924135466	0.141871385214453	0.0862937253300667	0.264783359069852	0.352389734132473	0.237073707370737	0.536901744446101	0.315474984808588	0.332018927444795	0.0559536580133019	0.718608529902311	0.707252358490566	0.814674735249622	0.14180661830468	0.130946542422756	0.153491171749599	0.194788460161787	0.212819376753803	0.194279304542905	0.712606139777923	0.356613295121799	0.202012940330697	0.277843793885708	0.21899184271073	0.12784443525031	0.06088467791669	0.167347892093892	0.123944288042673	0.164682093911481	0.246421453161805	0.279093255526877	0.258064516129032	0.170652042421065
"chemoheterotrophy"	0.174319153724961	0.188151457136779	0.155648941328592	0.185179045092838	0.147320294640589	0.164200614911606	0.132142282311283	0.19873079492318	0.212459488656824	0.238114065434417	0.202057793345009	0.215711718905969	0.164620740197875	0.203160719610377	0.188108447608081	0.176053279281888	0.241831624135464	0.212836936215639	0.183738001129305	0.214847473784557	0.18037518037518	0.174160555769973	0.174254097212495	0.19878431000095	0.219280916633742	0.198926250353207	0.198460508701473	0.175543649543019	0.227487087356838	0.207146744059496	0.195915619389587	0.186309103740296	0.168899593557128	0.155319848709094	0.228133971291866	0.184250474383302	0.1817609270689	0.172145953757225	0.219423959927647	0.178736517719569	0.142252776308831	0.150346620450607	0.137449568863223	0.217827626918536	0.191843056272586	0.154672149874343	0.180101443620757	0.146744412050534	0.147776383660951	0.120775786071114	0.182553391959799	0.204271687417755	0.196078431372549	0.19011642308645	0.188485485566427	0.169384510560981	0.151918448251451	0.157815781578158	0.187283557279402	0.157019204760617	0.164698412698413	0.209621496677261	0.163931958452506	0.143261455525606	0.260741164142136	0.19634545767971	0.175042832667047	0.171963677639046	0.156984126984127	0.178790983606557	0.159196067090804	0.205363570914327	0.169925907931495	0.163033891898702	0.213160445952496	0.148120963006459	0.1729568920259	0.197339246119734	0.166523350630096	0.198795706431626	0.164976248555655	0.166611679313758	0.158786346396966	0.127386127386127	0.208024567728153	0.169485411991023	0.219948186528497	0.16976411722659	0.149454134772242	0.107738617835194	0.147013782542113	0.224170676120537	0.144126021292399	0.207161458333333	0.217808672624959	0.146924083769633	0.226348808030113	0.174645920606423	0.217874835709231	0.223594349331088	0.221746150024839	0.226986434108527	0.210176991150442	0.226502311248074	0.167626728110599	0.187025288178	0.148972112466358	0.257588131210018	0.164410936506495	0.199323805132934	0.223322332233223	0.132548084091248	0.199311322665586	0.192654348805768	0.229821926625188	0.0898260662377889	0.0846108490566038	0.0617750882501261	0.22587697505714	0.229606016020925	0.235955056179775	0.227790106664757	0.227735932653965	0.199551318003365	0.0783801436969301	0.101489003800386	0.2215672178289	0.164956249324835	0.188977201422297	0.142199276861362	0.12967427257947	0.219198878897583	0.172321825455623	0.239272073691305	0.208371081717702	0.187296599708226	0.189516129032258	0.161175853865075
"fermentation"	0.17026783704704	0.183684322484578	0.153951834491676	0.17987400530504	0.141901617136568	0.160837817063797	0.126347980041848	0.195056780227121	0.209398631616853	0.23514875951369	0.196256567425569	0.21151926532242	0.162238915353609	0.196103767021171	0.180152831571234	0.166642536557116	0.225017886954448	0.193087803576194	0.173348390739695	0.208055290753098	0.175633889919604	0.169046700115785	0.172713265163188	0.193940545160984	0.217206637692612	0.192709805029669	0.190261044176707	0.172392057989285	0.222322030092073	0.205151460185017	0.185255834829443	0.183015760997412	0.164082492849616	0.153346489064299	0.214736842105263	0.181783681214421	0.174581181509006	0.167810693641618	0.212466954222902	0.153398390686526	0.138286620835537	0.144064124783362	0.136025630883633	0.201062573789847	0.188435725348477	0.151245145076536	0.178072571205618	0.143343051506317	0.144988150006971	0.116514839847194	0.175094221105528	0.200020244964065	0.190388655462185	0.182065890512757	0.182582679712137	0.165296388825801	0.146963046863939	0.152715271527153	0.184097520432193	0.148634027589938	0.136380952380952	0.204276220745449	0.158512720156556	0.140566037735849	0.246260836429456	0.191691087743492	0.170616790405482	0.166666666666667	0.149365079365079	0.176229508196721	0.149219201850781	0.201223902087833	0.16385278756225	0.157868212170845	0.209888511875909	0.145184967704052	0.170098582511812	0.192326231562711	0.162727946627131	0.196526747534689	0.159455642572859	0.165085780270538	0.155246523388116	0.124362124362124	0.205754723279258	0.166760179544726	0.212953367875648	0.164403145103645	0.146191492031622	0.102470839081901	0.142141166643464	0.096923271714358	0.122493191384006	0.202864583333333	0.215491559086395	0.142997382198953	0.222961104140527	0.166965888689407	0.210999898897988	0.215361586677893	0.183681073025335	0.222625968992248	0.207964601769911	0.222019890741	0.16034771679933	0.184076490036637	0.145421748840406	0.252892337008303	0.161776728131529	0.192869217765483	0.221672167216722	0.125838676010139	0.19242454932145	0.170121676430825	0.227247371808625	0.08506075768406	0.0804834905660377	0.0532022188603126	0.220808903905396	0.220287722739905	0.232945425361156	0.122843439043596	0.213114754098361	0.192148065058889	0.0664053995210103	0.0975017132888917	0.215815959741193	0.155341903424436	0.186467266262288	0.119263909625659	0.124166059314907	0.21616255985052	0.169062083271596	0.234329364187823	0.19586881681464	0.180226686118281	0.175291218637993	0.159764506633332
"anaerobic_chemoheterotrophy"	0.167454422687373	0.179004467134652	0.143607564247616	0.177387267904509	0.137160274320549	0.160837817063797	0.12345082890713	0.194722778891115	0.206697875405113	0.23514875951369	0.190893169877408	0.211119984028748	0.162147306705753	0.195010436338336	0.180152831571234	0.166497755899812	0.222752206057715	0.192954363490793	0.172896668548843	0.207697807435653	0.173675530818388	0.168081821690467	0.158005322874352	0.193275714692753	0.216317661003556	0.191579542243572	0.188922356091031	0.171446580523164	0.222209746238491	0.204607291855614	0.184582585278276	0.180663373323924	0.163931958452506	0.146521953626048	0.214354066985646	0.181783681214421	0.173447537473233	0.167630057803468	0.212466954222902	0.153398390686526	0.137890005288207	0.144064124783362	0.134878569733407	0.20047225501771	0.186680433660299	0.151245145076536	0.170425282871635	0.138969873663751	0.140387564477903	0.116220981486923	0.167792085427136	0.198501872659176	0.18312324929972	0.180703492692594	0.177326756691194	0.137633431751079	0.14186606257964	0.152115211521152	0.178695110126056	0.147281579659183	0.132571428571429	0.203987286911297	0.155351497817251	0.138679245283019	0.239592264456511	0.19048439924151	0.170188463735008	0.166288308740068	0.148412698412698	0.17046618852459	0.14893001735107	0.199784017278618	0.163731325154865	0.156986266851455	0.206980126030053	0.141808573106283	0.152015399871668	0.191554998553938	0.15240919199407	0.192686970939873	0.157401463602516	0.161497855493237	0.152212389380531	0.118881118881119	0.20441952066226	0.161870791920487	0.209844559585492	0.164045746962116	0.14531308821684	0.101969145867302	0.142141166643464	0.092301848569258	0.0648365932161426	0.201822916666667	0.209533267130089	0.140706806282722	0.219824341279799	0.166866148015161	0.196744515215853	0.214800261951539	0.183556880278192	0.222262596899225	0.207731718677224	0.220058831769155	0.146679932970256	0.182110624609061	0.138779133024108	0.252143732135565	0.160595876101372	0.192869217765483	0.221672167216722	0.125242284180707	0.19232327324286	0.169558359621451	0.227247371808625	0.0845842268286871	0.0769457547169811	0.0524457892082703	0.22051078207294	0.220042504495668	0.230638041733547	0.120839000644284	0.213114754098361	0.189007291082445	0.0664053995210103	0.0973771104604075	0.215384615384615	0.153937560764827	0.185212298682284	0.00534259142666979	0.0600437293266805	0.215228307836039	0.132241813602015	0.23275668389126	0.190614241710455	0.169341263606778	0.163082437275986	0.152788418887858
"human_associated"	0.0729237002025658	0.024781961284833	0.0753192177145628	0.0240384615384615	0.0626534586402506	0.0735011529592621	0.034926766457428	0.0263861055444222	0.00828231904933381	0.0363744192942572	0.0351357267950963	0.0256538231183869	0.077867350677904	0.0652022661763244	0.0372657803831257	0.045605907050818	0.0342237061769616	0.0314918601547905	0.0284584980237154	0.0290753098188751	0.0301999587713873	0.0219027402547279	0.0603726012046505	0.0182353499857536	0.0132358751481628	0.0167655646604502	0.0304551539491299	0.0397100535770564	0.0132494947226589	0.0290223109015055	0.0346723518850987	0.0324629498941425	0.0541923829595062	0.0856766979115277	0.0181818181818182	0.0462998102466793	0.0236805643028089	0.0735187861271676	0.0179490747182413	0.0496490326998802	0.0136171337916446	0.0179809358752166	0.0353611264931572	0.0227863046044864	0.0284976768198245	0.0399817226410784	0.0235661334373781	0.0756802721088435	0.0440540917328872	0.00719952982662356	0.0448335427135678	0.0373519587002733	0.0381652661064426	0.0279910824869953	0.0422899652300477	0.0912105382693618	0.0571994903015716	0.0357035703570357	0.0571408782379831	0.060589667297809	0.0614603174603174	0.0167581623808148	0.0541923829595063	0.0599730458221024	0.00628751071734781	0.0596448888122737	0.0144203312392918	0.0348089292470677	0.0557142857142857	0.0303534836065574	0.0702718334297282	0.0316774658027358	0.0506498238795093	0.0294821721053294	0.0151478429471643	0.0424251321197886	0.0482995975033541	0.0196664417237058	0.0870274277242402	0.0355179335020508	0.0259340095005777	0.0780682942923128	0.05149599662874	0.0451710451710452	0.0387208758929167	0.0763866623917922	0.0194300518134715	0.0405646890636168	0.0612372945162504	0.0205694217985702	0.0123903661422804	0.0285515320334262	0.0867170091606834	0.0248697916666667	0.0246055390047446	0.00359947643979058	0.0168130489335006	0.0580490724117295	0.0338691739965625	0.0482739264664608	0.06824391455539	0.035125968992248	0.0216581276199348	0.0358593640565906	0.071585672392124	0.0726476633008668	0.0973200481017008	0.0318497345855451	0.0432373512580616	0.0184416781927155	0.0261276127612761	0.0207246160727598	0.0302815474984809	0.0351509689049121	0.0396910534220124	0.00452704312604241	0.00943396226415094	0.00252143217347453	0.0502832157408327	0.0558280202713749	0.0410313001605136	0.0511847662681652	0.0361837247083149	0.0447560291643298	0.0172000870890486	0.0807426328577659	0.0450035945363048	0.0674084476612293	0.047688768040159	0.122897591336727	0.0593569546448394	0.054653742847133	0.0647503333827234	0.0372949898899124	0.0404058706287371	0.0457861070586915	0.0574596774193548	0.0723416266784951
"human_gut"	0.0703353589916723	0.0208466283769411	0.0742686277679004	0.021551724137931	0.0466514266361866	0.0732129131437356	0.0222114920328344	0.0190380761523046	0.00828231904933381	0.0357813581101117	0.0346978984238178	0.0254541824715512	0.077867350677904	0.0649040850810058	0.0372657803831257	0.0432894165339511	0.0275459098497496	0.0261542567387243	0.0224731789949181	0.0283603431839848	0.025974025974026	0.0203589347742184	0.0577111640285754	0.0179504226422262	0.0126432240221256	0.0165771875294339	0.0272757697456493	0.0375039394894422	0.0130249270154952	0.0263014692544894	0.0306328545780969	0.0303458009880028	0.050880626223092	0.0785232691991449	0.0130143540669856	0.0400379506641366	0.0195238695049754	0.0721640173410405	0.0178099346041464	0.0395480225988701	0.013088313061872	0.0179809358752166	0.00711968989795111	0.0224321133412042	0.0264326277749096	0.0356408498971899	0.0184939523995318	0.0749514091350826	0.0387564477903248	0.00484866294446077	0.0367462311557789	0.0366433849579917	0.032563025210084	0.0255139955412435	0.0387321096466402	0.0848966613672496	0.0495540138751239	0.0351035103510351	0.0405873389666159	0.0562618339193941	0.058031746031746	0.013435423288067	0.0498268854433238	0.0533692722371968	0.00543012289225493	0.0574038958800207	0.0137064534551685	0.0314037079076807	0.0552380952380952	0.0239497950819672	0.0698380566801619	0.0274478041756659	0.0484635005465808	0.0200327579690059	0.01308773630635	0.0424251321197886	0.0418246514612378	0.01841318808445	0.0567234988880653	0.0232131948686622	0.0198998587751958	0.0532827449686572	0.034976822587442	0.0444150444150444	0.0261032111622939	0.0442048733568451	0.0177461139896373	0.039313795568263	0.0537081189609738	0.0156779129562273	0.0115550605596547	0.019815143074196	0.062917801435999	0.02265625	0.0223987642061128	0.00359947643979058	0.0164366373902133	0.0443846000398963	0.0322515418056819	0.0413509215080924	0.0667536015896672	0.0337936046511628	0.0213088029809036	0.0354391371340524	0.0430980310012568	0.07202216066482	0.0539426215426903	0.0305566898053627	0.0221636842583341	0.0178269555862917	0.0137513751375137	0.00730579991054122	0.0302815474984809	0.034812978819288	0.0396910534220124	0.00214438884917798	0.00854952830188679	0.00252143217347453	0.0500844678525291	0.0552558443681543	0.040529695024077	0.0268451571336531	0.0354452813469207	0.0391475042063937	0.0134988025255824	0.0520216808921563	0.0450035945363048	0.0624392351733823	0.0451788328801506	0.112392293716609	0.0525032236362617	0.0539530538362724	0.0463772410727515	0.0361716468209391	0.0398622938938213	0.0455616653574234	0.0560035842293907	0.0425420379854026
"mammal_gut"	0.0703353589916723	0.0208466283769411	0.0742686277679004	0.021551724137931	0.0466514266361866	0.0732129131437356	0.0222114920328344	0.0190380761523046	0.00828231904933381	0.0357813581101117	0.0346978984238178	0.0254541824715512	0.077867350677904	0.0649040850810058	0.0372657803831257	0.0432894165339511	0.0275459098497496	0.0261542567387243	0.0224731789949181	0.0283603431839848	0.025974025974026	0.0203589347742184	0.0577111640285754	0.0179504226422262	0.0126432240221256	0.0165771875294339	0.0272757697456493	0.0375039394894422	0.0130249270154952	0.0263014692544894	0.0306328545780969	0.0303458009880028	0.050880626223092	0.0785232691991449	0.0130143540669856	0.0400379506641366	0.0195238695049754	0.0721640173410405	0.0178099346041464	0.0395480225988701	0.013088313061872	0.0179809358752166	0.00711968989795111	0.0224321133412042	0.0264326277749096	0.0356408498971899	0.0184939523995318	0.0749514091350826	0.0387564477903248	0.00484866294446077	0.0367462311557789	0.0366433849579917	0.032563025210084	0.0255139955412435	0.0387321096466402	0.0848966613672496	0.0495540138751239	0.0351035103510351	0.0405873389666159	0.0562618339193941	0.058031746031746	0.013435423288067	0.0498268854433238	0.0533692722371968	0.00543012289225493	0.0574038958800207	0.0137064534551685	0.0314037079076807	0.0552380952380952	0.0239497950819672	0.0698380566801619	0.0274478041756659	0.0484635005465808	0.0200327579690059	0.01308773630635	0.0424251321197886	0.0418246514612378	0.01841318808445	0.0567234988880653	0.0232131948686622	0.0198998587751958	0.0532827449686572	0.034976822587442	0.0444150444150444	0.0261032111622939	0.0442048733568451	0.0177461139896373	0.039313795568263	0.0537081189609738	0.0156779129562273	0.0115550605596547	0.019815143074196	0.062917801435999	0.02265625	0.0223987642061128	0.00359947643979058	0.0164366373902133	0.0443846000398963	0.0322515418056819	0.0413509215080924	0.0667536015896672	0.0337936046511628	0.0213088029809036	0.0354391371340524	0.0430980310012568	0.07202216066482	0.0539426215426903	0.0305566898053627	0.0221636842583341	0.0178269555862917	0.0137513751375137	0.00730579991054122	0.0302815474984809	0.034812978819288	0.0396910534220124	0.00214438884917798	0.00854952830188679	0.00252143217347453	0.0500844678525291	0.0552558443681543	0.040529695024077	0.0268451571336531	0.0354452813469207	0.0391475042063937	0.0134988025255824	0.0520216808921563	0.0450035945363048	0.0624392351733823	0.0451788328801506	0.112392293716609	0.0525032236362617	0.0539530538362724	0.0463772410727515	0.0361716468209391	0.0398622938938213	0.0455616653574234	0.0560035842293907	0.0425420379854026
"aerobic_chemoheterotrophy"	0.00686473103758721	0.0091469900021272	0.012122191692258	0.00779177718832891	0.0100753534840403	0.00326671790930054	0.00885240624497022	0.00434201736806947	0.00558156283759452	0.00296530592072749	0.0111646234676007	0.004591734877221	0.00247343349212166	0.00815028327204055	0.00795561603684706	0.00955552338207616	0.0189601717147627	0.0198825727248465	0.010841332580463	0.00714966634890372	0.00669964955679241	0.00607873407950598	0.0162487743381426	0.00550859530819641	0.0029632556301857	0.00734670810963549	0.00953815261044177	0.00409706901985503	0.00527734111834718	0.00253945220388173	0.0113330341113106	0.00564573041637262	0.0049676351046214	0.00888011840157869	0.0137799043062201	0.00246679316888045	0.00831338959566696	0.00451589595375722	0.00695700570474467	0.0253381270330423	0.00436277102062401	0.00628249566724437	0.00257099912981568	0.0173553719008264	0.00516262261228704	0.00365547178432716	0.00967616074912212	0.0076530612244898	0.00738881918304754	0.00470173376432559	0.0147613065326633	0.00566858993825286	0.0129551820728291	0.00941293039385683	0.0111587288752325	0.0317510788099023	0.00991080277502477	0.0057005700570057	0.00858844715334534	0.00973762510143359	0.0321269841269841	0.00563420976596359	0.0087309950323649	0.0045822102425876	0.0211488996856245	0.00586105843820031	0.0049971444888635	0.00576995838062807	0.00857142857142857	0.00832479508196721	0.0104106419895894	0.00557955363570914	0.00631604518401555	0.00617361723573138	0.00630150266602036	0.00631238990017616	0.020941492154232	0.00578424756579582	0.0141141586360267	0.0061087354917532	0.00757478495313904	0.00507258330583966	0.00657395701643489	0.00831600831600831	0.0036718071967421	0.00761462007053543	0.0101036269430052	0.00571837026447462	0.00414104655540218	0.00576947196789163	0.00473339830154531	0.131805520384908	0.0792894280762565	0.00520833333333333	0.00827540549486925	0.00621727748691099	0.00652446675031367	0.00777977259126272	0.0211303204933778	0.00879408737954907	0.038127173373075	0.00472383720930232	0.00232883092687471	0.00644347947891862	0.0209467951403435	0.00500402108837459	0.0101929794422493	0.00544439907445216	0.00381506040512308	0.00645458736745044	0.00165016501650165	0.00730579991054122	0.00708932550131659	0.0230959891843172	0.00257455481656297	0.0050035739814153	0.00766509433962264	0.00932929904185577	0.00536619298419954	0.00956351152525748	0.00541733547351525	0.106951106020474	0.0144734898833259	0.0105440269209198	0.0119747441759199	0.00417419475422092	0.00618260244428469	0.0110186885600086	0.00376490274001255	0.136838696911371	0.0696445590626226	0.00385378955973374	0.040005926803971	0.00651538980004493	0.0177568400072477	0.0179553361014476	0.0264336917562724	0.00842775918383806
"human_pathogens_all"	0.004163853252307	0.00563709848968305	0.0197187651527396	0.0036472148541114	0.0306493946321226	0.00259415833973866	0.0243038789634637	0.0130260521042084	0.00072020165646381	0.00602945537214589	0.00175131348511383	0.000898382910760631	0.00128252106998901	0.00506907862041546	0	0.00231649051686695	0.0110899117576914	0.00627168401387777	0.00914737436476567	0.00131077216396568	0.00474129045557617	0.00183326900810498	0.00658355511976467	0.000284927343527401	0.000691426313709996	0.000376754262032589	0.00359772423025435	0.00315159155373464	0.000336851560745565	0.00653001995283874	0.00437612208258528	0.00258762644083745	0.00316122233930453	0.0124979444170367	0.00516746411483254	0.00683111954459203	0.00466053659151027	0.00144508670520231	0.000139140114094893	0.0102722136620442	0.00118984664198837	0	0.0282414365952061	0.00106257378984652	0.00340733092410945	0.00434087274388851	0.00686695278969957	0.00267249757045675	0.00557646730796041	0.00337937114310902	0.0109924623115578	0.00172082194554105	0.0126925770308123	0.00396333911320287	0.00824775612517183	0.0080399727458551	0.0109018830525273	0.0003000300030003	0.0186313893891121	0.00500405734379226	0.00431746031746032	0.00346720600982375	0.00587084148727984	0.00754716981132075	0.00142897970848814	0.00293052921910016	0.00185608223872073	0.0065266742338252	0.000476190476190476	0.0122950819672131	0.000433776749566223	0.005849532037437	0.00267217296246812	0.0217966486077863	0.00351429956374212	0.000146799765120376	0.00927492270897742	0.00134965776535236	0.0455448480355819	0.024958547866306	0.010270894851714	0.0468904651930056	0.030425621576064	0.000756000756000756	0.0221643634421523	0.0537031099711446	0.00284974093264249	0.00160829163688349	0.00778014807378592	0.0102847108992851	0.000974523179729918	0.00911623195745758	0.0348786828422877	0.003515625	0.00761337305527971	0.000327225130890052	0.00213299874529485	0.0137642130460802	0.00626832473966232	0.00767143792684068	0.00608544461003478	0.00157461240310077	0.000465766185374942	0.000840453845076341	0.0573942186845413	0.00205522294701099	0.0811143560671134	0.0018374846876276	0.0249795621764011	0.000614722606423851	0.0137513751375137	0.0147606977784404	0	0.000337990085624155	0.00841021240077237	0.00238265427686443	0.0017688679245283	0	0.00188810493888502	0.00188000653915318	0.000601926163723916	0.0276326150762402	0.00103382070595185	0.00785193494111049	0.0104506858262574	0.0574419039312193	0	0.00529329156314141	0.00648399916335495	0.0113147811696138	0.00954476649660817	0.00105103351629102	0.0303748703511631	0.00314536059312514	0.000724768979887661	0.00471327572663001	0.00459229390681004	0.0591959353199726
"nitrate_reduction"	0.00225073148773351	0.00627526058285471	0.0143850008081461	0.0021551724137931	0.0208280416560833	0.00701383551114527	0.016578142604217	0.00768203072812291	0.00198055455527548	0.000296530592072749	0.00459719789842382	0.000698742263924935	0.00357273726639795	9.93936984395189e-05	0	0.00101346460112929	0.00512759360839494	0.000800640512409928	0.00406549971767363	0.000357483317445186	0.00298907441764585	0.00231570822076418	0.0114862025493767	0.00360907968468041	0.0022718293164757	0.00235471413770368	0.0105421686746988	0.00110305704380712	0.00145969009656411	0.00417195719209142	0.00145870736086176	0.0101152669960009	0.000451603191329219	0.00567340897878638	0.000574162679425837	0.00170777988614801	0.0034009321073183	0.000541907514450867	0.000139140114094893	0.000513610683102209	0.000132205182443152	0	0.0590934261529942	0.00118063754427391	0.00443985544656685	0	0.0116269996098322	0.00522351797862002	0.00738881918304754	0.00323244196297384	0.00887248743718593	0.00141714748456321	0.014093137254902	0.00322021302947734	0.0061453869167947	0.00794912559618442	0.0192552739629053	0.0012001200120012	0.01343676409475	0.00135244793075467	0.0046984126984127	0.000433400751227969	0.00692458226704802	0.00134770889487871	0.00628751071734781	0.0032752973625237	0.000856653340948029	0.00359440030268634	0.000158730158730159	0.0110143442622951	0.000867553499132446	0.00197984161267099	0.00109316166646423	0.0115912813405569	0.00605913717886573	0.00205519671168526	0.0243247972933559	0.00134965776535236	0.0244032616753151	0.0140500916310324	0.00564899216844268	0.02845595513032	0.0164348925410872	0.0017010017010017	0.0160224314039655	0.0320214812439885	0.0038860103626943	0.00232308791994282	0.000125486259254612	0.00589489527154145	0.000835305582625644	0.0253861737148645	0.0404803169101263	0.00182291666666667	0.00617896943616904	0.00229057591623037	0.00464240903387703	0.000299222022740874	0.0231523607319786	0.000841987089531294	6.20963735717834e-05	0.000363372093023256	0.000465766185374942	0.00280151281692114	0.0416841223292836	0.0033955857385399	0.0463837828551796	0.00102082482645978	0.0136252157325824	0	0.000275027502750275	0.000596391829431937	0.000303828235770711	0.000788643533123028	8.58184938854323e-05	0.000238265427686443	0.00265330188679245	0	0.00129186127397396	0.000572175903220533	0.000401284109149278	0.0247691316486506	0.000590754689115345	0.0123387549074593	0.00370128456346615	0.0271011151953149	0.000575125808770668	0.00399697526196392	0.0118176113783727	0.013887140004677	0.0686634523742782	0.00116781501810113	0.0346718032301082	0.00202201752415188	0.00344265265446639	0.00605992593423858	0.003584229390681	0.0470986733336022
