index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024642.1,1,1449,1,1446,99.793,0.99793,43.0,1.0,61646,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia amnigena,0.9979296066252588,0.045470140921090446,0.04556447731304292,0.0
1,NR_024728.1,1,1411,8,1411,100.0,7.97307,39.4,0.0,91915,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,Asaia bogorensis,7.973068745570517,0.17047412468051687,0.021381243548818606,0.04
2,NR_024829.1,1,1447,1,1431,98.8943,0.988943,41.4,8.0,253314,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio straminisolvens,0.9889426399447132,0.1046071563046667,0.10577676811520106,0.0
3,NR_024921.1,1,1530,1,1321,86.3399,0.863399,30.5,1.0,81464,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeromusa,Anaeromusa acidaminophila,0.8633986928104576,0.343538245840818,0.39789062538716996,0.0
4,NR_025025.1,1,1491,10,1246,83.5681,7.87995,28.6,8.2,100176,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter,Papillibacter cinnamivorans,7.879946344735077,3.616471489917712,0.4589462074616826,0.05
5,NR_025079.1,1,1523,3,1476,96.914,2.76165,22.0,1.33,117208,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Deltaproteobacteria,Syntrophales,Syntrophaceae,Desulfomonile,Desulfomonile limimaris,2.7616546290216677,0.6446385730306086,0.23342476146590985,0.01
6,NR_025243.1,1,1403,20,1403,100.0,19.0991,37.0,4.7,566551,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea davisae,19.099073414112617,2.19538304208033,0.11494709688157571,0.1
7,NR_025298.1,1,1506,78,1470,97.6096,73.8619,35.7,1.81,82376,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeroarcus,Anaeroarcus burkinensis,73.86188579017264,13.987922465941583,0.18937943861436968,0.38
8,NR_025348.1,1,1527,70,1522,99.6726,64.9515,35.8,1.49,90728,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatiglans,Desulfatiglans anilini,64.95153896529142,13.562254252949465,0.2088057414651378,0.34
9,NR_025406.1,1,1515,3,1431,94.4554,2.36502,31.2,1.0,125602,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus biacutus,2.365016501650165,0.8929290241288738,0.3775572066858062,0.01
