index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024861.1,1,1511,3,1466,97.0218,2.57445,36.3,3.67,67824,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter farmeri,2.5744540039708803,0.6921384104168434,0.26884862162978157,0.17
1,NR_024883.1,1,1414,2,1413,99.9293,1.9901,38.3,34.0,73098,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera georgiana,1.99009900990099,0.10594964065201673,0.053238376646038255,0.11
2,NR_025298.1,1,1506,2,1445,95.9495,1.88181,42.9,4.0,82376,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeroarcus,Anaeroarcus burkinensis,1.8818061088977425,0.43053045191072986,0.22878576590598418,0.11
3,NR_025335.1,1,1485,1,1456,98.0471,0.980471,42.8,1.0,82985,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Pragia,Pragia fontium,0.9804713804713805,0.13842021170772573,0.14117720768267356,0.06
4,NR_025412.1,1,1466,3,1446,98.6357,2.94952,38.5,60.0,108981,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,2.949522510231924,0.3622687948163929,0.12282286151730619,0.17
5,NR_025525.1,1,1475,32,1450,98.3051,30.8217,37.9,52.1,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,30.821694915254238,5.047273520255393,0.16375716955648023,1.83
6,NR_025567.1,1,1498,1,1446,96.5287,0.965287,39.9,1.0,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,0.965287049399199,0.18311292982558838,0.18969790378888754,0.06
7,NR_025948.1,1,1439,1,1426,99.0966,0.990966,38.2,1.0,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,0.9909659485753995,0.09465021371620395,0.09551308382722125,0.06
8,NR_026100.1,1,1499,4,1449,96.6644,3.82388,34.3,1.0,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,3.8238825883922614,0.7441381980300397,0.1946027841673115,0.23
9,NR_026111.1,1,1511,1,1470,97.2866,0.972866,39.0,60.0,33025,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium faecium,0.9728656518861681,0.16252863573942838,0.16706174734848728,0.06
10,NR_026229.1,1,1504,6,1502,99.867,5.29987,17.5,16.2,39950,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister pneumosintes,5.2998670212765955,0.919862863091946,0.17356338553384604,0.34
11,NR_026330.1,1,1474,2,1437,97.4898,1.8521,35.1,10.0,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,1.852103120759837,0.41993637406859885,0.22673487742751455,0.11
12,NR_026331.1,1,1488,1,1451,97.5134,0.975134,34.8,0.0,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.9751344086021505,0.15576777569524264,0.15973980029946316,0.06
13,NR_026494.1,1,1499,1,1036,69.1127,0.691127,42.0,0.0,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.6911274182788526,0.4621826625121012,0.6687372694069881,0.06
14,NR_028915.1,1,1456,1,1430,98.2143,0.982143,38.5,60.0,105841,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae,0.9821428571428571,0.13247761734236788,0.1348863012940473,0.06
15,NR_029097.1,1,1374,48,1322,96.2154,44.4119,36.4,2.44,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,44.41193595342067,10.045593231484279,0.2261912933050277,2.75
16,NR_029356.1,1,1550,15,1461,94.2581,13.8968,39.3,2.07,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,13.896774193548387,3.5667103569190313,0.25665743051181517,0.86
17,NR_041343.1,1,1492,29,1475,98.8606,27.559,37.7,21.7,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,27.55898123324397,4.934841000666673,0.17906471066186772,1.66
18,NR_041464.1,1,1492,1,1269,85.0536,0.850536,12.0,1.0,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,0.8505361930294906,0.35666460229215385,0.41934088780133455,0.06
19,NR_041590.1,1,1342,80,1289,96.0507,75.0238,36.5,5.81,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,75.02384500745157,16.280246031844584,0.21700095523266752,4.58
20,NR_042152.1,1,1456,1,1383,94.9863,0.949863,14.5,0.0,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,0.9498626373626373,0.21830331767257677,0.22982619705804178,0.06
21,NR_042406.1,1,1512,1,1448,95.7672,0.957672,26.5,0.0,332950,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus termitis,0.9576719576719577,0.2014030950069095,0.21030488926135854,0.06
22,NR_043142.1,1,1465,3,1448,98.8396,2.72765,41.8,10.7,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,2.727645051194539,0.5459302830264022,0.20014711327169152,0.17
23,NR_043224.1,1,1455,1,1346,92.5086,0.925086,40.5,0.0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,0.925085910652921,0.2633431820673953,0.28466889294803877,0.06
24,NR_043231.1,1,1396,323,1388,99.4269,312.232,38.0,2.71,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,312.2320916905444,43.9657638252763,0.14081116257854462,18.5
25,NR_043657.1,1,1553,6,1495,96.2653,4.5132,32.7,5.0,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,4.513200257566001,2.018914968798103,0.44733556092787197,0.34
26,NR_043681.1,1,1420,3,1420,100.0,2.87535,31.8,60.0,358743,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster citroniae,2.8753521126760564,0.3346738274571551,0.11639403257143284,0.17
27,NR_043793.1,1,1481,4,1481,100.0,3.92032,35.4,1.0,160453,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gilvus,3.9203241053342337,0.27826470533667724,0.0709800255948362,0.23
28,NR_043794.1,1,1481,1,1479,99.865,0.99865,42.1,1.0,160454,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus pallens,0.9986495611073599,0.036735901158524265,0.036785577833518886,0.06
29,NR_044473.1,1,1399,17,1396,99.7856,16.4446,35.1,4.53,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,16.4446032880629,1.5785255871231048,0.095990493627107,0.97
30,NR_074515.1,1,1510,3,1450,96.0265,2.78411,32.3,28.3,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,2.7841059602649008,0.6407927408121183,0.23016104629550396,0.17
31,NR_074535.1,1,1512,1,1426,94.3122,0.943122,38.6,0.0,28118,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,0.9431216931216931,0.23168657028138875,0.2456592526405749,0.06
32,NR_074809.1,1,1535,3,1453,94.658,2.8241,37.8,1.0,585394,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia hominis,2.824104234527687,0.6834360534777701,0.24200100163515045,0.17
33,NR_102980.1,1,1552,18,1506,97.0361,16.5954,30.5,1.72,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,16.59536082474227,3.585007699432336,0.21602469131538227,1.03
34,NR_104803.1,1,1521,4,1467,96.4497,3.72978,30.1,14.8,39482,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,3.7297830374753453,0.8374227491482608,0.22452318023171242,0.23
35,NR_104823.1,1,1504,4,1484,98.6702,3.63364,41.7,14.5,35703,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter amalonaticus,3.6336436170212765,0.6868877582261992,0.1890355330964691,0.23
36,NR_112936.1,1,1490,1,1447,97.1141,0.971141,41.2,0.0,817,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,0.9711409395973154,0.16746652563417433,0.17244307062537648,0.06
37,NR_112944.1,1,1461,1,1449,99.1786,0.991786,44.0,44.0,818,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,0.9917864476386037,0.0902865960851668,0.09103431116661746,0.06
38,NR_113021.1,1,1476,1,1388,94.0379,0.940379,24.3,24.0,29363,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium paraputrificum,0.940379403794038,0.23686281166191972,0.25188005044163797,0.06
39,NR_113073.1,1,1481,1,1351,91.2221,0.912221,36.0,0.0,487174,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,0.912221471978393,0.2830681220622199,0.31030635734577916,0.06
40,NR_113094.1,1,1494,3,1456,97.4565,2.43574,18.3,0.333,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,2.4357429718875503,0.8439260645809197,0.3464758286572943,0.17
41,NR_113097.1,1,1480,16,1476,99.7297,14.4345,32.6,21.3,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,14.43445945945946,2.3067122222431258,0.15980593029629855,0.92
42,NR_113102.1,1,1494,1,1027,68.7416,0.687416,11.5,0.0,1236509,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentasini,0.6874163319946452,0.463701455912463,0.6745569378122879,0.06
43,NR_113108.1,1,1490,1,1431,96.0403,0.960403,36.9,0.0,840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii,0.9604026845637584,0.19507667275552412,0.2031196662513843,0.06
