index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024861.1,1,1511,1,1458,96.4924,0.964924,38.5,1.0,67824,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter farmeri,0.9649238914626076,0.1840331208448437,0.19072293936663842,0.02
1,NR_025298.1,1,1506,4,1454,96.5471,3.80611,37.7,3.5,82376,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeroarcus,Anaeroarcus burkinensis,3.806108897742364,0.7807415327477605,0.20512853250490706,0.08
2,NR_025412.1,1,1466,1,1441,98.2947,0.982947,36.6,60.0,108981,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,0.9829467939972715,0.12951384510946604,0.13176078898714588,0.02
3,NR_025514.1,1,1518,82,1492,98.2872,77.3715,32.1,29.2,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,77.37154150197628,13.380996043048414,0.17294467427286073,1.65
4,NR_025525.1,1,1475,28,1448,98.1695,26.7288,37.0,51.5,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,26.728813559322035,4.354657624694497,0.16291997454468946,0.56
5,NR_025567.1,1,1498,32,1455,97.1295,30.6529,37.4,12.0,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,30.65287049399199,5.5508514970770415,0.18108749385037257,0.65
6,NR_025948.1,1,1439,6,1428,99.2356,5.40792,33.4,1.17,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,5.407922168172342,1.288536621664491,0.23826833700529457,0.12
7,NR_026100.1,1,1499,3,1449,96.6644,2.8539,35.1,2.67,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,2.8539026017344895,0.5725150459364952,0.20060777322552742,0.06
8,NR_026330.1,1,1474,8,1441,97.7612,7.71506,34.5,13.4,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,7.715061058344641,1.2321572835017127,0.15970804043981046,0.16
9,NR_026331.1,1,1488,12,1465,98.4543,11.5645,40.5,0.0,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,11.564516129032258,1.5428875477314574,0.13341565963647192,0.24
10,NR_027549.1,1,1473,2,1457,98.9138,1.91989,30.9,0.5,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,1.9198913781398506,0.30899906630261,0.16094611904658576,0.04
11,NR_028938.1,1,1502,1,1457,97.004,0.97004,35.8,23.0,582,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Morganella morganii,0.9700399467376831,0.17053389847313308,0.17580090288719688,0.02
