index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024640.1,1,1422,5,1422,100.0,4.98734,41.6,48.2,61645,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,4.987341772151899,0.11183377096590608,0.022423522604839034,5.88
1,NR_025338.1,1,1516,1,1302,85.8839,0.858839,36.0,29.0,42906,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia entomophila,0.8588390501319261,0.3483023957662693,0.40555025497823677,1.18
2,NR_025339.1,1,1490,1,1481,99.396,0.99396,40.7,1.0,47917,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia fonticola,0.9939597315436242,0.07751010066067225,0.07798112760594304,1.18
3,NR_026467.1,1,1463,1,1462,99.9316,0.999316,41.9,1.0,81947,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus lutrae,0.9993164730006835,0.026144349280800106,0.026162231872647438,1.18
4,NR_029313.1,1,1466,1,976,66.5757,0.665757,38.6,1.0,52787,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerofilum,Anaerofilum pentosovorans,0.6657571623465212,0.4718860636113097,0.7087960750555123,1.18
5,NR_041975.1,1,1509,2,1492,98.8734,1.92114,40.7,41.0,71657,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Lonsdalea,Lonsdalea quercina,1.9211398277004639,0.3086030382380974,0.16063538623707796,2.35
6,NR_043918.1,1,1420,1,1413,99.507,0.99507,41.3,46.0,392734,Bacteria,unclassified Bacteria kingdom,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,0.9950704225352113,0.07006235498072427,0.07040944378813055,1.18
7,NR_044827.1,1,1499,4,1499,100.0,3.96531,41.8,44.2,703,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,3.9653102068045363,0.2687509192133016,0.0677755094045658,4.71
8,NR_104722.1,1,1474,2,1474,100.0,1.99593,42.6,4.5,1363,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,1.9959294436906376,0.06369253549804406,0.03191121594973384,2.35
9,NR_104803.1,1,1521,1,1456,95.7265,0.957265,37.4,19.0,39482,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,0.9572649572649573,0.20232565955562798,0.2113580550715042,1.18
10,NR_104928.1,1,1524,1,1436,94.2257,0.942257,13.7,1.0,66270,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea stewartii,0.9422572178477691,0.23333297635207553,0.2476319331201693,1.18
11,NR_104934.1,1,1527,5,1506,98.6248,4.8664,42.4,16.6,158877,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella,Yokenella regensburgei,4.866404715127701,0.6757096953009891,0.13885193173524565,5.88
13,NR_112986.1,1,1434,1,1416,98.7448,0.987448,30.4,19.0,158877,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella,Yokenella regensburgei,0.9874476987447699,0.1113705099820135,0.11278623680381876,1.18
14,NR_113902.1,1,1426,1,1307,91.655,0.91655,34.3,0.0,1351,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,0.9165497896213184,0.276658539256997,0.3018478018213296,1.18
15,NR_113958.1,1,1472,1,1463,99.3886,0.993886,37.4,0.0,203404,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,0.9938858695652174,0.07797999022604418,0.0784597030845776,1.18
16,NR_114043.1,1,1467,2,1467,100.0,1.98432,41.0,1.0,615,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,1.9843217450579413,0.12426976370832621,0.06262581358987103,2.35
17,NR_114159.1,1,1466,1,1450,98.9086,0.989086,42.8,1.0,158877,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella,Yokenella regensburgei,0.9890859481582538,0.10393413236598624,0.10508099175761092,1.18
18,NR_114589.1,1,1437,1,1082,75.2958,0.752958,27.4,30.0,1006000,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera ascorbata,0.7529575504523313,0.4314417838141508,0.5729961583557622,1.18
19,NR_116307.1,1,1482,14,1446,97.5709,13.2051,38.2,56.8,1088868,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,Commensalibacter intestini,13.205128205128204,2.557065257613793,0.19364183504259794,16.47
20,NR_117380.1,1,1473,1,1391,94.4331,0.944331,38.4,1.0,285106,Bacteria,unclassified Bacteria kingdom,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Tepidimicrobium,Tepidimicrobium ferriphilum,0.9443312966734555,0.22935869703824419,0.24287948291684666,1.18
21,NR_117407.1,1,1488,2,1479,99.3952,1.97849,40.9,60.0,1156986,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella massiliensis,1.978494623655914,0.18210424373530776,0.09204181884447621,2.35
22,NR_117683.1,1,1530,1,1471,96.1438,0.961438,39.3,1.0,573,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,0.961437908496732,0.1926117974414038,0.20033721963653828,1.18
23,NR_118433.1,1,1538,2,1498,97.3992,1.91417,32.5,0.0,1196095,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,1.9141742522756826,0.3613311265572366,0.18876605728431722,2.35
24,NR_121703.1,1,1542,2,1503,97.4708,1.92412,39.8,31.0,614,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia liquefaciens,1.924124513618677,0.3475347200367314,0.18061966238511623,2.35
25,NR_126317.1,1,1532,1,1363,88.9687,0.889687,41.7,14.0,158823,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea lapagei,0.889686684073107,0.3133821835255545,0.3522388152319512,1.18
26,NR_144736.1,1,1503,1,1413,94.012,0.94012,41.3,1.0,1776382,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Neglectibacter,Neglectibacter timonensis,0.9401197604790419,0.23734379324898605,0.252461232309431,1.18
27,NR_144742.1,1,1499,1,1462,97.5317,0.975317,40.1,1.0,1805714,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Christensenella massiliensis,0.9753168779186124,0.15520933037989393,0.1591373366890978,1.18
28,NR_146847.1,1,1345,1,1342,99.777,0.99777,43.0,2.0,1510570,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella victoriana,0.9977695167286246,0.047192839497541154,0.04729833764842984,1.18
29,NR_148649.1,1,1444,1,1434,99.3075,0.993075,40.7,35.0,881260,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter bugandensis,0.9930747922437673,0.08295791217397228,0.08353641923236818,1.18
30,NR_148767.1,1,1502,1,1491,99.2676,0.992676,38.9,17.0,1367852,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Izhakiella,Izhakiella capsodis,0.992676431424767,0.08529230511740278,0.0859215575361093,1.18
31,NR_151900.1,1,1519,3,1491,98.1567,2.69519,29.7,20.3,1550024,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruthenibacterium,Ruthenibacterium lactatiformans,2.695194206714944,0.6867247300634925,0.25479601000645946,3.53
32,NR_156911.1,1,1491,2,1485,99.5976,1.90275,40.0,1.0,1650663,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Fournierella,Fournierella massiliensis,1.902749832327297,0.3096856228906012,0.1627568782974573,2.35
33,NR_157796.1,1,1485,1,1453,97.8451,0.978451,39.1,1.0,947919,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,Desulfosarcina widdelii,0.9784511784511785,0.14525383885615994,0.14845282223083106,1.18
34,NR_157797.1,1,1526,2,1526,100.0,1.96265,38.9,1.0,571177,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,Desulfosarcina alkanivorans,1.9626474442988204,0.18968637502170244,0.09664821645513119,2.35
35,NR_158113.1,1,1471,1,1358,92.3182,0.923182,40.9,1.0,433287,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerotignum,Anaerotignum aminivorans,0.9231815091774304,0.2663937938964877,0.2885605823429554,1.18
36,NR_178794.1,1,1394,1,1377,98.7805,0.987805,37.8,21.0,2722756,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Brenneria izadpanahii,0.9878048780487805,0.10979548607742785,0.11115098590554424,1.18
37,NR_179166.1,1,1538,1,1480,96.2289,0.962289,41.9,25.0,2497436,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter quasiroggenkampii,0.9622886866059818,0.19055912632734445,0.19802698398071336,1.18
38,NR_179946.1,1,1528,1,1498,98.0366,0.980366,42.4,1.0,2071710,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sichuanensis,0.9803664921465969,0.1387827019213324,0.14156206177289446,1.18
39,NR_180316.1,1,1542,5,1504,97.5357,4.44877,36.7,49.8,2488306,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudocitrobacter,Pseudocitrobacter vendiensis,4.448767833981842,0.8681593299897535,0.19514601849040814,5.88
40,NR_180450.1,1,1536,5,1503,97.8516,4.85286,41.4,30.0,2529381,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter wuhouensis,4.852864583333333,0.7685798044785814,0.15837651994621696,5.88
41,NR_181179.1,1,1411,2,1411,100.0,1.9922,41.7,8.0,2725494,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera sichuanensis,1.9922041105598867,0.08798067653800022,0.044162481179337715,2.35
