index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,2,1503,99.0119,1.95652,33.1,24.0,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1.9565217391304348,0.24777245550117458,0.12663925503393367,3.64
1,NR_025525.1,1,1475,1,1435,97.2881,0.972881,42.4,60.0,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9728813559322034,0.16248422162681436,0.16701339853627262,1.82
2,NR_025567.1,1,1498,2,1492,99.5995,1.9713,37.3,21.0,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.971295060080107,0.18951417616693705,0.09613688990791455,3.64
3,NR_026111.1,1,1511,1,1494,98.8749,0.988749,37.6,60.0,33025,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium faecium,0.9887491727332892,0.1055064604797145,0.10670700253336587,1.82
4,NR_026331.1,1,1488,1,1470,98.7903,0.987903,34.9,7.0,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.9879032258064516,0.10935483007071815,0.11069386880627796,1.82
5,NR_029097.1,1,1374,1,1303,94.8326,0.948326,37.7,1.0,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,0.9483260553129549,0.2214485022104685,0.23351515121809954,1.82
6,NR_029356.1,1,1550,1,1455,93.871,0.93871,37.9,9.0,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,0.9387096774193548,0.23993949548669233,0.2556056481129712,1.82
7,NR_041590.1,1,1342,8,1302,97.0194,7.70045,39.0,6.12,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,7.700447093889717,1.389633434608889,0.18046139628847774,14.55
8,NR_074902.1,1,1542,1,1435,93.061,0.93061,28.2,1.0,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.930609597924773,0.25419928997791524,0.27315352274978766,1.82
9,NR_113097.1,1,1480,2,1444,97.5676,1.87027,27.0,9.0,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,1.8702702702702703,0.40206691464042804,0.2149779745909803,3.64
10,NR_113231.1,1,1491,2,1490,99.9329,1.96512,41.3,35.0,536633,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia glucerasea,1.9651240778001342,0.18714824193707752,0.09523482209152989,3.64
11,NR_118510.1,1,1435,1,1302,90.7317,0.907317,22.0,1.0,522485,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter avium,0.9073170731707317,0.29008868303486174,0.3197213979685304,1.82
12,NR_125570.1,1,1395,1,1285,92.1147,0.921147,37.8,1.0,796943,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium parvum,0.921146953405018,0.26960591474295303,0.29268502028515136,1.82
13,NR_133027.1,1,1519,12,1517,99.8683,11.7419,38.0,3.83,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,11.741935483870968,0.8789886352324843,0.07485892223133794,21.82
14,NR_144746.1,1,1494,1,1432,95.8501,0.958501,35.3,60.0,1841864,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Marseilla,Marseilla massiliensis,0.9585006693440429,0.19950884349615997,0.2081467962173624,1.82
