index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
2,NR_024946.1,1,1458,73,1458,100.0,71.5405,38.7,7.37,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,71.54046639231825,5.294621951376519,0.07400877039774284,2.21
3,NR_025514.1,1,1518,38,1507,99.2754,35.4065,30.0,22.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,35.4064558629776,6.134088200951194,0.17324773269287425,1.15
4,NR_025525.1,1,1475,35,1453,98.5085,33.3661,37.9,54.1,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,33.36610169491525,5.67901616624894,0.17020316662028218,1.06
5,NR_025567.1,1,1498,2,1452,96.9292,1.9032,41.7,1.0,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.9032042723631508,0.3859287001311785,0.20277839101946876,0.06
7,NR_025863.1,1,1411,1,1378,97.6612,0.976612,41.1,59.0,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.9766123316796598,0.1511849342972378,0.15480547336241116,0.03
8,NR_026312.1,1,1482,1,1201,81.0391,0.810391,39.1,50.0,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.810391363022942,0.3921236464324183,0.48386947877838793,0.03
9,NR_026365.1,1,1469,1,1449,98.6385,0.986385,42.5,5.0,29581,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium lividum,0.9863852961198094,0.11592450893900498,0.11752457117418794,0.03
10,NR_026493.1,1,1488,1,1448,97.3118,0.973118,42.5,1.0,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9731182795698925,0.1617921054788819,0.16626150065785653,0.03
11,NR_026499.1,1,1425,1,1405,98.5965,0.985965,42.8,32.0,71452,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus raffinosus,0.9859649122807017,0.11767676831768982,0.11935188245744342,0.03
12,NR_028619.1,1,1528,23,1479,96.7932,21.5543,38.7,2.43,122355,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas psychrophila,21.55431937172775,4.727650796238714,0.21933658468658734,0.7
14,NR_029097.1,1,1374,77,1322,96.2154,71.8304,35.6,2.08,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,71.83042212518195,15.763905602699284,0.21946001619239897,2.33
15,NR_029207.1,1,1426,3,1398,98.0365,2.73072,22.1,1.0,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,2.7307152875175316,0.5855539709685222,0.21443245059093805,0.09
16,NR_029356.1,1,1550,3,1454,93.8065,2.73032,39.1,2.67,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,2.7303225806451614,0.7568387750249905,0.2771975664670924,0.09
17,NR_037082.1,1,1535,3,1490,97.0684,2.87492,35.2,0.0,1354,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus hirae,2.874918566775244,0.5343386930274306,0.18586220117768096,0.09
18,NR_037086.1,1,1479,1,1362,92.0892,0.920892,21.3,0.0,1559,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tertium,0.920892494929006,0.26999777213872334,0.29319141335768856,0.03
19,NR_040903.1,1,1461,9,1323,90.5544,7.88912,37.9,1.0,183670,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Macromonas,Macromonas bipunctata,7.88911704312115,2.840513768040654,0.3600547123986982,0.27
20,NR_041342.1,1,1488,8,1449,97.379,7.72379,39.3,7.38,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,7.723790322580645,1.316564026407078,0.17045569227301244,0.24
21,NR_041343.1,1,1492,98,1492,100.0,93.6521,38.3,20.6,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,93.65214477211796,16.62653376911554,0.1775350026373937,2.97
22,NR_041464.1,1,1492,2,1435,96.1796,1.7882,16.2,13.5,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,1.7882037533512065,0.49346662830648147,0.2759566002373577,0.06
