index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,1,1482,97.6285,0.976285,31.2,9.0,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,0.9762845849802372,0.15221122319409178,0.15590866181419116,3.33
1,NR_027558.1,1,1365,1,1318,96.5568,0.965568,28.6,47.0,169435,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,0.9655677655677656,0.18240348145039223,0.18890800620621045,3.33
2,NR_043231.1,1,1396,2,1376,98.5673,1.92765,29.9,1.0,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,1.927650429799427,0.30957560660959776,0.16059737897695966,6.67
3,NR_044473.1,1,1399,1,1381,98.7134,0.987134,41.7,1.0,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,0.9871336669049321,0.11273808380289457,0.11420751574239646,3.33
4,NR_115702.1,1,1341,1,1336,99.6271,0.996271,30.8,16.0,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,0.9962714392244594,0.06097073677900612,0.06119892067413713,3.33
5,NR_133027.1,1,1519,7,1519,100.0,6.81303,33.8,9.29,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,6.813034891375906,0.5425880432559247,0.07963969829990816,23.33
6,NR_178427.1,1,1477,1,1455,98.5105,0.985105,43.6,60.0,1347366,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium massiliamazoniense,0.9851049424509141,0.12117399060273147,0.12300617465308204,3.33
7,NR_178978.1,1,1529,6,1477,96.5991,5.60366,35.7,6.33,1676614,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella rara,5.603662524525834,1.226298726519783,0.2188387900150266,20.0
8,NR_179270.1,1,1482,1,1399,94.3995,0.943995,14.2,60.0,2654621,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium wakonense,0.9439946018893387,0.23000976398970027,0.24365580431217715,3.33
9,NR_179449.1,1,1526,1,1347,88.27,0.8827,29.9,1.0,2479840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella marseillensis,0.882699868938401,0.3218830625053945,0.36465742641665333,3.33
10,NR_179484.1,1,1548,2,1472,95.0904,1.89276,40.0,56.5,2730405,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Bacillaceae,Metabacillus,Metabacillus schmidteae,1.892764857881137,0.44051372020765545,0.2327355764100514,6.67
11,NR_180169.1,1,1497,3,1458,97.3948,2.8851,39.3,18.0,2040648,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter didelphidarum,2.885103540414162,0.5337774081875963,0.18501152582931968,10.0
12,NR_180527.1,1,1510,1,1385,91.7219,0.917219,39.8,60.0,2267891,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter novaezeelandiae,0.9172185430463576,0.27564289317854257,0.3005204106134291,3.33
13,NR_180830.1,1,1459,1,1256,86.0864,0.860864,17.4,60.0,2606626,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus,Sodaliphilus pleomorphus,0.8608636052090473,0.34620746717461187,0.4021629734138207,3.33
14,NR_180890.1,1,1542,1,1473,95.5253,0.955253,37.6,60.0,2653932,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter telavivensis,0.9552529182879378,0.2068151801230041,0.21650306025096558,3.33
