"Taxa"	"hdz.095"	"hdz.005"	"hdz.004"	"hdz.019"	"hdz.025"	"hdz.002"	"hdz.023"	"hdz.001"	"hdz.030"	"hdz.050"	"hdz.036"	"hdz.067"	"hdz.186"	"hdz.183"	"hdz.195"	"hdz.157"	"hdz.173"	"hdz.161"	"hdz.162"	"hdz.170"	"hdz.099"	"hdz.103"	"hdz.101"	"hdz.096"	"hdz.106"	"hdz.107"	"hdz.193"	"hdz.259"	"hdz.251"	"hdz.323"	"hdz.246"	"hdz.247"	"hdz.248"	"hdz.267"	"hdz.265"	"hdz.209"	"hdz.207"	"hdz.260"	"hdz.205"	"hdz.208"	"hdz.194"	"hdz.200"	"hdz.239"	"hdz.199"	"hdz.237"	"hdz.307"	"hdz.315"	"hdz.306"	"hdz.331"	"hdz.303"	"hdz.312"	"hdz.313"	"hdz.333"	"hdz.335"	"hdz.332"	"hdz.325"	"hdz.242"	"hdz.334"	"hdz.302"	"hdz.232"	"hdz.309"	"hdz.337"	"hdz.344"	"hdz.338"	"hdz.409"	"hdz.346"	"hdz.210"	"hdz.393"	"hdz.340"	"hdz.349"	"hdz.218"	"hdz.406"	"hdz.391"	"hdz.316"	"hdz.223"	"hdz.217"	"hdz.228"	"hdz.403"	"hdz.402"	"hdz.387"	"hdz.376"	"hdz.378"	"hdz.379"	"hdz.359"	"hdz.355"	"hdz.360"	"hdz.380"	"hdz.451"	"hdz.453"	"hdz.449"	"hdz.448"	"hdz.439"	"hdz.432"	"hdz.440"	"hdz.443"	"hdz.165"	"hdz.214"	"hdz.446"	"hdz.447"	"hdz.189"	"hdz.475"	"hdz.441"	"hdz.160"	"hdz.464"	"hdz.164"	"hdz.474"	"hdz.423"	"hdz.416"	"hdz.415"	"hdz.414"	"hdz.171"	"hdz.412"	"hdz.159"	"hdz.473"	"hdz.463"	"hdz.158"	"hdz.461"	"hdz.466"	"hdz.488"	"hdz.483"	"hdz.489"	"hdz.477"	"hdz.484"	"hdz.509"	"hdz.479"	"hdz.480"	"hdz.517"	"hdz.487"	"hdz.481"	"hdz.525"	"hdz.522"
"Acetate -- Production"	0.0480605025616004	0.0464993549900317	0.0440351305196389	0.0479066676511851	0.0507598456015332	0.049332399859979	0.0484021174394667	0.0460230405385798	0.0489024390243903	0.0512649306328363	0.0566910233329803	0.0539472872044936	0.0586294110562447	0.0510319039286656	0.0521707986788173	0.05112145072775	0.0491020114942529	0.0509464870768111	0.052249457027614	0.051006298970656	0.0525666779371109	0.0556431121546428	0.0503254124413501	0.0515439739413681	0.0487294269615376	0.053165100415017	0.0518163018455656	0.0536031724326542	0.0555698723204873	0.0507083447582488	0.0582374899112187	0.0535988941455912	0.0516161403622356	0.051939730897216	0.0543517954960439	0.0469123262419352	0.0511146868755028	0.0507851098175415	0.0536838948315505	0.0536762756165007	0.0513071955890244	0.0527058743494677	0.0533262129996949	0.0502900772537349	0.0531986122101163	0.0519737527340902	0.0505977667192621	0.0524576003720868	0.0530138375715425	0.0576558075857991	0.050325835610679	0.0579362271969276	0.0509263552233824	0.0506530231473384	0.0506712660824165	0.0511396975851952	0.0644985712341815	0.0517565169449183	0.0515910988048945	0.0531960531960532	0.0509650323250436	0.0501451813614786	0.057793259088456	0.0335367069426167	0.0531858780504959	0.052325135984065	0.0565197050370931	0.0532500578302105	0.0499398972789859	0.0407478691229035	0.0533446232006774	0.0455870597639535	0.050195621410139	0.0473216430458803	0.0448882512836001	0.0556336378542984	0.0549409291149379	0.0472691599263234	0.0520957415128053	0.0514387457939131	0.0507147616451632	0.0568510310271729	0.0575765817835651	0.0452879846138273	0.0416921924988088	0.0498497830199177	0.047816249848491	0.0455154366179632	0.0509561156150864	0.0520309240397595	0.0512619463265971	0.0451189499589828	0.067308089358715	0.0500493812815895	0.0500344449263899	0.0519956948171055	0.0508592430714215	0.0519071777527245	0.0513863107339639	0.0560645864035369	0.0529023490584353	0.0510479409119402	0.0448814926878467	0.0491838487972508	0.0442749851136168	0.0522095727751255	0.0521707345440045	0.097422881686841	0.0470035604224636	0.0336127513730024	0.0527037129329679	0.0505973100164295	0.0469924812030075	0.0784177654406661	0.0486826679829703	0.0541772688719253	0.0469941136736467	0.0509787182145253	0.0505943635635101	0.0502714770002481	0.0488245348124738	0.0485661127862963	0.0509773859716366	0.0488478385069511	0.0473095256302414	0.0492796037820802	0.0468871169791812	0.0505177672175331	0.0511434719511584	0.0516593041509985	0.0476574778065667
"D-Glucose (Glucose) -- Consumption"	0.0446653655363097	0.0414174582698096	0.0401012442059039	0.0438602968323119	0.0500175452803196	0.0446566985047757	0.0453877070875405	0.0416993122660399	0.0432520325203252	0.0490689220268566	0.0487486321437396	0.0496728597000185	0.0526556666265205	0.0472686305999665	0.047116876915118	0.0466028394178001	0.0443247126436782	0.0485438660356753	0.0481745785500052	0.0490666769088954	0.0494441019113348	0.0448361262101573	0.0408909742192624	0.048442996742671	0.0444756241509098	0.0457949720936889	0.048519255530844	0.0476320707416018	0.0481199484596462	0.0492459555799287	0.0467615012106537	0.0490430854895548	0.0491721023582539	0.0473306739970651	0.0504716981132076	0.0364163045727292	0.0485323505748618	0.0499143961258133	0.047145856243127	0.0469904163036479	0.0479582585527412	0.047450593557604	0.0478524565151053	0.0484413983827817	0.0486791648913507	0.0485812489770411	0.0480033984706882	0.0476902377036926	0.0484677244077375	0.0500637854320296	0.0469833928946815	0.0500277932184547	0.0477550490532446	0.0482041863448196	0.0474780906209211	0.0491988264500113	0.0428901891413798	0.0486897193363312	0.0475191888755421	0.0474474474474474	0.0432966825539144	0.0228603032677329	0.0286513270862974	0.0289907086174582	0.0490365004571349	0.0454557062233458	0.0440216543765455	0.0460328475595651	0.044913124248716	0.0325176427458528	0.049816539655659	0.0416842996191282	0.0477260745303698	0.0441688686043718	0.0396028390214436	0.031857577887093	0.0503604325190228	0.0405421638504044	0.0444274865991662	0.0467913026421016	0.0490187170634199	0.0525519960863958	0.0151633631387482	0.0392144953942707	0.035736164998979	0.0472348948481139	0.0437760090501394	0.0420885385837565	0.0457569615791329	0.0430318648504929	0.049516229251117	0.0440056252197352	0.018189701449395	0.0463893568814268	0.0457734799581558	0.0446132156987585	0.0477053739942386	0.0461762495302518	0.0466425056719408	0.0417120522842314	0.0463599301106581	0.0456515221716497	0.0375226461963729	0.0378865979381443	0.0367069399358445	0.0467009425878321	0.0472693438782461	0.0203045685279188	0.0422164377823654	0.0315893793616055	0.0447296287067032	0.0446381331625407	0.0299409237379162	0.0235947258848022	0.0443943974825693	0.041931721798134	0.0473801022869826	0.0471979998780413	0.0481634833711767	0.0442080313094287	0.0458254055274275	0.0392955668185026	0.0475728812030753	0.0467768044182061	0.0437918992633377	0.0467131922557407	0.0420353542383329	0.0472905879849635	0.0481909623179702	0.047771165711365	0.045512466550567
"Succinate -- Production"	0.0403960315524111	0.0401469840897541	0.0394913393510612	0.0416451303256295	0.0440116608632278	0.0420313046957043	0.0414910302911479	0.040886799570529	0.0431707317073171	0.0425995993768084	0.0503724098979844	0.0460774026294673	0.0511140551607853	0.0390948968096071	0.0439730988101397	0.0440229062276306	0.0411637931034483	0.038587550054605	0.0447616092667287	0.0422299892456598	0.03945981423656	0.0502074555337558	0.0459109025780737	0.0441172638436482	0.0412017549720496	0.0453179411343796	0.0400132662218581	0.0445933421456463	0.0501815626098161	0.0413307741522713	0.052865213882163	0.0423845959153476	0.0409174044640112	0.0441684062583965	0.0473980523432745	0.0416078851833042	0.0425631309854403	0.0403071956170817	0.0463061081675497	0.0463843327398765	0.0391511092197532	0.0449335011394945	0.0439044858101923	0.0381759701806595	0.0434597358329783	0.0432395434999331	0.0428753489501153	0.0448663643461072	0.0429797870028255	0.0528641214723544	0.0405928105949127	0.0535651119308707	0.0421728083677973	0.0418780246049793	0.0420240537012866	0.0419619348529301	0.0609334603347394	0.0421426233179994	0.0435897957937171	0.0455598455598455	0.0409843801613892	0.0458127851776743	0.0519550605897071	0.0256410256410256	0.0476826781067586	0.0456089277049976	0.0504377659455967	0.0462179042331714	0.0408334243980621	0.039244798826872	0.0470293536550945	0.0401090891992288	0.0430644579483337	0.0411962527023781	0.0374509211718514	0.0488014367142968	0.0500600720865038	0.0430848082005286	0.0459723049434187	0.0432604529748163	0.0425374038403295	0.0525519960863958	0.0552646788834869	0.0416641360461585	0.0328772717990606	0.0443974630021142	0.0442002343339663	0.0419639241097854	0.0443910821290095	0.0447703194666012	0.0429180104743025	0.0382632134067737	0.0586571416773341	0.0424388543542671	0.0431199448881178	0.0458411023693665	0.0438064964736267	0.0395058248778655	0.0446389109873597	0.0467738835138079	0.0469035138807999	0.0438799705649887	0.0415569376739321	0.0448453608247422	0.0411440425654521	0.0451095605337251	0.0438134480867962	0.0823896915267473	0.0370403614277593	0.0284923813849775	0.0467231497632694	0.0441368939879146	0.0302094522019334	0.0750295954606685	0.0436539766767446	0.0469677692960136	0.037440895493583	0.0427465089334715	0.0438894083077334	0.042030703084089	0.0391499242155503	0.0461923397703214	0.0428606858611593	0.0392544277280518	0.040146822665749	0.0407474110760919	0.0426318824441749	0.0424143556280587	0.0419856878346594	0.0413274433207988	0.0388438176952809
"Cellobiose -- Consumption"	0.0444620639180288	0.0399124350103593	0.038515491583313	0.0435354057446651	0.0500175452803196	0.0433064959743961	0.0447014998529556	0.04016134180668	0.0428455284552846	0.0489205430669931	0.0486780331109464	0.0485309548793284	0.052318439118391	0.0468851122989525	0.0452465279159536	0.0464238845144357	0.0423850574712644	0.0484346559883509	0.0475540386803186	0.0483369181133815	0.0490065434873406	0.0443858351291371	0.0405882649714949	0.0475048859934854	0.0443865392752945	0.0455564566140343	0.0482851457333489	0.0475712961696826	0.0478388192573504	0.0492459555799287	0.046408393866021	0.0475828904074918	0.0491397309939628	0.0470413161647686	0.0504716981132076	0.0348174482252695	0.047675897329423	0.0497382967274862	0.0464660601819454	0.0466116140762908	0.0469036209225304	0.0468043130718732	0.0476235886481538	0.0482309796495025	0.0484965609592793	0.0482390227208476	0.0478516810292511	0.0475241275061876	0.0478519162500906	0.0495348330688571	0.0463527433256254	0.0494971954115923	0.0473099534504182	0.0480584222494316	0.047245012120082	0.0490483713232528	0.0424547557490815	0.0485518857359453	0.0473970315776615	0.0468182468182468	0.0427539993393422	0.0206480158547265	0.0283569641367806	0.0174263269131076	0.0490365004571349	0.0449960417783907	0.0423507919887718	0.0439509599814943	0.0411976833132991	0.0320960498579415	0.0494637313011572	0.0389570696384069	0.0463664363606093	0.0427876531347585	0.0363560857746904	0.0308425080034356	0.0502603123748498	0.0383598942900617	0.0440180166765932	0.0465498770238257	0.0488975710218669	0.0522851594348993	0.0119504980790807	0.0356311367547323	0.030358723027704	0.0471792589295649	0.0427053452385762	0.0414031589769152	0.0451841734226295	0.0426432691127746	0.0487173417758973	0.0393765381460214	0.0176735351199571	0.0460407831290304	0.045441788074401	0.0444313065623721	0.0475563723055528	0.0364054866591507	0.0463478593947965	0.0383802140065355	0.0455833818675985	0.0442887901665258	0.0364580415009059	0.036340206185567	0.03336470678627	0.0459868608968866	0.0472693438782461	0.00683326825458805	0.0392244861323041	0.0303505801709543	0.0447296287067032	0.0441925872295397	0.0295381310418904	0.0232681552843205	0.0437156784105633	0.0410835453774385	0.0429412332336196	0.0456430270138423	0.0477360758648324	0.0428299754706061	0.0411815924409043	0.0391030987361263	0.0473474173111176	0.0462530946486384	0.041701715480105	0.0463079693831607	0.0393907458591	0.0454642173203773	0.0479907921733473	0.046967982183929	0.0445780062014186
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0442994226234041	0.0385637778038388	0.0377226152720176	0.043387727977553	0.0499095743245067	0.0430064509676451	0.0444074110381335	0.0390006093845216	0.0424390243902439	0.0488760293790341	0.0481132408486004	0.0483149188321709	0.0508731783692641	0.0468851122989525	0.0461618050857575	0.0464238845144357	0.0422413793103448	0.0483982526392428	0.0480091012514221	0.0484137348286987	0.0489269874102508	0.0446431443182915	0.0405882649714949	0.0472442996742671	0.0444310817131022	0.0455087535181033	0.048441218931679	0.0475712961696826	0.0470657139510367	0.0492093958504707	0.0461561743341404	0.0476607674785352	0.0490749882653805	0.0469999793315834	0.0497261107729763	0.0347422079265655	0.0478835223586203	0.0497382967274862	0.0466260121963411	0.0466494942990265	0.0473476788720929	0.0468043130718732	0.0476235886481538	0.0482309796495025	0.048587862925315	0.048268781525734	0.0478213375409637	0.0476237936246906	0.0477613562269072	0.0488503064812222	0.0466470464578516	0.04929506291374	0.0474583186513603	0.0481167278875868	0.0474314749207533	0.0491085533739562	0.0417743910736154	0.0483623645354146	0.0475191888755421	0.046961246961247	0.0428011891840876	0.0198644973959534	0.0253152136584409	0.016429397455836	0.0488958435895633	0.0444853035062182	0.0423507919887718	0.0439509599814943	0.0378829271846428	0.0314728255888553	0.0485111487440022	0.0410024921239479	0.0463109409251089	0.0427276002882536	0.036280579885231	0.0287733270867494	0.0499599519423308	0.0395411227676784	0.0437388326384753	0.0463688078101188	0.0489278575322551	0.0521369168507346	0.0108455444871315	0.0352464824374937	0.0263086243278197	0.0465116279069767	0.0427457476465597	0.0372285740988816	0.0452722946774762	0.0428273407780096	0.0484806343758322	0.0350404312668464	0.0175703018540695	0.0451403009353396	0.0444977419437144	0.0439310564373096	0.0476060395351147	0.0336339721909057	0.0463478593947965	0.0385083616326008	0.0461269656377403	0.044125262325911	0.0371491006891915	0.0355670103092783	0.0365148575709264	0.0459460562288326	0.0470367355076678	0.00527137836782507	0.0380277054722796	0.0296898872692736	0.0447296287067032	0.0430787223970371	0.0295381310418904	0.0230232273339592	0.0440241870796569	0.0412955894826124	0.0421692560069478	0.0458869443258735	0.0480032055562976	0.0431055866383706	0.0402786287851914	0.0389747866812087	0.0472572317543345	0.0463483146067416	0.0421095562182967	0.0462179198559208	0.0417967429559961	0.0450563869777998	0.0477906220287244	0.0468036946442262	0.0446204816718345
"D-Mannose (Mannose) -- Consumption"	0.044502724241685	0.0389742386927798	0.038515491583313	0.0435649412980876	0.0499905525413664	0.0433064959743961	0.0447014998529556	0.0401033051855721	0.0429268292682927	0.0489205430669931	0.0475484485862544	0.0480680204925622	0.0419607370829821	0.0465495337855654	0.0452465279159536	0.0465730136005727	0.0423850574712644	0.0483618492901347	0.046747336849726	0.0484137348286987	0.0490065434873406	0.0442571805345598	0.0405378134302003	0.0468794788273616	0.0442083695240641	0.0454133473262415	0.048441218931679	0.0475409088837231	0.0466908750146421	0.0492459555799287	0.0451725181598063	0.0476607674785352	0.0491397309939628	0.0470826529979538	0.0478241022519781	0.0346293474785095	0.0479354286159196	0.0497969965269286	0.0467059882035389	0.0466873745217622	0.0473106740429627	0.046872342596687	0.04754729935917	0.0482009198304626	0.0483748250045651	0.0482985403306204	0.047912368005826	0.0476902377036926	0.0477613562269072	0.0443697688167024	0.0466470464578516	0.044595482338673	0.0474212273511248	0.0481167278875868	0.0474780906209211	0.0491386443993079	0.0335011566199483	0.0485863441360418	0.0475191888755421	0.0468182468182468	0.0407956207824076	0.0207401944969351	0.0284550851199529	0.0176655899828528	0.0485442014206344	0.0452003370872596	0.0428854679528594	0.04441360166551	0.0409791279641569	0.0324076619924846	0.0494637313011572	0.0409554709173837	0.047226615610866	0.0438085515253423	0.0376019329507701	0.0311548371984071	0.0472817380857029	0.0402018098822776	0.044055241215009	0.0465196988215412	0.0489278575322551	0.0425307973968602	0.011491517356271	0.0362587306407531	0.0304267919134164	0.0472348948481139	0.0433719849703042	0.0414654662139008	0.0455807190694396	0.0427864359635129	0.0487173417758973	0.0399624985350991	0.012387991906512	0.0458084006274327	0.0453907585538234	0.0442797156153835	0.0476060395351147	0.0357008643367155	0.0464067886502254	0.0388287306977638	0.0461657930498932	0.0447248644081655	0.0373358734427822	0.0378006872852234	0.0365532740439101	0.0460684702329947	0.0469038164387658	0.00683326825458805	0.0378481883732759	0.0297724738819837	0.0444804385746324	0.0444710534376653	0.019468313641246	0.0230232273339592	0.0440858888134756	0.0411895674300254	0.0427482389269517	0.046344289285932	0.0480566314945906	0.0426370476531709	0.0410525976329453	0.0391030987361263	0.0473925100895092	0.0457055798895449	0.0422624964951186	0.0462629446195408	0.0417967429559961	0.0456415348606284	0.0479907921733473	0.0468767113285386	0.044747908083082
"Lactose -- Consumption"	0.04381149873953	0.0387592353700012	0.0362588436203952	0.042294912500923	0.0499095743245067	0.0425563834575186	0.0439417704146653	0.038710426278982	0.0421138211382114	0.0490392462348839	0.0480426418158071	0.0494259613604099	0.0511140551607853	0.0465495337855654	0.0465597516813243	0.0462747554282988	0.0424568965517241	0.0482890425919185	0.0479677319267763	0.0488746351206022	0.0494043238727898	0.044064198642694	0.0390999445033046	0.0478697068403909	0.0437184027081802	0.0451748318465869	0.048363182332514	0.0474193597398849	0.0469251493498887	0.0491728361210127	0.0458787328490718	0.0490041469540331	0.0491397309939628	0.0468759688320278	0.0496652465003043	0.0323345183680379	0.0482987724170148	0.0498361297265568	0.0469859042287314	0.0468767756354408	0.0474586933594835	0.0472124902207558	0.0476998779371377	0.0480806805543031	0.048587862925315	0.0485217313672683	0.0478516810292511	0.0476237936246906	0.0482141563428241	0.0492236846199321	0.0462266134118141	0.0495477285360554	0.0474954099515959	0.0479418109731211	0.0471983964199142	0.0491687354246596	0.0406041638318138	0.0483968229355111	0.047437750676955	0.0471328471328471	0.040606861403426	0.015670369175462	0.0245302457930628	0.0153925908202736	0.0486145298544202	0.0443831558517837	0.0431305277697329	0.0453851492019431	0.0417076457946308	0.0259554577948859	0.049040361275755	0.0380871773169699	0.0466161658203612	0.0417367283209224	0.0359030504379341	0.0279534629499492	0.0500100120144173	0.0377792904620806	0.0436271590232282	0.0463386296078343	0.0488975710218669	0.0522555109180663	0.00822765443851358	0.0344974187670817	0.0256279354706963	0.0465116279069767	0.0419781018948729	0.0363874263995763	0.0453163553048995	0.0420910541170696	0.0491907565760275	0.0368569084729873	0.0128835115827724	0.045488874687736	0.0437578138953385	0.0437794654903209	0.0475067050759909	0.0444851559564074	0.0462889301393677	0.0408150189017749	0.0461269656377403	0.04532446649042	0.0345342821389216	0.0337199312714776	0.0326347937995813	0.0464357122454809	0.046704437835413	0.019914096056228	0.0393441641983066	0.0251889168765743	0.0444804385746324	0.04430397371279	0.0197368421052631	0.0229415846838388	0.0435305732091072	0.0410835453774385	0.0471871079803146	0.0465882065979633	0.0480566314945906	0.0418653363834303	0.044374213937889	0.0375312760633862	0.0468513967488107	0.045324700057132	0.0422115164028447	0.0465330932012607	0.0403451909884472	0.0470068799205617	0.0480908772456588	0.0474790989741156	0.044238202438092
"D-Xylose (Xylose) -- Consumption"	0.0442587622997479	0.0385637778038388	0.0377836057575018	0.043387727977553	0.0499095743245067	0.0430064509676451	0.0444074110381335	0.0391166826267375	0.042520325203252	0.0488760293790341	0.0481132408486004	0.048376643417073	0.0509695290858726	0.0468371725113258	0.0452465279159536	0.0463642328799809	0.0420977011494253	0.0483618492901347	0.0475126693556728	0.0480680596097711	0.0489269874102508	0.0443858351291371	0.0404369103476111	0.0472442996742671	0.0443865392752945	0.0454610504221724	0.0482461274337664	0.0475409088837231	0.0470657139510367	0.0492093958504707	0.0461057304277643	0.0475439518719701	0.0490749882653805	0.0469586424983982	0.0497261107729763	0.0346669676278615	0.0474942254288754	0.0496795969280439	0.0463860841747476	0.0465358536308194	0.0467926064351398	0.0467022687846525	0.0475854440036619	0.0482009198304626	0.0484965609592793	0.0482092639159612	0.0477606505643889	0.0474576834271856	0.0477251322176339	0.0488503064812222	0.0463527433256254	0.0491434635403507	0.0473099534504182	0.048029269430354	0.0471983964199142	0.0490182802979011	0.0417199618995782	0.0483623645354146	0.0473970315776615	0.0467610467610467	0.0426124298051059	0.0198644973959534	0.0255114556247854	0.016429397455836	0.0488958435895633	0.0443320820245665	0.0418161160246842	0.0434883182974786	0.0380286307507376	0.0313628448354871	0.0485111487440022	0.0387219636055861	0.0454785093926024	0.0417367283209224	0.0352234974327997	0.0287733270867494	0.0499098918702443	0.0378193321053896	0.0437016081000596	0.0463989860124033	0.0488975710218669	0.0520479713002357	0.0109645394893414	0.0344569288389513	0.0263086243278197	0.0466228997440748	0.042139711526807	0.0374154958098383	0.0449198096580895	0.0425614594837812	0.0485102228008403	0.0345716629555842	0.0175703018540695	0.0453145878115378	0.0445487714642921	0.0438704200585141	0.0474570378464289	0.0332581736189402	0.0462300008839388	0.0381239187544051	0.0455057270432926	0.043443896323349	0.0361965596458789	0.0342353951890034	0.0333262903132864	0.0457828375566165	0.0470699652748932	0.00527137836782507	0.0380277054722796	0.0296073006565636	0.0447296287067032	0.0427724095680989	0.0295381310418904	0.0230232273339592	0.0435305732091072	0.0407654792196777	0.0421692560069478	0.0451551923897799	0.0476826499265393	0.0421960697847477	0.0401496339772324	0.0387823185988324	0.0471670461975515	0.0461578746905351	0.0414977951110092	0.0462179198559208	0.0392316716708755	0.0448790694375488	0.0477906220287244	0.0468036946442262	0.0443656288493395
"Raffinose -- Consumption"	0.0442181019760917	0.0397169774441969	0.0390644059526714	0.0434763346378203	0.0499095743245067	0.0443066459968995	0.0445544554455446	0.0396390122167087	0.0424390243902439	0.0488760293790341	0.0481132408486004	0.0483457811246219	0.0509213537275684	0.0467892327236991	0.0450873492777269	0.0463344070627535	0.040948275862069	0.0483618492901347	0.0474299307063812	0.0480296512521125	0.0489269874102508	0.0436782348589624	0.0395540083749558	0.0471400651465798	0.0442974543996793	0.0454133473262415	0.0482071091341839	0.047480134311804	0.0470188590839874	0.0492093958504707	0.0460552865213882	0.0475439518719701	0.0490749882653805	0.0470826529979538	0.0497261107729763	0.0327107198615579	0.0474163660429265	0.0496600303282297	0.0462661201639508	0.0464979734080837	0.0466815919477492	0.0467022687846525	0.0475854440036619	0.0481708600114227	0.0484052589932437	0.0482092639159612	0.0477303070761015	0.0474576834271856	0.0476889082083605	0.0487880767914372	0.0462266134118141	0.0489918641669615	0.0472728621501827	0.048029269430354	0.0471983964199142	0.0490182802979011	0.0408763097020003	0.0482934477352217	0.047356312478368	0.0467038467038467	0.0426124298051059	0.0173295847352168	0.0241377618603738	0.0263588148502612	0.0488958435895633	0.0439234914068286	0.0414596653819591	0.0432107332870692	0.0371908352456926	0.0263587205572358	0.0485111487440022	0.035759627592044	0.0453675185216016	0.0416166226279125	0.0342796738145575	0.0270164753650347	0.0499098918702443	0.0370785617041724	0.0436271590232282	0.0463989860124033	0.0487764249803138	0.0520183227834028	0.0124264780879203	0.0367446097783177	0.0302906541419917	0.0465116279069767	0.0416750838349965	0.036574348110533	0.0447435671483962	0.0420501493025729	0.0484510459508241	0.0348060471112153	0.0175703018540695	0.0450241096845408	0.0441405352996709	0.0435672381645368	0.0474570378464289	0.0331642239759489	0.04617107162851	0.0377394758762094	0.0453892448068336	0.0433893870431441	0.0359350777908519	0.0326890034364261	0.0310597184072531	0.0457828375566165	0.0467708973698639	0.00488090589613432	0.037608832241271	0.0291117809803031	0.0447296287067032	0.0426053298432235	0.0295381310418904	0.0229415846838388	0.0434688714752884	0.0407654792196777	0.0421692560069478	0.0449722544057564	0.0476292239882463	0.0417550919163245	0.0401496339772324	0.0383332264066209	0.0467161184136361	0.0460150447533803	0.0414977951110092	0.0461278703286808	0.038794217653258	0.0447372154053479	0.0477906220287244	0.0468036946442262	0.0441532514972603
"Sucrose -- Consumption"	0.0436691876067333	0.0395606113912669	0.0361978531349109	0.042294912500923	0.04993656706346	0.0425563834575186	0.0435986667973728	0.0382461333101187	0.041869918699187	0.0488760293790341	0.0481838398813936	0.0483457811246219	0.0511140551607853	0.0465974735731921	0.0458832424688606	0.0462449296110714	0.0406968390804598	0.0483254459410266	0.0480091012514221	0.0485673682593332	0.0489667654487957	0.0439998713454054	0.03904949296201	0.0469837133550489	0.0438965724594107	0.0451748318465869	0.048363182332514	0.0475105215977635	0.0471594236851353	0.0491728361210127	0.0461561743341404	0.0476997060140568	0.0491073596296716	0.0467519583324721	0.0497565429093123	0.0311494836634501	0.0479613817445693	0.0497187301276721	0.0465460361891433	0.0466494942990265	0.0471256498973116	0.0467022687846525	0.0476235886481538	0.0479604412781435	0.0484965609592793	0.0482390227208476	0.0477606505643889	0.0476237936246906	0.0477251322176339	0.0489747658607921	0.0458902669749842	0.04929506291374	0.0472357708499472	0.0479126581540435	0.0471983964199142	0.0491085533739562	0.041121240985168	0.0483279061353181	0.047437750676955	0.0468754468754469	0.0424000755037516	0.0153016546066276	0.0244321248098906	0.0151533277505284	0.0488958435895633	0.0441277867156975	0.0419943413460467	0.043765903307888	0.0382471860998798	0.0259554577948859	0.048652272085803	0.0381341985235341	0.0460889591831072	0.0416766754744175	0.0342796738145575	0.0274068868587491	0.0500100120144173	0.0377392488187715	0.0434410363311495	0.0462480950009808	0.048806711490702	0.0521072683339016	0.00868663516132322	0.0348415831561899	0.025355659927847	0.0465116279069767	0.0420185043028564	0.0363251191625907	0.0452282340500529	0.0420910541170696	0.0483918691008078	0.033868510488691	0.0176115951604245	0.0453145878115378	0.0437578138953385	0.0436885109221277	0.0475563723055528	0.0354190154077414	0.04617107162851	0.0378676235022746	0.0460104834012813	0.0448883922487803	0.0344969275882034	0.0338058419243986	0.0325963773265977	0.0459868608968866	0.0467708973698639	0.0064427957828973	0.0377285103072734	0.0246933972003138	0.0447296287067032	0.0441368939879146	0.0295381310418904	0.0231048699840797	0.0434688714752884	0.0411895674300254	0.0429412332336196	0.0458259649978657	0.0479497796180045	0.0424165587189593	0.0402786287851914	0.0377237441457625	0.0467612111920276	0.0457055798895449	0.0407585837730366	0.0461728950923008	0.0404247280825595	0.0453578267962267	0.0478907071010358	0.0467306779599138	0.0436435458522703
